run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money
none_0,none,0.8,0.05,1,2.096016998400001,1.911560601600001,0,11288.050995200003
none_3,none,0.8,0.05,1,2.1033133056000013,1.9042642944000008,0,11309.939916800004
none_1,none,0.8,0.05,1,2.176707686400001,1.8308699136000008,0,11530.123059200003
none_2,none,0.8,0.05,1,2.1262086144000008,1.8813689856000009,0,11378.625843200003
none_0,none,0.8,0.05,2,2.096268595200001,1.911309004800001,0,17576.856780800008
none_3,none,0.8,0.05,2,2.123692646400001,1.8838849536000006,0,17681.017856000006
none_1,none,0.8,0.05,2,2.1404777472000007,1.867099852800001,0,17951.556300800006
none_2,none,0.8,0.05,2,2.1242317824000008,1.8833458176000009,0,17751.321190400005
none_0,none,0.8,0.05,3,2.1470192640000008,1.8605583360000009,0,24017.91457280001
none_3,none,0.8,0.05,3,2.098532966400001,1.9090446336000009,0,23976.616755200008
none_1,none,0.8,0.05,3,2.1465879552000007,1.8609896448000007,0,24391.320166400008
none_2,none,0.8,0.05,3,2.1465879552000007,1.8609896448000007,0,24191.085056000007
none_4,none,0.8,0.05,1,2.137818009600001,1.8697595904000008,0,11413.454028800003
none_7,none,0.8,0.05,1,2.096016998400001,1.911560601600001,0,11288.050995200003
none_5,none,0.8,0.05,1,2.096268595200001,1.911309004800001,0,11288.805785600003
none_6,none,0.8,0.05,1,2.142310809600001,1.8652667904000007,0,11426.932428800003
none_4,none,0.8,0.05,2,2.131635916800001,1.875941683200001,0,17808.361779200008
none_7,none,0.8,0.05,2,2.1007973376000013,1.906780262400001,0,17590.443008000006
none_5,none,0.8,0.05,2,2.1609289728000007,1.846648627200001,0,17771.592704000006
none_6,none,0.8,0.05,2,2.125957017600001,1.8816205824000007,0,17804.803481600007
none_4,none,0.8,0.05,3,2.1143835648000007,1.8931940352000007,0,24151.51247360001
none_7,none,0.8,0.05,3,2.158664601600001,1.8489129984000008,0,24066.436812800006
none_5,none,0.8,0.05,3,2.114671104000001,1.8929064960000008,0,24115.60601600001
none_6,none,0.8,0.05,3,2.1143835648000007,1.8931940352000007,0,24147.95417600001
none_8,none,0.8,0.05,1,2.1564361728000008,1.8511414272000009,0,11469.308518400001
none_11,none,0.8,0.05,1,2.1379617792000007,1.8696158208000009,0,11413.885337600002
none_9,none,0.8,0.05,1,2.1978777600000003,1.8096998400000006,0,11593.633280000002
none_10,none,0.8,0.05,1,2.114671104000001,1.8929064960000008,0,11344.013312000003
none_8,none,0.8,0.05,2,2.133001728000001,1.8745758720000008,0,17868.313702400003
none_11,none,0.8,0.05,2,2.1584130048000008,1.8491645952000009,0,17889.124352000006
none_9,none,0.8,0.05,2,2.1658890240000006,1.8416885760000008,0,18091.300352000006
none_10,none,0.8,0.05,2,2.114814873600001,1.8927627264000009,0,17688.457932800007
none_8,none,0.8,0.05,3,2.131420262400001,1.8761573376000007,0,24262.574489600007
none_11,none,0.8,0.05,3,2.1771389952000004,1.8304386048000008,0,24420.541337600007
none_9,none,0.8,0.05,3,2.1170433024000013,1.8905342976000008,0,24442.43025920001
none_10,none,0.8,0.05,3,2.1795830784000008,1.8279945216000009,0,24227.207168000008
none_13,none,0.8,0.05,1,2.130629529600001,1.876948070400001,0,11391.888588800004
none_14,none,0.8,0.05,1,2.1608570880000006,1.846720512000001,0,11482.571264000002
none_12,none,0.8,0.05,1,2.119163904000001,1.8884136960000009,0,11357.491712000003
none_13,none,0.8,0.05,2,2.096016998400001,1.911560601600001,0,17679.939584000007
none_14,none,0.8,0.05,2,2.1721789440000006,1.8353986560000006,0,17999.108096000004
none_12,none,0.8,0.05,2,2.155789209600001,1.8517883904000008,0,17824.859340800005
none_13,none,0.8,0.05,3,2.096016998400001,1.911560601600001,0,23967.99057920001
none_14,none,0.8,0.05,3,2.142059212800001,1.8655183872000007,0,24425.285734400008
none_12,none,0.8,0.05,3,2.1007973376000013,1.906780262400001,0,24127.251353600008
calendar_15,calendar,0.8,0.05,1,2.6981836958269447,1.309393904173056,5,12594.551087480835
calendar_16,calendar,0.8,0.05,1,2.6837723346370557,1.3238052653629444,5,12551.317003911168
calendar_17,calendar,0.8,0.05,1,2.658612620132353,1.3489649798676482,5,12475.83786039706
calendar_18,calendar,0.8,0.05,1,2.7896934372802566,1.217884162719744,5,12869.08031184077
calendar_15,calendar,0.8,0.05,2,2.7176892164997124,1.2898883835002886,5,20247.618736979974
calendar_16,calendar,0.8,0.05,2,2.749983813697536,1.2575937863024647,5,20301.268445003778
calendar_17,calendar,0.8,0.05,2,2.734165787738113,1.2734118122618876,5,20178.3352236114
calendar_18,calendar,0.8,0.05,2,2.6705193193635846,1.3370582806364164,5,20380.63826993152
calendar_15,calendar,0.8,0.05,3,2.7094406714818566,1.298136928518144,5,27875.940751425544
calendar_16,calendar,0.8,0.05,3,2.608887707172865,1.3986898928271365,5,27627.931566522373
calendar_17,calendar,0.8,0.05,3,2.731186479071232,1.2763911209287677,5,27871.8946608251
calendar_18,calendar,0.8,0.05,3,2.6356665894174727,1.371911010582528,5,27787.63803818394
calendar_19,calendar,0.8,0.05,1,2.7102244573347845,1.297353142665216,5,12630.673372004352
calendar_20,calendar,0.8,0.05,1,2.8937724602941444,1.1138051397058557,5,13181.317380882432
calendar_21,calendar,0.8,0.05,1,2.624936995160064,1.382640604839936,5,12374.810985480191
calendar_22,calendar,0.8,0.05,1,2.6675741703536646,1.3400034296463361,5,12502.722511060994
calendar_19,calendar,0.8,0.05,2,2.664586419535872,1.342991180464128,5,20124.43263061197
calendar_20,calendar,0.8,0.05,2,2.72208662249472,1.2854909775052799,5,20847.577248366593
calendar_21,calendar,0.8,0.05,2,2.7501051092336644,1.2574724907663362,5,20125.126313181187
calendar_22,calendar,0.8,0.05,2,2.7333541910937607,1.27422340890624,5,20202.78508434228
calendar_19,calendar,0.8,0.05,3,2.7438035151421447,1.263774084857856,5,27855.843176038405
calendar_20,calendar,0.8,0.05,3,2.650120540913664,1.3574570590863357,5,28297.938871107584
calendar_21,calendar,0.8,0.05,3,2.6815431122288635,1.3260344877711356,5,27669.755649867777
calendar_22,calendar,0.8,0.05,3,2.7507597784842237,1.2568178215157761,5,27955.06441979495
calendar_23,calendar,0.8,0.05,1,2.6389194743807995,1.3686581256192003,5,12416.758423142399
calendar_24,calendar,0.8,0.05,1,2.8112662382837765,1.1963113617162238,5,12933.79871485133
calendar_25,calendar,0.8,0.05,1,2.675762999230464,1.3318146007695362,5,12527.288997691392
calendar_26,calendar,0.8,0.05,1,2.592530901762048,1.4150466982379524,5,12277.592705286144
calendar_23,calendar,0.8,0.05,2,2.6572342607216637,1.3503433392783355,5,19888.46120530739
calendar_24,calendar,0.8,0.05,2,2.663742664507393,1.3438349354926085,5,20425.02670837351
calendar_25,calendar,0.8,0.05,2,2.750326571925504,1.257251028074496,5,20278.268713467904
calendar_26,calendar,0.8,0.05,2,2.804139418189825,1.203438181810176,5,20190.01095985562
calendar_23,calendar,0.8,0.05,3,2.759617262518272,1.2479603374817285,5,27667.312992862207
calendar_24,calendar,0.8,0.05,3,2.776571413364737,1.2310061866352642,5,28254.74094846772
calendar_25,calendar,0.8,0.05,3,2.694344437923841,1.3132331620761601,5,27861.302027239428
calendar_26,calendar,0.8,0.05,3,2.8190658656010243,1.1885117343989762,5,28147.20855665869
calendar_29,calendar,0.8,0.05,1,2.698503853473793,1.3090737465262077,5,12595.511560421379
calendar_27,calendar,0.8,0.05,1,2.598286585430017,1.4092910145699844,5,12294.85975629005
calendar_28,calendar,0.8,0.05,1,2.7403861232517124,1.2671914767482881,5,12721.158369755138
calendar_29,calendar,0.8,0.05,2,2.7142343640023046,1.293343235997696,5,20238.214652428294
calendar_27,calendar,0.8,0.05,2,2.753958433554432,1.2536191664455678,5,20056.735056953345
