run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money
none_1,none,0.6,0.03,1,2.188863793431464,1.8187138065685369,0,11566.591380294392
none_0,none,0.6,0.03,1,2.213917870834689,1.7936597291653116,0,11641.753612504068
none_3,none,0.6,0.03,1,2.1812599706051317,1.8263176293948697,0,11543.779911815396
none_2,none,0.6,0.03,1,2.2054283859916386,1.8021492140083626,0,11616.285157974915
none_1,none,0.6,0.03,2,2.174554929943672,1.8330226700563297,0,18090.25617012541
none_0,none,0.6,0.03,2,2.1507662199706252,1.8568113800293764,0,18094.052272415945
none_3,none,0.6,0.03,2,2.2417669605981603,1.7658106394018405,0,18269.08079360988
none_2,none,0.6,0.03,2,2.21987265466904,1.7877049453309608,0,18275.903121982035
none_1,none,0.6,0.03,3,2.221880536976048,1.7856970630239521,0,24755.897781053554
none_0,none,0.6,0.03,3,2.184753264460685,1.8228243355393159,0,24648.312065798
none_3,none,0.6,0.03,3,2.1952078885616784,1.8123697114383228,0,24854.704459294913
none_2,none,0.6,0.03,3,2.2138390184534735,1.7937385815465272,0,24917.420177342457
none_5,none,0.6,0.03,1,2.1833219073677195,1.8242556926322815,0,11549.96572210316
none_4,none,0.6,0.03,1,2.264561419825982,1.7430161801740187,0,11793.684259477946
none_7,none,0.6,0.03,1,2.237637331991033,1.7699402680089678,0,11712.9119959731
none_6,none,0.6,0.03,1,2.2305682263902535,1.7770093736097472,0,11691.704679170762
none_5,none,0.6,0.03,2,2.185851059824305,1.8217265401756964,0,18107.518901576073
none_4,none,0.6,0.03,2,2.189572269520601,1.8180053304794002,0,18362.401068039748
none_7,none,0.6,0.03,2,2.248123946789163,1.7594536532108376,0,18457.28383634059
none_6,none,0.6,0.03,2,2.1717138903288253,1.8358637096711763,0,18206.846350157237
none_5,none,0.6,0.03,3,2.2022076409633313,1.8053699590366696,0,24714.141824466067
none_4,none,0.6,0.03,3,2.2110197158599734,1.7965578841400278,0,24995.460215619667
none_7,none,0.6,0.03,3,2.25802220664903,1.7495553933509709,0,25231.35045628768
none_6,none,0.6,0.03,3,2.1833219073677195,1.8242556926322815,0,24756.812072260396
none_9,none,0.6,0.03,1,2.1892189850279284,1.8183586149720727,0,11567.656955083785
none_8,none,0.6,0.03,1,2.178255690989205,1.8293219090107966,0,11534.767072967614
none_11,none,0.6,0.03,1,2.2172168961102003,1.7903607038898006,0,11651.650688330601
none_10,none,0.6,0.03,1,2.1909810797509883,1.8165965202490124,0,11572.943239252965
none_9,none,0.6,0.03,2,2.168668848514008,1.8389087514859932,0,18073.663500625808
none_8,none,0.6,0.03,2,2.184842376136712,1.8227352238632892,0,18089.29420137775
none_11,none,0.6,0.03,2,2.2185981500806906,1.7889794499193101,0,18307.44513857267
none_10,none,0.6,0.03,2,2.2984620089765113,1.7091155910234885,0,18468.3292661825
none_9,none,0.6,0.03,3,2.1507662199706252,1.8568113800293764,0,24525.96216053768
none_8,none,0.6,0.03,3,2.3323298695522783,1.6752477304477222,0,25086.283810034583
none_11,none,0.6,0.03,3,2.2575662184785763,1.7500113815214244,0,25080.1437940084
none_10,none,0.6,0.03,3,2.1811708589291046,1.8264067410708966,0,25011.841842969814
none_13,none,0.6,0.03,1,2.1619514436318457,1.8456261563681557,0,11485.854330895538
none_12,none,0.6,0.03,1,2.2164650023980608,1.7911125976019397,0,11649.395007194184
none_14,none,0.6,0.03,1,2.2016879570746686,1.8058896429253324,0,11605.063871224007
none_13,none,0.6,0.03,2,2.165175614441743,1.8424019855582585,0,17981.381174220765
none_12,none,0.6,0.03,2,2.1582506825863126,1.849326917413689,0,18124.147054953122
none_14,none,0.6,0.03,2,2.1830650916399206,1.8245125083600806,0,18154.25914614377
none_13,none,0.6,0.03,3,2.1582506825863126,1.849326917413689,0,24456.133221979704
none_12,none,0.6,0.03,3,2.1673918781618586,1.8401857218381426,0,24626.322689438697
none_14,none,0.6,0.03,3,2.177745865245431,1.8298317347545703,0,24687.496741880062
calendar_17,calendar,0.6,0.03,1,2.563467502595451,1.4441100974045489,5,12190.402507786353
calendar_16,calendar,0.6,0.03,1,2.4841269127620835,1.5234506872379163,5,11952.38073828625
calendar_18,calendar,0.6,0.03,1,2.4225286995353974,1.5850489004646036,5,11767.586098606193
calendar_15,calendar,0.6,0.03,1,2.5297154481501156,1.477862151849885,5,12089.146344450346
calendar_17,calendar,0.6,0.03,2,2.7661498094231307,1.241427790576869,5,19988.851936055748
calendar_16,calendar,0.6,0.03,2,2.406325345468085,1.6012522545319159,5,18671.356774690506
calendar_18,calendar,0.6,0.03,2,2.472541713010605,1.5350358869893956,5,18685.211237638006
calendar_15,calendar,0.6,0.03,2,2.629119981654564,1.3784576183454362,5,19476.50628941404
calendar_17,calendar,0.6,0.03,3,2.4194087381480025,1.588168861851998,5,26747.078150499754
calendar_16,calendar,0.6,0.03,3,2.4372491599019064,1.570328440098094,5,25483.104254396225
calendar_18,calendar,0.6,0.03,3,2.7466313173978993,1.2609462826020998,5,26425.105189831702
calendar_15,calendar,0.6,0.03,3,2.6837269912780024,1.323850608721997,5,27027.687263248044
calendar_21,calendar,0.6,0.03,1,2.6010964778201924,1.4064811221798064,5,12303.289433460577
calendar_20,calendar,0.6,0.03,1,2.5468211892247585,1.4607564107752415,5,12140.463567674276
calendar_22,calendar,0.6,0.03,1,2.6204277904325295,1.3871498095674708,5,12361.283371297588
calendar_19,calendar,0.6,0.03,1,2.5632829056687365,1.4442946943312631,5,12189.84871700621
calendar_21,calendar,0.6,0.03,2,2.464245495724061,1.5433321042759385,5,19196.02592063276
calendar_20,calendar,0.6,0.03,2,2.483845510026795,1.5237320899732052,5,19092.000097754662
calendar_22,calendar,0.6,0.03,2,2.537351940914858,1.470225659085141,5,19473.339194042164
calendar_19,calendar,0.6,0.03,2,2.4905437570515274,1.517033842948473,5,19161.479988160794
calendar_21,calendar,0.6,0.03,3,2.5557834799478485,1.451794120052152,5,26363.376360476308
calendar_20,calendar,0.6,0.03,3,2.454363295254256,1.553214304745744,5,25955.08998351743
calendar_22,calendar,0.6,0.03,3,2.4427526104427093,1.5648249895572903,5,26301.59702537029
calendar_19,calendar,0.6,0.03,3,2.5296556058570876,1.4779219941429127,5,26250.446805732056
calendar_23,calendar,0.6,0.03,1,2.6484680421928455,1.3591095578071546,5,12445.404126578536
calendar_25,calendar,0.6,0.03,1,2.6995089171302205,1.3080686828697796,5,12598.526751390662
calendar_24,calendar,0.6,0.03,1,2.6299263572066742,1.377651242793326,5,12389.779071620022
calendar_26,calendar,0.6,0.03,1,2.6432671636125,1.3643104363874992,5,12429.8014908375
calendar_23,calendar,0.6,0.03,2,2.5758503989995094,1.4317272010004904,5,19672.955323577065
calendar_25,calendar,0.6,0.03,2,2.5565348540049877,1.4510427459950117,5,19768.131313405625
calendar_24,calendar,0.6,0.03,2,2.465377392574774,1.5422002074252263,5,19285.911249344346
calendar_26,calendar,0.6,0.03,2,2.5885413589517707,1.4190362410482291,5,19695.425567692815
calendar_23,calendar,0.6,0.03,3,2.372935116599869,1.6346424834001319,5,26291.760673376673
calendar_25,calendar,0.6,0.03,3,2.451040227314853,1.5565373726851481,5,26621.251995350183
calendar_24,calendar,0.6,0.03,3,2.6746262575730744,1.3329513424269255,5,26809.79002206357
calendar_26,calendar,0.6,0.03,3,2.5735088605402114,1.4340687394597893,5,26915.95214931345
calendar_29,calendar,0.6,0.03,1,2.645293140267865,1.3622844597321342,5,12435.879420803594
calendar_28,calendar,0.6,0.03,1,2.419466302206111,1.588111297793889,5,11758.398906618333
calendar_27,calendar,0.6,0.03,1,2.4969734908457046,1.5106041091542963,5,11990.920472537113
calendar_29,calendar,0.6,0.03,2,2.6932652812648095,1.3143123187351906,5,20015.675264598023
calendar_28,calendar,0.6,0.03,2,2.4316221766521595,1.5759554233478408,5,18553.26543657481
calendar_27,calendar,0.6,0.03,2,2.4939391488932374,1.5136384511067622,5,18972.737919216826
calendar_29,calendar,0.6,0.03,3,2.4776613824763447,1.5299162175236556,5,26948.659412027057
calendar_28,calendar,0.6,0.03,3,2.5027049731364226,1.5048726268635775,5,25561.380355984078
calendar_27,calendar,0.6,0.03,3,2.5551097432362484,1.4524678567637512,5,26138.067148925573
threshold_33,threshold,0.6,0.03,1,3.206464060356229,0.8011135396437724,9,13719.392181068686
threshold_32,threshold,0.6,0.03,1,3.263260841270568,0.7443167587294316,9,13889.782523811704
threshold_31,threshold,0.6,0.03,1,3.214730313051608,0.7928472869483919,9,13744.190939154823
threshold_30,threshold,0.6,0.03,1,3.2374336307842912,0.7701439692157104,9,13812.300892352874
threshold_33,threshold,0.6,0.03,2,3.2304157996426848,0.7771618003573163,9,22510.639579996743
threshold_32,threshold,0.6,0.03,2,3.180469738197203,0.8271078618027968,9,22531.191738403315
threshold_31,threshold,0.6,0.03,2,3.250152156257201,0.7574254437427983,8,22694.647407926426
threshold_30,threshold,0.6,0.03,2,3.321901001896892,0.6856765981031054,8,22978.00389804355
threshold_33,threshold,0.6,0.03,3,3.2253425194683047,0.7822350805316955,9,31286.66713840166
threshold_32,threshold,0.6,0.03,3,3.210673446228014,0.7969041537719868,9,31263.21207708736
threshold_31,threshold,0.6,0.03,3,3.197020438772839,0.8105571612271609,10,31285.70872424494
threshold_30,threshold,0.6,0.03,3,3.251355515859627,0.7562220841403726,9,31832.07044562243
threshold_37,threshold,0.6,0.03,1,3.170271142580579,0.8373064574194213,10,13510.813427741738
threshold_36,threshold,0.6,0.03,1,3.2469737975291144,0.7606038024708859,9,13840.921392587343
threshold_35,threshold,0.6,0.03,1,3.2106906266612696,0.7968869733387307,9,13732.071879983809
threshold_34,threshold,0.6,0.03,1,3.195055674926494,0.8125219250735063,10,13585.167024779481
threshold_37,threshold,0.6,0.03,2,3.2314771658994177,0.7761004341005827,9,22305.24492543999
threshold_36,threshold,0.6,0.03,2,3.2023612866237032,0.8052163133762976,9,22548.005252458453
threshold_35,threshold,0.6,0.03,2,3.243796661681567,0.7637809383184334,9,22563.461865028512
threshold_34,threshold,0.6,0.03,2,3.2757228560478526,0.7318547439521469,9,22512.33559292304
threshold_37,threshold,0.6,0.03,3,3.1959852631346206,0.8115923368653769,9,30993.200714843853
threshold_36,threshold,0.6,0.03,3,3.132470379718849,0.87510722028115,10,30945.416391615
threshold_35,threshold,0.6,0.03,3,3.134264364677828,0.873313235322171,10,30966.254959061996
threshold_34,threshold,0.6,0.03,3,3.1625542882031277,0.8450233117968715,9,31099.99845753242
threshold_39,threshold,0.6,0.03,1,3.201792215549348,0.8057853844506516,10,13605.376646648043
threshold_38,threshold,0.6,0.03,1,3.233241575941117,0.7743360240588846,9,13799.724727823352
threshold_41,threshold,0.6,0.03,1,3.233552565392048,0.7740250346079525,9,13800.657696176144
threshold_40,threshold,0.6,0.03,1,3.2480255195637198,0.7595520804362805,9,13844.076558691158
threshold_39,threshold,0.6,0.03,2,3.1905946687801974,0.8169829312198041,9,22277.160652988634
threshold_38,threshold,0.6,0.03,2,3.198737586658554,0.808840013341449,9,22495.937487799012
threshold_41,threshold,0.6,0.03,2,3.1522182367842424,0.8553593632157572,10,22257.312406528872
threshold_40,threshold,0.6,0.03,2,3.2294293398381058,0.778148260161896,10,22532.364578205474
threshold_39,threshold,0.6,0.03,3,3.1552461481955585,0.8523314518044401,10,30742.89909757531
threshold_38,threshold,0.6,0.03,3,3.1224371340116153,0.8851404659883844,10,30863.248889833856
threshold_41,threshold,0.6,0.03,3,3.216118319134159,0.7914592808658413,8,31105.66736393135
threshold_40,threshold,0.6,0.03,3,3.127435603283266,0.8801419967167342,10,30914.67138805527
threshold_44,threshold,0.6,0.03,1,3.216341453007286,0.7912361469927136,10,13649.024359021858
threshold_43,threshold,0.6,0.03,1,3.192047237391973,0.8155303626080276,10,13576.141712175919
threshold_42,threshold,0.6,0.03,1,3.27121552054645,0.7363620794535517,9,13913.64656163935
threshold_44,threshold,0.6,0.03,2,3.162329675105825,0.8452479248941758,9,22236.013384339334
threshold_43,threshold,0.6,0.03,2,3.21167530342363,0.7959022965763717,9,22311.16762244681
threshold_42,threshold,0.6,0.03,2,3.196021975830273,0.8115556241697277,9,22601.712489130172
threshold_44,threshold,0.6,0.03,3,3.1854770676308117,0.8221005323691866,9,30892.44458723177
threshold_43,threshold,0.6,0.03,3,3.1601744834628374,0.8474031165371656,10,30791.69107283532
threshold_42,threshold,0.6,0.03,3,3.244967424126467,0.7626101758735319,10,31336.614761509576
