run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money
none_0,none,0.8,0.1,1,2.0918333349752154,1.9157442650247865,0,11275.500004925645
none_1,none,0.8,0.1,1,2.0367974594246823,1.9707801405753202,0,11110.392378274046
none_2,none,0.8,0.1,1,2.0367974594246823,1.9707801405753202,0,11110.392378274046
none_3,none,0.8,0.1,1,2.0367974594246823,1.9707801405753202,0,11110.392378274046
none_0,none,0.8,0.1,2,2.037766967902625,1.9698106320973767,0,17388.800908633522
none_1,none,0.8,0.1,2,2.0367974594246823,1.9707801405753202,0,17220.78475654809
none_2,none,0.8,0.1,2,2.048223959777281,1.9593536402227214,0,17255.06425760589
none_3,none,0.8,0.1,2,2.0367974594246823,1.9707801405753202,0,17220.78475654809
none_0,none,0.8,0.1,3,2.054648049576218,1.9529295504237834,0,23552.745057362175
none_1,none,0.8,0.1,3,2.0650581514260486,1.9425194485739534,0,23415.959210826237
none_2,none,0.8,0.1,3,2.0758902600867164,1.9316873399132857,0,23482.735037866038
none_3,none,0.8,0.1,3,2.0485209986973705,1.9590566013026316,0,23366.347752640202
none_4,none,0.8,0.1,1,2.0367974594246823,1.9707801405753202,0,11110.392378274046
none_5,none,0.8,0.1,1,2.054351010656129,1.9532265893438734,0,11163.053031968386
none_6,none,0.8,0.1,1,2.064761112505959,1.942816487494043,0,11194.283337517878
none_7,none,0.8,0.1,1,2.048886615763293,1.9586909842367093,0,11146.659847289879
none_4,none,0.8,0.1,2,2.049490507175314,1.958087092824688,0,17258.863899799988
none_5,none,0.8,0.1,2,2.047917107285349,1.9596604927146528,0,17306.80435382443
none_6,none,0.8,0.1,2,2.0650581514260486,1.9425194485739534,0,17389.457791796023
none_7,none,0.8,0.1,2,2.0711852023048967,1.9363923976951052,0,17360.21545420457
none_4,none,0.8,0.1,3,2.0367974594246823,1.9707801405753202,0,23369.256278074034
none_5,none,0.8,0.1,3,2.0367974594246823,1.9707801405753202,0,23417.196732098477
none_6,none,0.8,0.1,3,2.037766967902625,1.9698106320973767,0,23502.7586955039
none_7,none,0.8,0.1,3,2.0367974594246823,1.9707801405753202,0,23470.607832478614
none_10,none,0.8,0.1,1,2.048223959777281,1.9593536402227214,0,11144.671879331843
none_11,none,0.8,0.1,1,2.048223959777281,1.9593536402227214,0,11144.671879331843
none_8,none,0.8,0.1,1,2.0650581514260486,1.9425194485739534,0,11195.174454278145
none_9,none,0.8,0.1,1,2.0367974594246823,1.9707801405753202,0,11110.392378274046
none_10,none,0.8,0.1,2,2.048223959777281,1.9593536402227214,0,17289.343758663686
none_11,none,0.8,0.1,2,2.0726993113745924,1.93487828862541,0,17362.76981345562
