cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
1,1,calendar,0.03,0.994,0,1,2.7482112,0.03,0
2,1,calendar,0.06099114,0.987801772,0,2,5.4792855392256,0.09099114,0
3,1,calendar,0.06099114,0.987801772,0,3,8.2103598784512,0.15198228,0
4,1,calendar,0.09300616528332,0.916294451245012,0,4,17.07715802425893,0.24498844528331998,0
5,1,calendar,0.12607890297195032,0.8865289873252447,0,5,25.65592172880786,0.3710673482552703,0
6,1,calendar,0.16024429776833762,0.8557801320084961,0,6,33.93713491022768,0.5313116460236079,0
7,1,calendar,0.19553844887800795,0.8240153960097929,0,7,41.91096709433524,0.7268500949016159,0
8,1,calendar,0.23199864815203958,0.7912012166631643,0,8,49.56726302774135,0.9588487430536554,0
9,1,calendar,0.26966341948968664,0.757302922459282,0,9,56.89553194779533,1.2285121625433422,0
10,1,calendar,0.30857255954278695,0.7222846964114917,0,10,63.88493649803005,1.5370847220861292,1
11,1,calendar,0.3487671797649616,0.6861095382115345,0,11,70.52428127739543,1.8858519018510909,2
12,1,calendar,0.39028974985003634,0.6487392251349673,0,12,76.80200101118149,2.2761416517011273,3
13,1,calendar,0.39028974985003634,0.6487392251349673,0,13,83.07972074496755,2.6664314015511636,4
14,1,calendar,0.4331841426055818,0.6101342716549764,0,14,88.98386806491843,3.0996155441567455,5
15,1,calendar,0.11949913606179699,0.8924507775443827,1,1,97.6199357490599,3.2191146802185426,5
16,1,calendar,0.15344714851900665,0.861897566332894,1,2,105.96034611895006,3.3725618287375494,5
17,1,calendar,0.1885167354117776,0.8303349381294002,1,3,113.99533124824063,3.561078564149327,5
18,1,calendar,0.22474495131631192,0.7977295438153192,1,4,121.71480049783271,3.7858235154656388,5
19,1,calendar,0.26217007501790024,0.7640469324838898,1,5,129.10832985409283,4.047993590483539,5
20,1,calendar,0.30083164995634165,0.7292515150392925,1,6,136.16515091482506,4.348825240439881,6
21,1,calendar,0.3407705260075992,0.6933065265931607,1,7,142.87413951136176,4.68959576644748,7
22,1,calendar,0.3407705260075992,0.6933065265931607,1,8,149.58312810789846,5.03036629245508,8
23,1,calendar,0.3820289026458383,0.6561739876187456,1,9,155.93279255128755,5.412395195100918,9
