cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
1,1,none,0.03,0.994,0,1,2.7482112,0.03,0
2,1,none,0.03,0.994,0,2,5.4964224,0.06,0
3,1,none,0.06099114,0.987801772,0,3,8.2274967392256,0.12099114,0
4,1,none,0.09300616528332,0.916294451245012,0,4,17.09429488503333,0.21399730528332,0
5,1,none,0.12607890297195032,0.8865289873252447,0,5,25.67305858958226,0.3400762082552703,0
6,1,none,0.12607890297195032,0.8865289873252447,0,6,34.25182229413119,0.46615511122722064,0
7,1,none,0.12607890297195032,0.8865289873252447,0,7,42.830585998680114,0.592234014199171,0
8,1,none,0.16024429776833762,0.8557801320084961,0,8,51.11179918009993,0.7524783119675086,0
9,1,none,0.19553844887800795,0.8240153960097929,0,9,59.085631364207494,0.9480167608455166,0
10,1,none,0.19553844887800795,0.8240153960097929,0,10,67.05946354831505,1.1435552097235244,0
11,1,none,0.19553844887800795,0.8240153960097929,0,11,75.03329573242262,1.3390936586015323,0
12,1,none,0.23199864815203958,0.7912012166631643,0,12,82.68959166582873,1.5710923067535718,0
13,1,none,0.26966341948968664,0.757302922459282,0,13,90.01786058588272,1.8407557262432586,0
14,1,none,0.30857255954278695,0.7222846964114917,0,14,97.00726513611744,2.1493282857860456,1
15,1,none,0.3487671797649616,0.6861095382115345,0,15,103.64660991548281,2.4980954655510073,2
16,1,none,0.39028974985003634,0.6487392251349673,0,16,109.92432964926887,2.8883852154010436,3
17,1,none,0.4331841426055818,0.6101342716549764,0,17,115.82847696921975,3.3215693580066254,4
18,1,none,0.47749568030898504,0.5702538877219134,0,18,121.34670978992716,3.7990650383156104,5
19,1,none,0.5232711825950334,0.52905593566447,0,19,126.4662782681651,4.3223362209106435,6
20,1,none,0.5232711825950334,0.52905593566447,0,20,131.58584674640304,4.845607403505677,7
21,1,none,0.5705590159256081,0.5,0,21,136.42424674640304,5.416166419431285,8
22,1,none,0.6194091446937584,0.5,0,22,141.26264674640305,6.035575564125043,9
23,1,none,0.6698731840161508,0.5,0,23,146.10104674640306,6.705448748141194,10
24,1,none,0.7220044542696764,0.5,0,24,150.93944674640306,7.42745320241087,11
25,1,none,0.775858037429838,0.5,0,25,155.77784674640307,8.203311239840708,12
26,1,none,0.8314908352704451,0.5,0,26,160.61624674640308,9.034802075111154,13
27,1,none,0.8889616294861101,0.5,0,27,165.45464674640309,9.923763704597263,14
28,1,none,0.9483311438010723,0.5,0,28,170.2930467464031,10.872094848398335,15
29,1,none,1.0,0.5,0,29,175.1314467464031,11.872094848398335,16
30,1,none,1.0,0.5,0,30,179.9698467464031,12.872094848398335,17
31,1,none,1.0,0.5,0,31,184.8082467464031,13.872094848398335,18
32,1,none,1.0,0.5,0,32,189.64664674640312,14.872094848398335,19
33,1,none,1.0,0.5,0,33,194.48504674640313,15.872094848398335,20
34,1,none,1.0,0.5,0,34,199.32344674640314,16.872094848398334,21
35,1,none,1.0,0.5,0,35,204.16184674640314,17.872094848398334,22
36,1,none,1.0,0.5,0,36,209.00024674640315,18.872094848398334,23
37,1,none,1.0,0.5,0,37,213.83864674640316,19.872094848398334,24
38,1,none,1.0,0.5,0,38,218.67704674640316,20.872094848398334,25
39,1,none,1.0,0.5,0,39,223.51544674640317,21.872094848398334,26
40,1,none,1.0,0.5,0,40,228.35384674640318,22.872094848398334,27
41,1,none,1.0,0.5,0,41,233.19224674640319,23.872094848398334,28
42,1,none,1.0,0.5,0,42,238.0306467464032,24.872094848398334,29
43,1,none,1.0,0.5,0,43,242.8690467464032,25.872094848398334,30
44,1,none,1.0,0.5,0,44,247.7074467464032,26.872094848398334,31
45,1,none,1.0,0.5,0,45,252.5458467464032,27.872094848398334,32
46,1,none,1.0,0.5,0,46,257.3842467464032,28.872094848398334,33
47,1,none,1.0,0.5,0,47,262.2226467464032,29.872094848398334,34
48,1,none,1.0,0.5,0,48,267.0610467464032,30.872094848398334,35
49,1,none,1.0,0.5,0,49,271.89944674640316,31.872094848398334,36
50,1,none,1.0,0.5,0,50,276.73784674640314,32.87209484839833,37
51,1,none,1.0,0.5,0,51,281.5762467464031,33.87209484839833,38
52,1,none,1.0,0.5,0,52,287.7970467464031,34.87209484839833,39
53,1,none,1.0,0.5,0,53,294.0178467464031,35.87209484839833,40
54,1,none,1.0,0.5,0,54,300.2386467464031,36.87209484839833,41
55,1,none,1.0,0.5,0,55,306.4594467464031,37.87209484839833,42
56,1,none,1.0,0.5,0,56,312.6802467464031,38.87209484839833,43
57,1,none,1.0,0.5,0,57,318.9010467464031,39.87209484839833,44
58,1,none,1.0,0.5,0,58,325.1218467464031,40.87209484839833,45
59,1,none,1.0,0.5,0,59,331.3426467464031,41.87209484839833,46
60,1,none,1.0,0.5,0,60,337.5634467464031,42.87209484839833,47
61,1,none,1.0,0.5,0,61,343.7842467464031,43.87209484839833,48
62,1,none,1.0,0.5,0,62,350.0050467464031,44.87209484839833,49
63,1,none,1.0,0.5,0,63,356.2258467464031,45.87209484839833,50
64,1,none,1.0,0.5,0,64,362.4466467464031,46.87209484839833,51
65,1,none,1.0,0.5,0,65,368.6674467464031,47.87209484839833,52
66,1,none,1.0,0.5,0,66,374.88824674640307,48.87209484839833,53
67,1,none,1.0,0.5,0,67,381.10904674640307,49.87209484839833,54
68,1,none,1.0,0.5,0,68,387.32984674640306,50.87209484839833,55
69,1,none,1.0,0.5,0,69,393.55064674640306,51.87209484839833,56
70,1,none,1.0,0.5,0,70,399.77144674640306,52.87209484839833,57
71,1,none,1.0,0.5,0,71,405.99224674640305,53.87209484839833,58
72,1,none,1.0,0.5,0,72,412.21304674640305,54.87209484839833,59
73,1,none,1.0,0.5,0,73,418.43384674640305,55.87209484839833,60
74,1,none,1.0,0.5,0,74,424.65464674640305,56.87209484839833,61
75,1,none,1.0,0.6,0,75,431.704886746403,57.87209484839833,62
77,2,none,0.03,0.994,0,1,2.7482112,0.03,0
78,2,none,0.06099114,0.987801772,0,2,5.4792855392256,0.09099114,0
79,2,none,0.09300616528332,0.981398766943336,0,3,8.192656850070536,0.18399730528331998,0
80,2,none,0.12607890297195032,0.8865289873252447,0,4,16.771420554619464,0.31007620825527027,0
81,2,none,0.16024429776833762,0.8557801320084961,0,5,25.05263373603928,0.47032050602360786,0
82,2,none,0.19553844887800795,0.8240153960097929,0,6,33.02646592014684,0.6658589549016158,0
83,2,none,0.23199864815203958,0.7912012166631643,0,7,40.68276185355295,0.8978576030536554,0
84,2,none,0.26966341948968664,0.757302922459282,0,8,48.011030773606926,1.1675210225433421,0
85,2,none,0.30857255954278695,0.7222846964114917,0,9,55.00043532384165,1.4760935820861292,1
86,2,none,0.3487671797649616,0.6861095382115345,0,10,61.63978010320703,1.8248607618510908,2
87,2,none,0.39028974985003634,0.6487392251349673,0,11,67.91749983699309,2.215150511701127,3
88,2,none,0.4331841426055818,0.6101342716549764,0,12,73.82164715694397,2.648334654306709,4
89,2,none,0.4331841426055818,0.6101342716549764,0,13,79.72579447689485,3.081518796912291,5
90,2,none,0.4331841426055818,0.6101342716549764,0,14,85.62994179684573,3.5147029395178726,6
91,2,none,0.47749568030898504,0.5702538877219134,0,15,91.14817461755314,3.9921986198268575,7
92,2,none,0.5232711825950334,0.52905593566447,0,16,96.26774309579108,4.515469802421891,8
93,2,none,0.5705590159256081,0.5,0,17,101.10614309579108,5.086028818347499,9
94,2,none,0.6194091446937584,0.5,0,18,105.94454309579109,5.705437963041257,10
95,2,none,0.6698731840161508,0.5,0,19,110.7829430957911,6.375311147057408,11
96,2,none,0.7220044542696764,0.5,0,20,115.6213430957911,7.097315601327084,12
97,2,none,0.775858037429838,0.5,0,21,120.45974309579111,7.873173638756922,13
98,2,none,0.8314908352704451,0.5,0,22,125.29814309579112,8.704664474027368,14
99,2,none,0.8889616294861101,0.5,0,23,130.13654309579113,9.593626103513477,15
100,2,none,0.9483311438010723,0.5,0,24,134.97494309579113,10.54195724731455,16
101,2,none,1.0,0.5,0,25,139.81334309579114,11.54195724731455,17
102,2,none,1.0,0.5,0,26,144.65174309579115,12.54195724731455,18
103,2,none,1.0,0.5,0,27,149.49014309579115,13.54195724731455,19
104,2,none,1.0,0.5,0,28,154.32854309579116,14.54195724731455,20
105,2,none,1.0,0.5,0,29,159.16694309579117,15.54195724731455,21
106,2,none,1.0,0.5,0,30,164.00534309579118,16.54195724731455,22
107,2,none,1.0,0.5,0,31,168.84374309579118,17.54195724731455,23
108,2,none,1.0,0.5,0,32,173.6821430957912,18.54195724731455,24
109,2,none,1.0,0.5,0,33,178.5205430957912,19.54195724731455,25
110,2,none,1.0,0.5,0,34,183.3589430957912,20.54195724731455,26
111,2,none,1.0,0.5,0,35,188.1973430957912,21.54195724731455,27
112,2,none,1.0,0.5,0,36,193.03574309579122,22.54195724731455,28
113,2,none,1.0,0.5,0,37,197.87414309579123,23.54195724731455,29
114,2,none,1.0,0.5,0,38,202.71254309579123,24.54195724731455,30
115,2,none,1.0,0.5,0,39,207.55094309579124,25.54195724731455,31
116,2,none,1.0,0.5,0,40,212.38934309579125,26.54195724731455,32
117,2,none,1.0,0.5,0,41,217.22774309579125,27.54195724731455,33
118,2,none,1.0,0.5,0,42,222.06614309579126,28.54195724731455,34
119,2,none,1.0,0.5,0,43,226.90454309579127,29.54195724731455,35
120,2,none,1.0,0.5,0,44,231.74294309579128,30.54195724731455,36
121,2,none,1.0,0.5,0,45,236.58134309579128,31.54195724731455,37
122,2,none,1.0,0.5,0,46,241.4197430957913,32.54195724731455,38
123,2,none,1.0,0.5,0,47,246.2581430957913,33.54195724731455,39
124,2,none,1.0,0.5,0,48,251.0965430957913,34.54195724731455,40
125,2,none,1.0,0.5,0,49,255.9349430957913,35.54195724731455,41
126,2,none,1.0,0.5,0,50,260.7733430957913,36.54195724731455,42
127,2,none,1.0,0.5,0,51,265.61174309579127,37.54195724731455,43
128,2,none,1.0,0.5,0,52,271.83254309579127,38.54195724731455,44
129,2,none,1.0,0.5,0,53,278.05334309579126,39.54195724731455,45
130,2,none,1.0,0.5,0,54,284.27414309579126,40.54195724731455,46
131,2,none,1.0,0.5,0,55,290.49494309579126,41.54195724731455,47
132,2,none,1.0,0.5,0,56,296.71574309579125,42.54195724731455,48
133,2,none,1.0,0.5,0,57,302.93654309579125,43.54195724731455,49
134,2,none,1.0,0.5,0,58,309.15734309579125,44.54195724731455,50
135,2,none,1.0,0.5,0,59,315.37814309579124,45.54195724731455,51
136,2,none,1.0,0.5,0,60,321.59894309579124,46.54195724731455,52
137,2,none,1.0,0.5,0,61,327.81974309579124,47.54195724731455,53
138,2,none,1.0,0.5,0,62,334.04054309579124,48.54195724731455,54
139,2,none,1.0,0.5,0,63,340.26134309579123,49.54195724731455,55
140,2,none,1.0,0.5,0,64,346.48214309579123,50.54195724731455,56
141,2,none,1.0,0.5,0,65,352.7029430957912,51.54195724731455,57
142,2,none,1.0,0.5,0,66,358.9237430957912,52.54195724731455,58
143,2,none,1.0,0.5,0,67,365.1445430957912,53.54195724731455,59
144,2,none,1.0,0.5,0,68,371.3653430957912,54.54195724731455,60
145,2,none,1.0,0.5,0,69,377.5861430957912,55.54195724731455,61
146,2,none,1.0,0.5,0,70,383.8069430957912,56.54195724731455,62
147,2,none,1.0,0.5,0,71,390.0277430957912,57.54195724731455,63
148,2,none,1.0,0.5,0,72,396.2485430957912,58.54195724731455,64
149,2,none,1.0,0.5,0,73,402.4693430957912,59.54195724731455,65
150,2,none,1.0,0.5,0,74,408.6901430957912,60.54195724731455,66
151,2,none,1.0,0.6,0,75,415.7403830957912,61.54195724731455,67
153,3,none,0.03,0.994,0,1,2.7482112,0.03,0
154,3,none,0.06099114,0.987801772,0,2,5.4792855392256,0.09099114,0
155,3,none,0.09300616528332,0.981398766943336,0,3,8.192656850070536,0.18399730528331998,0
156,3,none,0.12607890297195032,0.8865289873252447,0,4,16.771420554619464,0.31007620825527027,0
157,3,none,0.16024429776833762,0.8557801320084961,0,5,25.05263373603928,0.47032050602360786,0
158,3,none,0.16024429776833762,0.8557801320084961,0,6,33.3338469174591,0.6305648037919455,0
159,3,none,0.19553844887800795,0.8240153960097929,0,7,41.30767910156666,0.8261032526699534,0
160,3,none,0.23199864815203958,0.7912012166631643,0,8,48.96397503497277,1.058101900821993,0
161,3,none,0.26966341948968664,0.757302922459282,0,9,56.29224395502675,1.3277653203116797,0
162,3,none,0.30857255954278695,0.7222846964114917,0,10,63.28164850526147,1.6363378798544668,1
163,3,none,0.3487671797649616,0.6861095382115345,0,11,69.92099328462685,1.9851050596194284,2
164,3,none,0.39028974985003634,0.6487392251349673,0,12,76.1987130184129,2.375394809469465,3
165,3,none,0.4331841426055818,0.6101342716549764,0,13,82.10286033836378,2.8085789520750466,4
166,3,none,0.47749568030898504,0.5702538877219134,0,14,87.6210931590712,3.2860746323840315,5
167,3,none,0.5232711825950334,0.52905593566447,0,15,92.74066163730913,3.809345814979065,6
168,3,none,0.5232711825950334,0.52905593566447,0,16,97.86023011554707,4.332616997574099,7
169,3,none,0.5705590159256081,0.5,0,17,102.69863011554708,4.903176013499706,8
170,3,none,0.5705590159256081,0.5,0,18,107.53703011554708,5.473735029425314,9
171,3,none,0.5705590159256081,0.5,0,19,112.37543011554709,6.044294045350922,10
172,3,none,0.5705590159256081,0.5,0,20,117.2138301155471,6.61485306127653,11
173,3,none,0.6194091446937584,0.5,0,21,122.0522301155471,7.234262205970288,12
174,3,none,0.6698731840161508,0.5,0,22,126.89063011554711,7.904135389986439,13
175,3,none,0.7220044542696764,0.5,0,23,131.72903011554712,8.626139844256116,14
176,3,none,0.775858037429838,0.5,0,24,136.56743011554713,9.401997881685954,15
177,3,none,0.8314908352704451,0.5,0,25,141.40583011554713,10.2334887169564,16
178,3,none,0.8889616294861101,0.5,0,26,146.24423011554714,11.122450346442509,17
179,3,none,0.8889616294861101,0.5,0,27,151.08263011554715,12.011411975928619,18
180,3,none,0.9483311438010723,0.5,0,28,155.92103011554715,12.95974311972969,19
181,3,none,1.0,0.5,0,29,160.75943011554716,13.95974311972969,20
182,3,none,1.0,0.5,0,30,165.59783011554717,14.95974311972969,21
183,3,none,1.0,0.5,0,31,170.43623011554718,15.95974311972969,22
184,3,none,1.0,0.5,0,32,175.27463011554718,16.95974311972969,23
185,3,none,1.0,0.5,0,33,180.1130301155472,17.95974311972969,24
186,3,none,1.0,0.5,0,34,184.9514301155472,18.95974311972969,25
