cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass,cumulative_pest_exposure,days_above_threshold
1,1,threshold,0.03,0.994,0,1,2.7482112,0.03,0
2,1,threshold,0.06099114,0.987801772,0,2,5.4792855392256,0.09099114,0
3,1,threshold,0.09300616528332,0.981398766943336,0,3,8.192656850070536,0.18399730528331998,0
4,1,threshold,0.12607890297195032,0.8865289873252447,0,4,16.771420554619464,0.31007620825527027,0
5,1,threshold,0.16024429776833762,0.8557801320084961,0,5,25.05263373603928,0.47032050602360786,0
6,1,threshold,0.19553844887800795,0.8240153960097929,0,6,33.02646592014684,0.6658589549016158,0
7,1,threshold,0.23199864815203958,0.7912012166631643,0,7,40.68276185355295,0.8978576030536554,0
8,1,threshold,0.26966341948968664,0.757302922459282,0,8,48.011030773606926,1.1675210225433421,0
9,1,threshold,0.26966341948968664,0.757302922459282,0,9,55.339299693660905,1.4371844420330286,0
10,1,threshold,0.30857255954278695,0.7222846964114917,0,10,62.32870424389563,1.7457570015758157,1
11,1,threshold,0.09375343595299229,0.9156219076423069,1,1,71.18899431976871,1.839510437528808,1
12,1,threshold,0.12685086197000725,0.8858342242269934,1,2,79.76103494076848,1.9663612994988153,1
13,1,threshold,0.16104176074777235,0.8550624153270049,1,3,88.03530292140485,2.127403060246588,1
14,1,threshold,0.19636225843935726,0.8232739674045785,1,4,96.00196044918547,2.323765318685945,1
15,1,threshold,0.23284967473367674,0.7904352927396909,1,5,103.65084468996892,2.556614993419622,1
16,1,threshold,0.27054256228752793,0.7565116939412249,1,6,110.97145704989937,2.8271575557071498,1
17,1,threshold,0.3094807474603833,0.7214673272856551,1,7,117.9529520825772,3.136638303167533,2
18,1,threshold,0.09394107447899587,0.9154530329689037,2,1,126.81160799201069,3.230579377646529,2
19,1,threshold,0.12704469969763293,0.8856597702721304,2,2,135.38196045698004,3.3576240773441617,2
20,1,threshold,0.16124200248624332,0.8548821977623811,2,3,143.65448450828706,3.518866079830405,2
21,1,threshold,0.19656911576438382,0.8230877958120546,2,4,151.61934049080114,3.7154351955947886,2
22,1,threshold,0.23306336621100754,0.7902429704100932,2,5,159.26636366686552,3.9484985618057964,2
23,1,threshold,0.27076331370388684,0.7563130176665018,2,6,166.5850534762207,4.219261875509683,2
24,1,threshold,0.3097087920620359,0.7212620871441677,2,7,173.5645624410974,4.528970667571719,3
25,1,threshold,0.09398819022683627,0.9154106287958473,3,1,182.42280801382904,4.622958857798555,3
26,1,threshold,0.1270933720555505,0.8856159651500045,3,2,190.9927365853926,4.750052229854106,3
27,1,threshold,0.1270933720555505,0.8856159651500045,3,3,199.56266515695617,4.877145601909656,3
28,1,threshold,0.1270933720555505,0.8856159651500045,3,4,208.13259372851974,5.004238973965206,3
29,1,threshold,0.1270933720555505,0.8856159651500045,3,5,216.7025223000833,5.1313323460207565,3
30,1,threshold,0.16129228288152175,0.8548369454066305,3,6,224.97460845339418,5.292624628902278,3
31,1,threshold,0.19662105732336146,0.8230410484089747,3,7,232.93901207063814,5.489245686225639,3
32,1,threshold,0.23311702381521068,0.7901946785663103,3,8,240.58556793618862,5.72236271004085,3
33,1,threshold,0.2708187440480176,0.7562631303567842,3,9,247.90377499602516,5.993181454088867,3
34,1,threshold,0.2708187440480176,0.7562631303567842,3,10,255.2219820558617,6.264000198136884,3
35,1,threshold,0.2708187440480176,0.7562631303567842,3,11,262.54018911569824,6.534818942184901,3
36,1,threshold,0.30976605371387594,0.7212105516575116,3,12,269.51919938197767,6.844584995898777,4
37,1,threshold,0.061953210742775176,0.9442421103315023,4,1,278.65644143523355,6.906538206641552,4
38,1,threshold,0.09400002091929499,0.9153999811726345,4,2,287.5145839730449,7.000538227560847,4
39,1,threshold,0.09400002091929499,0.9153999811726345,4,3,296.3727265108563,7.094538248480142,4
40,1,threshold,0.12710559361042667,0.885604965750616,4,4,304.94254864343185,7.221643842090569,4
41,1,threshold,0.16130490821212795,0.8548255826090848,4,5,313.21452484122347,7.382948750302697,4
42,1,threshold,0.19663409976964022,0.8230293102073238,4,6,321.1788148702377,7.579582850072337,4
43,1,threshold,0.2331304971578296,0.7901825525579533,4,7,328.8252533948305,7.812713347230167,4
44,1,threshold,0.27083266252293,0.756250603729363,4,8,336.14333923699877,8.083546009753096,4
45,1,threshold,0.3097804320273625,0.7211976111753737,4,9,343.1222242808206,8.39332644178046,5
46,1,threshold,0.06195608640547248,0.9442395222350748,5,1,352.25944128958497,8.455282528185933,5
47,1,threshold,0.09400299158813648,0.9153973075706772,5,2,361.1175579554849,8.549285519774068,5
48,1,threshold,0.09400299158813648,0.9153973075706772,5,3,369.9756746213849,8.643288511362204,5
49,1,threshold,0.09400299158813648,0.9153973075706772,5,4,378.83379128728484,8.73729150295034,5
50,1,threshold,0.09400299158813648,0.9153973075706772,5,5,387.6919079531848,8.831294494538476,5
51,1,threshold,0.09400299158813648,0.9153973075706772,5,6,396.55002461908475,8.925297486126611,5
52,1,threshold,0.12710866242422533,0.9110239363030422,5,7,407.88462002499267,9.052406148550837,5
53,1,threshold,0.1613080784133969,0.8870843451106222,5,8,418.921368613121,9.213714226964234,5
54,1,threshold,0.1966373747080187,0.8623538377043869,5,9,429.6504301203039,9.410351601672252,5
55,1,threshold,0.23313388029362223,0.8368062837944644,5,10,440.0616391807611,9.643485481965874,5
56,1,threshold,0.2708361574307629,0.810414689798466,5,11,450.14449458535773,9.914321639396636,5
57,1,threshold,0.3097840423999604,0.7831511703200278,5,12,459.8881481860114,10.224105681796596,6
58,1,threshold,0.06195680847999206,0.9566302340640056,6,1,471.7901589061421,10.286062490276588,6
59,1,threshold,0.06195680847999206,0.9566302340640056,6,2,483.6921696262728,10.348019298756581,6
60,1,threshold,0.09400373751855404,0.9341973837370122,6,3,495.3150797957752,10.442023036275135,6
61,1,threshold,0.127109432998692,0.9110233969009156,6,4,506.64966849065763,10.569132469273827,6
62,1,threshold,0.16130887444610278,0.887083787887728,6,5,517.6864101460416,10.73044134371993,6
63,1,threshold,0.16130887444610278,0.887083787887728,6,6,528.7231518014255,10.891750218166033,6
64,1,threshold,0.16130887444610278,0.887083787887728,6,7,539.7598934568094,11.053059092612136,6
65,1,threshold,0.19663819704005311,0.8623532620719628,6,8,550.4889478022039,11.24969728965219,6
66,1,threshold,0.19663819704005311,0.8623532620719628,6,9,561.2180021475984,11.446335486692243,6
67,1,threshold,0.23313472979386238,0.8368056891442963,6,10,571.6292038096561,11.679470216486106,6
68,1,threshold,0.270837034996792,0.8104140755022455,6,11,581.7120515714249,11.950307251482897,6
69,1,threshold,0.30978494895901604,0.7831505357286888,6,12,591.455697276747,12.260092200441914,7
70,1,threshold,0.09400392482054479,0.9341972526256187,7,1,603.0786058150138,12.354096125262458,7
71,1,threshold,0.12710962648876595,0.9110232614578638,7,2,614.413192824768,12.481205751751224,7
72,1,threshold,0.12710962648876595,0.9110232614578638,7,3,625.7477798345221,12.60831537823999,7
73,1,threshold,0.16130907432870178,0.8870836479699088,7,4,636.7845197491046,12.769624452568692,7
74,1,threshold,0.19663840352637343,0.8623531175315386,7,5,647.513572296185,12.966262856095065,7
75,1,threshold,0.23313494310207775,0.9067460227591689,7,6,658.1682007620143,13.199397799197143,7
77,2,threshold,0.03,0.994,0,1,2.7482112,0.03,0
78,2,threshold,0.06099114,0.987801772,0,2,5.4792855392256,0.09099114,0
79,2,threshold,0.09300616528332,0.981398766943336,0,3,8.192656850070536,0.18399730528331998,0
80,2,threshold,0.09300616528332,0.916294451245012,0,4,17.05945499587827,0.27700347056664,0
81,2,threshold,0.12607890297195032,0.8865289873252447,0,5,25.638218700427196,0.40308237353859033,0
82,2,threshold,0.16024429776833762,0.8557801320084961,0,6,33.91943188184701,0.5633266713069279,0
83,2,threshold,0.19553844887800795,0.8240153960097929,0,7,41.893264065954575,0.7588651201849359,0
84,2,threshold,0.23199864815203958,0.7912012166631643,0,8,49.54955999936068,0.9908637683369754,0
85,2,threshold,0.26966341948968664,0.757302922459282,0,9,56.87782891941466,1.260527187826662,0
86,2,threshold,0.30857255954278695,0.7222846964114917,0,10,63.867233469649385,1.569099747369449,1
87,2,threshold,0.09375343595299229,0.9156219076423069,1,1,72.72752354552246,1.6628531833224414,1
88,2,threshold,0.12685086197000725,0.8858342242269934,1,2,81.29956416652223,1.7897040452924486,1
89,2,threshold,0.16104176074777235,0.8550624153270049,1,3,89.5738321471586,1.950745806040221,1
90,2,threshold,0.16104176074777235,0.8550624153270049,1,4,97.84810012779496,2.1117875667879935,1
91,2,threshold,0.19636225843935726,0.8232739674045785,1,5,105.81475765557559,2.3081498252273507,1
92,2,threshold,0.19636225843935726,0.8232739674045785,1,6,113.78141518335622,2.504512083666708,1
93,2,threshold,0.19636225843935726,0.8232739674045785,1,7,121.74807271113684,2.700874342106065,1
94,2,threshold,0.23284967473367674,0.7904352927396909,1,8,129.3969569519203,2.933724016839742,1
95,2,threshold,0.27054256228752793,0.7565116939412249,1,9,136.71756931185072,3.2042665791272698,1
96,2,threshold,0.3094807474603833,0.7214673272856551,1,10,143.69906434452855,3.513747326587653,2
97,2,threshold,0.06189614949207664,0.944293465457131,2,1,152.8368033510641,3.5756434760797293,2
98,2,threshold,0.09394107447899587,0.9154530329689037,2,2,161.69545926049759,3.6695845505587252,2
99,2,threshold,0.12704469969763293,0.8856597702721304,2,3,170.26581172546693,3.796629250256358,2
100,2,threshold,0.16124200248624332,0.8548821977623811,2,4,178.53833577677395,3.9578712527426014,2
101,2,threshold,0.19656911576438382,0.8230877958120546,2,5,186.50319175928803,4.154440368506985,2
102,2,threshold,0.23306336621100754,0.7902429704100932,2,6,194.1502149353524,4.387503734717993,2
103,2,threshold,0.27076331370388684,0.7563130176665018,2,7,201.4689047447076,4.658267048421879,2
104,2,threshold,0.3097087920620359,0.7212620871441677,2,8,208.4484137095843,4.967975840483915,3
105,2,threshold,0.09398819022683627,0.9154106287958473,3,1,217.30665928231593,5.061964030710752,3
106,2,threshold,0.1270933720555505,0.8856159651500045,3,2,225.8765878538795,5.189057402766302,3
107,2,threshold,0.16129228288152175,0.8548369454066305,3,3,234.14867400719038,5.350349685647824,3
108,2,threshold,0.19662105732336146,0.8230410484089747,3,4,242.11307762443434,5.546970742971186,3
109,2,threshold,0.23311702381521068,0.7901946785663103,3,5,249.75963348998482,5.780087766786396,3
110,2,threshold,0.23311702381521068,0.7901946785663103,3,6,257.4061893555353,6.013204790601606,3
111,2,threshold,0.23311702381521068,0.7901946785663103,3,7,265.05274522108573,6.246321814416817,3
112,2,threshold,0.2708187440480176,0.7562631303567842,3,8,272.37095228092227,6.517140558464834,3
113,2,threshold,0.30976605371387594,0.7212105516575116,3,9,279.3499625472017,6.82690661217871,4
114,2,threshold,0.09400002091929499,0.9153999811726345,4,1,288.2081050850131,6.920906633098005,4
115,2,threshold,0.12710559361042667,0.885604965750616,4,2,296.7779272175886,7.0480122267084315,4
116,2,threshold,0.16130490821212795,0.8548255826090848,4,3,305.04990341538024,7.20931713492056,4
117,2,threshold,0.19663409976964022,0.8230293102073238,4,4,313.0141934443945,7.4059512346902,4
118,2,threshold,0.2331304971578296,0.7901825525579533,4,5,320.6606319689873,7.639081731848029,4
119,2,threshold,0.27083266252293,0.756250603729363,4,6,327.97871781115555,7.90991439437096,4
120,2,threshold,0.3097804320273625,0.7211976111753737,4,7,334.9576028549774,8.219694826398323,5
121,2,threshold,0.09400299158813648,0.9153973075706772,5,1,343.81571952087734,8.313697817986458,5
122,2,threshold,0.12710866242422533,0.8856022038181972,5,2,352.3855149267853,8.440806480410684,5
123,2,threshold,0.1613080784133969,0.8548227294279428,5,3,360.6574635149136,8.60211455882408,5
124,2,threshold,0.1613080784133969,0.8548227294279428,5,4,368.92941210304195,8.763422637237477,5
125,2,threshold,0.1966373747080187,0.8230263627627832,5,5,376.8936736102249,8.960060011945496,5
126,2,threshold,0.23313388029362223,0.79017950773574,5,6,384.54008267068207,9.193193892239117,5
127,2,threshold,0.2708361574307629,0.7562474583123133,5,7,391.85813807527865,9.46403004966988,5
128,2,threshold,0.2708361574307629,0.810414689798466,5,8,401.94099347987526,9.734866207100643,5
129,2,threshold,0.3097840423999604,0.7831511703200278,5,9,411.6846470805289,10.044650249500602,6
130,2,threshold,0.06195680847999206,0.9566302340640056,6,1,423.5866578006596,10.106607057980595,6
131,2,threshold,0.09400373751855404,0.9341973837370122,6,2,435.209567970162,10.200610795499149,6
132,2,threshold,0.127109432998692,0.9110233969009156,6,3,446.54415666504445,10.32772022849784,6
133,2,threshold,0.127109432998692,0.9110233969009156,6,4,457.8787453599269,10.454829661496532,6
134,2,threshold,0.16130887444610278,0.887083787887728,6,5,468.9154870153108,10.616138535942635,6
135,2,threshold,0.19663819704005311,0.8623532620719628,6,6,479.6445413607054,10.81277673298269,6
136,2,threshold,0.23313472979386238,0.8368056891442963,6,7,490.05574302276307,11.045911462776552,6
137,2,threshold,0.270837034996792,0.8104140755022455,6,8,500.1385907845318,11.316748497773343,6
138,2,threshold,0.270837034996792,0.8104140755022455,6,9,510.22143854630053,11.587585532770134,6
139,2,threshold,0.30978494895901604,0.7831505357286888,6,10,519.9650842516226,11.897370481729151,7
140,2,threshold,0.09400392482054479,0.9341972526256187,7,1,531.5879927898894,11.991374406549696,7
141,2,threshold,0.12710962648876595,0.9110232614578638,7,2,542.9225797996436,12.118484033038461,7
142,2,threshold,0.16130907432870178,0.8870836479699088,7,3,553.959319714226,12.279793107367164,7
143,2,threshold,0.19663840352637343,0.8623531175315386,7,4,564.6883722613064,12.476431510893537,7
144,2,threshold,0.23313494310207775,0.8368055398285456,7,5,575.0995720656373,12.709566453995615,7
145,2,threshold,0.23313494310207775,0.8368055398285456,7,6,585.5107718699682,12.942701397097693,7
146,2,threshold,0.23313494310207775,0.8368055398285456,7,7,595.921971674299,13.175836340199771,7
147,2,threshold,0.2708372553522842,0.8104139212534011,7,8,606.0048175169653,13.446673595552054,7
148,2,threshold,0.30978517659461297,0.7831503763837709,7,9,615.7484612397816,13.756458772146667,8
149,2,threshold,0.09400397185178914,0.9341972197037476,8,1,627.3713693684477,13.850462743998456,8
150,2,threshold,0.12710967507382856,0.91102322744832,8,2,638.7059559550688,13.977572419072285,8
151,2,threshold,0.1613091245189177,0.9354763501924329,8,3,649.69817726037,14.138881543591202,8
153,3,threshold,0.03,0.994,0,1,2.7482112,0.03,0
154,3,threshold,0.06099114,0.987801772,0,2,5.4792855392256,0.09099114,0
155,3,threshold,0.09300616528332,0.981398766943336,0,3,8.192656850070536,0.18399730528331998,0
156,3,threshold,0.12607890297195032,0.8865289873252447,0,4,16.771420554619464,0.31007620825527027,0
157,3,threshold,0.16024429776833762,0.8557801320084961,0,5,25.05263373603928,0.47032050602360786,0
158,3,threshold,0.19553844887800795,0.8240153960097929,0,6,33.02646592014684,0.6658589549016158,0
159,3,threshold,0.23199864815203958,0.7912012166631643,0,7,40.68276185355295,0.8978576030536554,0
160,3,threshold,0.26966341948968664,0.757302922459282,0,8,48.011030773606926,1.1675210225433421,0
161,3,threshold,0.30857255954278695,0.7222846964114917,0,9,55.00043532384165,1.4760935820861292,1
162,3,threshold,0.09375343595299229,0.9156219076423069,1,1,63.860725399714724,1.5698470180391215,1
163,3,threshold,0.12685086197000725,0.8858342242269934,1,2,72.4327660207145,1.6966978800091288,1
164,3,threshold,0.16104176074777235,0.8550624153270049,1,3,80.70703400135086,1.8577396407569011,1
165,3,threshold,0.19636225843935726,0.8232739674045785,1,4,88.67369152913149,2.0541018991962585,1
166,3,threshold,0.23284967473367674,0.7904352927396909,1,5,96.32257576991493,2.2869515739299353,1
167,3,threshold,0.27054256228752793,0.7565116939412249,1,6,103.64318812984538,2.5574941362174632,1
168,3,threshold,0.3094807474603833,0.7214673272856551,1,7,110.62468316252321,2.8669748836778464,2
169,3,threshold,0.09394107447899587,0.9154530329689037,2,1,119.48333907195669,2.9609159581568423,2
170,3,threshold,0.12704469969763293,0.8856597702721304,2,2,128.05369153692604,3.087960657854475,2
171,3,threshold,0.16124200248624332,0.8548821977623811,2,3,136.32621558823305,3.2492026603407185,2
172,3,threshold,0.19656911576438382,0.8230877958120546,2,4,144.29107157074714,3.445771776105102,2
173,3,threshold,0.23306336621100754,0.7902429704100932,2,5,151.93809474681152,3.6788351423161094,2
174,3,threshold,0.27076331370388684,0.7563130176665018,2,6,159.2567845561667,3.9495984560199964,2
175,3,threshold,0.3097087920620359,0.7212620871441677,2,7,166.2362935210434,4.259307248082032,3
176,3,threshold,0.09398819022683627,0.9154106287958473,3,1,175.09453909377504,4.3532954383088684,3
177,3,threshold,0.1270933720555505,0.8856159651500045,3,2,183.6644676653386,4.480388810364419,3
178,3,threshold,0.16129228288152175,0.8548369454066305,3,3,191.9365538186495,4.641681093245941,3
179,3,threshold,0.19662105732336146,0.8230410484089747,3,4,199.90095743589345,4.8383021505693025,3
180,3,threshold,0.23311702381521068,0.7901946785663103,3,5,207.54751330144393,5.071419174384513,3
181,3,threshold,0.2708187440480176,0.7562631303567842,3,6,214.86572036128047,5.34223791843253,3
182,3,threshold,0.30976605371387594,0.7212105516575116,3,7,221.84473062755987,5.652003972146406,4
183,3,threshold,0.061953210742775176,0.9442421103315023,4,1,230.98197268081574,5.713957182889181,4
184,3,threshold,0.09400002091929499,0.9153999811726345,4,2,239.8401152186271,5.807957203808476,4
185,3,threshold,0.12710559361042667,0.885604965750616,4,3,248.40993735120264,5.935062797418903,4
186,3,threshold,0.16130490821212795,0.8548255826090848,4,4,256.68191354899426,6.096367705631031,4
187,3,threshold,0.19663409976964022,0.8230293102073238,4,5,264.6462035780085,6.293001805400671,4
188,3,threshold,0.2331304971578296,0.7901825525579533,4,6,272.2926421026013,6.5261323025585005,4
189,3,threshold,0.27083266252293,0.756250603729363,4,7,279.61072794476956,6.796964965081431,4
190,3,threshold,0.27083266252293,0.756250603729363,4,8,286.92881378693784,7.067797627604361,4
191,3,threshold,0.3097804320273625,0.7211976111753737,4,9,293.90769883075967,7.377578059631723,5
192,3,threshold,0.06195608640547248,0.9442395222350748,5,1,303.04491583952404,7.439534146037196,5
193,3,threshold,0.09400299158813648,0.9153973075706772,5,2,311.903032505424,7.533537137625332,5
194,3,threshold,0.12710866242422533,0.8856022038181972,5,3,320.47282791133193,7.660645800049558,5
195,3,threshold,0.1613080784133969,0.8548227294279428,5,4,328.7447764994603,7.8219538784629545,5
196,3,threshold,0.1966373747080187,0.8230263627627832,5,5,336.7090380066432,8.018591253170973,5
197,3,threshold,0.23313388029362223,0.79017950773574,5,6,344.3554470671004,8.251725133464594,5
198,3,threshold,0.2708361574307629,0.7562474583123133,5,7,351.67350247169696,8.522561290895357,5
199,3,threshold,0.3097840423999604,0.7211943618400356,5,8,358.65235607235064,8.832345333295317,6
200,3,threshold,0.09400373751855404,0.9153966362333014,6,1,367.51046624185307,8.92634907081387,6
201,3,threshold,0.127109432998692,0.8856015103011772,6,2,376.0802549367355,9.053458503812562,6
202,3,threshold,0.16130887444610278,0.8548220129985075,6,3,384.35219659211947,9.214767378258665,6
203,3,threshold,0.19663819704005311,0.8230256226639522,6,4,392.316450937514,9.41140557529872,6
204,3,threshold,0.23313472979386238,0.8368056891442963,6,5,402.7276525995717,9.644540305092582,6
205,3,threshold,0.23313472979386238,0.8368056891442963,6,6,413.1388542616294,9.877675034886444,6
206,3,threshold,0.270837034996792,0.8104140755022455,6,7,423.2217020233981,10.148512069883235,6
207,3,threshold,0.30978494895901604,0.7831505357286888,6,8,432.9653477287202,10.458297018842252,7
208,3,threshold,0.09400392482054479,0.9341972526256187,7,1,444.58825626698706,10.552300943662797,7
209,3,threshold,0.12710962648876595,0.9110232614578638,7,2,455.9228432767412,10.679410570151562,7
210,3,threshold,0.16130907432870178,0.8870836479699088,7,3,466.95958319132365,10.840719644480265,7
211,3,threshold,0.19663840352637343,0.8623531175315386,7,4,477.68863573840406,11.037358048006638,7
212,3,threshold,0.19663840352637343,0.8623531175315386,7,5,488.4176882854845,11.233996451533011,7
213,3,threshold,0.23313494310207775,0.8368055398285456,7,6,498.8288880898153,11.46713139463509,7
214,3,threshold,0.2708372553522842,0.8104139212534011,7,7,508.9117339324816,11.737968649987373,7
215,3,threshold,0.30978517659461297,0.7831503763837709,7,8,518.6553776552979,12.047753826581985,8
216,3,threshold,0.09400397185178914,0.9341972197037476,8,1,530.2782857839641,12.141757798433774,8
217,3,threshold,0.12710967507382856,0.91102322744832,8,2,541.6128723705851,12.268867473507603,8
218,3,threshold,0.1613091245189177,0.8870836128367576,8,3,552.649611848055,12.43017659802652,8
219,3,threshold,0.1966384553747737,0.8623530812376584,8,4,563.3786639435814,12.626815053401295,8
220,3,threshold,0.1966384553747737,0.8623530812376584,8,5,574.1077160391078,12.823453508776069,8
221,3,threshold,0.23313499666344548,0.8368055023355881,8,6,584.5189153769662,13.056588505439514,8
222,3,threshold,0.2708373106832124,0.8104138825217513,8,7,594.6017607377488,13.327425816122727,8
223,3,threshold,0.30978523375356437,0.783150336372505,8,8,604.345403962761,13.63721104987629,9
224,3,threshold,0.09400398366126292,0.934197211437116,9,1,615.968311988577,13.731215033537554,9
225,3,threshold,0.12710968727346372,0.9110232189085754,9,2,627.3028984689499,13.858324720811018,9
226,3,threshold,0.1613091371216044,0.887083604014877,9,3,638.3396378366614,14.019633857932622,9
227,3,threshold,0.1613091371216044,0.9354763451513582,9,4,649.3318590827279,14.180942995054226,9
