run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money
none_3,none,0.7,0.03,1,2.223278559598939,1.7842990404010615,0,11669.835678796817
none_2,none,0.7,0.03,1,2.1719813195124313,1.8355962804875696,0,11515.943958537293
none_1,none,0.7,0.03,1,2.186801856668876,1.8207757433311254,0,11560.405570006627
none_0,none,0.7,0.03,1,2.1734433955992687,1.8341342044007325,0,11520.330186797806
none_3,none,0.7,0.03,2,2.1940048212073258,1.813572778792675,0,18251.850142418793
none_2,none,0.7,0.03,2,2.2379575997244214,1.769620000275579,0,18229.816757710556
none_1,none,0.7,0.03,2,2.25124731183027,1.756330288169731,0,18314.147505497436
none_0,none,0.7,0.03,2,2.2186789721970377,1.788898627802963,0,18176.36710338892
none_3,none,0.7,0.03,3,2.2070066915573903,1.800570908442611,0,24872.870217090964
none_2,none,0.7,0.03,3,2.229590198037963,1.777987401962038,0,24918.587351824444
none_1,none,0.7,0.03,3,2.1592985573928196,1.8482790426071818,0,24792.043177675896
none_0,none,0.7,0.03,3,2.18488136303281,1.8226962369671913,0,24731.01119248735
none_7,none,0.7,0.03,1,2.152228296057462,1.855349303942539,0,11456.684888172385
none_6,none,0.7,0.03,1,2.1654865742995244,1.8420910257004772,0,11496.459722898573
none_5,none,0.7,0.03,1,2.180072337678048,1.8275052623219525,0,11540.217013034144
none_4,none,0.7,0.03,1,2.220758971726287,1.786818628273714,0,11662.27691517886
none_7,none,0.7,0.03,2,2.2054009161826627,1.8021766838173385,0,18072.887636720374
none_6,none,0.7,0.03,2,2.3117855235403404,1.69579207645966,0,18431.816293519594
none_5,none,0.7,0.03,2,2.2415447220790212,1.7660328779209797,0,18264.85117927121
none_4,none,0.7,0.03,2,2.193332816963493,1.8142447830365083,0,18242.275366069338
none_7,none,0.7,0.03,3,2.195339572359559,1.8122380276404422,0,24658.90635379905
none_6,none,0.7,0.03,3,2.1923536327036786,1.8152239672963226,0,25008.87719163063
none_5,none,0.7,0.03,3,2.2091002596483795,1.7984773403516214,0,24892.151958216346
none_4,none,0.7,0.03,3,2.202033490240041,1.80554410975996,0,24848.375836789462
none_9,none,0.7,0.03,1,2.2507532852312435,1.756824314768757,0,11752.25985569373
none_8,none,0.7,0.03,1,2.210564189230408,1.7970134107695928,0,11631.692567691225
none_11,none,0.7,0.03,1,2.2281255831741538,1.779452016825847,0,11684.37674952246
none_10,none,0.7,0.03,1,2.1726123533917288,1.8349652466082724,0,11517.837060175187
none_9,none,0.7,0.03,2,2.1831665431736518,1.8244110568263492,0,18301.759485214687
none_8,none,0.7,0.03,2,2.1913449490160857,1.8162326509839153,0,18205.727414739482
none_11,none,0.7,0.03,2,2.2641683632944565,1.7434092367055443,0,18476.88183940583
none_10,none,0.7,0.03,2,2.1907662477481997,1.8168113522518012,0,18090.135803419784
none_9,none,0.7,0.03,3,2.1755365055654035,1.832041094434598,0,24828.369001910898
none_8,none,0.7,0.03,3,2.1768031528309204,1.8307744471690808,0,24736.136873232244
none_11,none,0.7,0.03,3,2.199522228941703,1.8080553710582985,0,25075.44852623094
none_10,none,0.7,0.03,3,2.2822962073594546,1.7252813926405455,0,24937.024425498148
none_15,none,0.7,0.03,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876
none_14,none,0.7,0.03,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876
none_13,none,0.7,0.03,1,2.1895518208698377,1.818025779130163,0,11568.655462609513
none_12,none,0.7,0.03,1,2.2143936193560725,1.7931839806439283,0,11643.180858068217
none_15,none,0.7,0.03,2,2.1756028047501785,1.8319747952498227,0,17979.107074162413
none_14,none,0.7,0.03,2,2.222058590844563,1.785519009155438,0,18118.474432445564
