run_id,strategy,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
none_1,none,1,0,0,2.227956948173032,1.7796206518269688,0,0.0,100.0
none_1,none,1,1,0,2.1840392820370385,1.8235383179629632,0,0.0,100.0
none_1,none,1,2,0,2.2037898325583805,1.803787767441621,0,0.0,100.0
none_1,none,1,3,0,2.2180468744561415,1.78953072554386,0,0.0,100.0
none_1,none,1,4,0,2.215466817545075,1.7921107824549265,0,0.0,100.0
none_1,none,1,5,0,2.191437233787077,1.8161403662129245,0,0.0,100.0
none_1,none,1,6,0,2.2113092448771625,1.7962683551228384,0,0.0,100.0
none_1,none,1,7,0,2.219295332720554,1.788282267279447,0,0.0,100.0
none_1,none,1,8,0,2.2085357056179884,1.7990418943820128,0,0.0,100.0
none_1,none,1,9,0,2.2844585042260706,1.7231190957739297,0,0.0,100.0
none_1,none,1,0,1,2.1632982664767897,1.8442793335232122,0,0.0,100.0
none_1,none,1,1,1,2.1405453523425786,1.867032247657423,0,0.0,100.0
none_1,none,1,2,1,2.1695690370204894,1.838008562979512,0,0.0,100.0
none_1,none,1,3,1,2.1879396009892313,1.81963799901077,0,0.0,100.0
none_1,none,1,4,1,2.1727847660004707,1.834792833999531,0,0.0,100.0
none_1,none,1,5,1,2.1733666568622114,1.8342109431377895,0,0.0,100.0
none_1,none,1,6,1,2.1917771239800956,1.8158004760199056,0,0.0,100.0
none_1,none,1,7,1,2.1627917617691916,1.8447858382308095,0,0.0,100.0
none_1,none,1,8,1,2.1738365532323294,1.8337410467676722,0,0.0,100.0
none_1,none,1,9,1,2.184025280034087,1.8235523199659145,0,0.0,100.0
none_1,none,1,0,2,2.221879184250811,1.7856984157491902,0,0.0,100.0
none_1,none,1,1,2,2.1734770155037832,1.8341005844962177,0,0.0,100.0
none_1,none,1,2,2,2.186082581935285,1.8214950180647163,0,0.0,100.0
none_1,none,1,3,2,2.199534403505175,1.808043196494826,0,0.0,100.0
none_1,none,1,4,2,2.2295062519116797,1.7780713480883215,0,0.0,100.0
none_1,none,1,5,2,2.2185636851214134,1.7890139148785873,0,0.0,100.0
none_1,none,1,6,2,2.198853001972879,1.808724598027122,0,0.0,100.0
none_1,none,1,7,2,2.2086668430865735,1.7989107569134277,0,0.0,100.0
none_1,none,1,8,2,2.1718165238634826,1.8357610761365188,0,0.0,100.0
none_1,none,1,9,2,2.2136390591942754,1.7939385408057258,0,0.0,100.0
