run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_3,none,0.9,0.03,1,2.2427606024987585,1.764816997501242,0,11728.281807496274,100.0
none_0,none,0.9,0.03,1,2.208717347869759,1.7988602521302424,0,11626.152043609276,100.0
none_1,none,0.9,0.03,1,2.1718950577524314,1.83568254224757,0,11515.685173257294,100.0
none_2,none,0.9,0.03,1,2.184628619260489,1.8229489807395118,0,11553.885857781468,100.0
none_3,none,0.9,0.03,2,2.185969415338257,1.821608184661744,0,18286.190053511047,100.0
none_0,none,0.9,0.03,2,2.248155351849438,1.7594222481505626,0,18370.61809915759,100.0
none_1,none,0.9,0.03,2,2.2439050807148004,1.7636725192852003,0,18247.400415401695,100.0
none_2,none,0.9,0.03,2,2.170130924600845,1.8374466753991558,0,18064.278631584002,100.0
none_3,none,0.9,0.03,3,2.193201133165612,1.814376466834389,0,24865.793453007886,100.0
none_0,none,0.9,0.03,3,2.1807909070602483,1.8267866929397532,0,24912.990820338335,100.0
none_1,none,0.9,0.03,3,2.194378867895008,1.8131987321049932,0,24830.537019086718,100.0
none_2,none,0.9,0.03,3,2.152228296057462,1.855349303942539,0,24520.963519756388,100.0
none_4,none,0.9,0.03,1,2.2183655646554277,1.7892120353445733,0,11655.096693966283,100.0
none_5,none,0.9,0.03,1,2.2203436895446624,1.7872339104553387,0,11661.031068633987,100.0
none_6,none,0.9,0.03,1,2.1670704673279846,1.840507132672017,0,11501.211401983954,100.0
none_7,none,0.9,0.03,1,2.1507662199706252,1.8568113800293764,0,11452.298659911876,100.0
none_4,none,0.9,0.03,2,2.1578364813059823,1.8497411186940194,0,18128.606137884228,100.0
none_5,none,0.9,0.03,2,2.195683767725478,1.8118938322745228,0,18248.082371810422,100.0
none_6,none,0.9,0.03,2,2.1814013348955004,1.8261762651045013,0,18045.415406670454,100.0
none_7,none,0.9,0.03,2,2.203775378332829,1.8038022216671723,0,18063.624794910364,100.0
none_4,none,0.9,0.03,3,2.1507662199706252,1.8568113800293764,0,24580.9047977961,100.0
none_5,none,0.9,0.03,3,2.200728167903154,1.8068494320968478,0,24850.266875519883,100.0
none_6,none,0.9,0.03,3,2.1961138615579325,1.8114637384420686,0,24633.756991344253,100.0
none_7,none,0.9,0.03,3,2.184869170087991,1.82270842991201,0,24618.232305174337,100.0
none_8,none,0.9,0.03,1,2.215660872482331,1.7919167275176702,0,11646.982617446993,100.0
none_9,none,0.9,0.03,1,2.2314445231097837,1.776133076890217,0,11694.333569329352,100.0
none_10,none,0.9,0.03,1,2.1718950577524314,1.83568254224757,0,11515.685173257294,100.0
none_11,none,0.9,0.03,1,2.229615207796925,1.7779623922030754,0,11688.845623390775,100.0
none_8,none,0.9,0.03,2,2.2367757388083014,1.7708018611916996,0,18357.309833871896,100.0
