run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_1,none,0.8,0.05,1,2.112554856999228,1.895022743000774,0,11337.664570997684,100.0
none_2,none,0.8,0.05,1,2.097079161712267,1.9104984382877348,0,11291.2374851368,100.0
none_3,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_0,none,0.8,0.05,1,2.1044636768865206,1.9031139231134813,0,11313.39103065956,100.0
none_1,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17589.70827341757,100.0
none_2,none,0.8,0.05,2,2.0996579329127196,1.9079196670872824,0,17590.21128387496,100.0
none_3,none,0.8,0.05,2,2.1021542314036292,1.9054233685963728,0,17558.506396630775,100.0
none_0,none,0.8,0.05,2,2.2452446059481366,1.762332994051864,0,18049.12484850397,100.0
none_1,none,0.8,0.05,3,2.109712482581267,1.897865117418735,0,23918.84572116137,100.0
none_2,none,0.8,0.05,3,2.1148694917406057,1.8927081082593957,0,23934.819759096776,100.0
none_3,none,0.8,0.05,3,2.0944151930688943,1.9131624069311075,0,23841.75197583746,100.0
none_0,none,0.8,0.05,3,2.101526852348087,1.9060507476519148,0,24353.70540554823,100.0
none_5,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_6,none,0.8,0.05,1,2.1231608238739788,1.8844167761260233,0,11369.482471621937,100.0
none_7,none,0.8,0.05,1,2.179798867569322,1.827778732430679,0,11539.396602707966,100.0
none_4,none,0.8,0.05,1,2.1101437559512393,1.897433844048763,0,11330.431267853717,100.0
none_5,none,0.8,0.05,2,2.188291881013041,1.81928571898696,0,17816.91934545901,100.0
none_6,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17621.526174041825,100.0
none_7,none,0.8,0.05,2,2.1692890797781135,1.8382885202218882,0,18047.263842042306,100.0
none_4,none,0.8,0.05,2,2.147650380285234,1.8599272197147674,0,17773.382408709418,100.0
none_5,none,0.8,0.05,3,2.1268467477115274,1.8807308522884743,0,24197.459588593592,100.0
none_6,none,0.8,0.05,3,2.1024561771096395,1.9051214228903623,0,23928.894705370745,100.0
none_7,none,0.8,0.05,3,2.110104821865826,1.8974727781341758,0,24377.578307639786,100.0
none_4,none,0.8,0.05,3,2.1968017118977383,1.810775888102263,0,24363.787544402632,100.0
none_8,none,0.8,0.05,1,2.0916632122294816,1.9159143877705203,0,11274.989636688446,100.0
none_9,none,0.8,0.05,1,2.2101835598257633,1.7973940401742377,0,11630.55067947729,100.0
none_10,none,0.8,0.05,1,2.0944151930688943,1.9131624069311075,0,11283.245579206683,100.0
none_11,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_8,none,0.8,0.05,2,2.1560989294215807,1.8514786705784207,0,17743.28642495319,100.0
none_9,none,0.8,0.05,2,2.107479787307866,1.900097812692136,0,17952.990041400888,100.0
none_10,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17535.28928162657,100.0
none_11,none,0.8,0.05,2,2.1041765770849628,1.9034010229150393,0,17564.573433674777,100.0
none_8,none,0.8,0.05,3,2.0944151930688943,1.9131624069311075,0,24026.53200415987,100.0
none_9,none,0.8,0.05,3,2.0840145674732957,1.9235630325267068,0,24205.033743820775,100.0
none_10,none,0.8,0.05,3,2.1541920174017126,1.853385582598289,0,23997.86533383171,100.0
none_11,none,0.8,0.05,3,2.1330891638553733,1.8744884361446281,0,23963.840925240896,100.0
none_13,none,0.8,0.05,1,2.1465880292309913,1.8609895707690103,0,11439.764087692973,100.0
none_14,none,0.8,0.05,1,2.123156074013934,1.884421525986068,0,11369.468222041802,100.0
none_15,none,0.8,0.05,1,2.1025999467096397,1.9049776532903624,0,11307.799840128919,100.0
none_12,none,0.8,0.05,1,2.1359372607733866,1.871640339226615,0,11407.811782320161,100.0
none_13,none,0.8,0.05,2,2.1091308405188083,1.8984467594811936,0,17767.156609249396,100.0
none_14,none,0.8,0.05,2,2.132739829953379,1.8748377700466228,0,17767.687711901937,100.0
none_15,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17559.843542548806,100.0
none_12,none,0.8,0.05,2,2.179964346404775,1.8276132535952263,0,17947.704821534488,100.0
none_13,none,0.8,0.05,3,2.0840145674732957,1.9235630325267068,0,24019.200311669283,100.0
none_14,none,0.8,0.05,3,2.117792400707425,1.889785199292577,0,24121.064914024213,100.0
none_15,none,0.8,0.05,3,2.1518640336923296,1.8557135663076718,0,24015.435643625795,100.0
none_12,none,0.8,0.05,3,2.1041765770849628,1.9034010229150393,0,24260.234552789378,100.0
none_17,none,0.8,0.05,1,2.1306945209295614,1.8768830790704403,0,11392.083562788685,100.0
none_18,none,0.8,0.05,1,2.1389565511442217,1.8686210488557802,0,11416.869653432666,100.0
none_19,none,0.8,0.05,1,2.0888203114470967,1.9187572885529054,0,11266.46093434129,100.0
none_16,none,0.8,0.05,1,2.1021542314036292,1.9054233685963728,0,11306.462694210888,100.0
none_17,none,0.8,0.05,2,2.087752406344031,1.9198251936559712,0,17655.340781820778,100.0
none_18,none,0.8,0.05,2,2.1439950141240414,1.86358258587596,0,17848.85469580479,100.0
none_19,none,0.8,0.05,2,2.097079161712267,1.9104984382877348,0,17557.698419478093,100.0
none_16,none,0.8,0.05,2,2.097079161712267,1.9104984382877348,0,17597.70017934769,100.0
none_17,none,0.8,0.05,3,2.085883486908663,1.9216941130913392,0,23912.991242546766,100.0
none_18,none,0.8,0.05,3,2.1119737413011936,1.8956038586988084,0,24184.77591970837,100.0
none_19,none,0.8,0.05,3,2.085883486908663,1.9216941130913392,0,23815.34888020408,100.0
none_16,none,0.8,0.05,3,2.1024561771096395,1.9051214228903623,0,23905.068710676605,100.0
none_21,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_22,none,0.8,0.05,1,2.1130005723052383,1.8945770276947635,0,11339.001716915714,100.0
none_23,none,0.8,0.05,1,2.1977792701999106,1.8097983298000904,0,11593.337810599733,100.0
none_20,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_21,none,0.8,0.05,2,2.1020638378250807,1.9055137621749214,0,17558.23521589513,100.0
none_22,none,0.8,0.05,2,2.0888203114470967,1.9187572885529054,0,17605.462651257003,100.0
none_23,none,0.8,0.05,2,2.164006982669853,1.8435706173301478,0,18085.35875860929,100.0
none_20,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17504.087404839775,100.0
none_21,none,0.8,0.05,3,2.0840145674732957,1.9235630325267068,0,23810.278918315016,100.0
none_22,none,0.8,0.05,3,2.0996579329127196,1.9079196670872824,0,23904.436449995163,100.0
none_23,none,0.8,0.05,3,2.107479787307866,1.900097812692136,0,24407.79812053289,100.0
none_20,none,0.8,0.05,3,2.1024561771096395,1.9051214228903623,0,23811.45593616869,100.0
none_24,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_25,none,0.8,0.05,1,2.1127082832451936,1.894869316754808,0,11338.124849735581,100.0
none_26,none,0.8,0.05,1,2.1384965919317134,1.8690810080682883,0,11415.48977579514,100.0
none_27,none,0.8,0.05,1,2.0916632122294816,1.9159143877705203,0,11274.989636688446,100.0
none_24,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17504.087404839775,100.0
none_25,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17590.16855215547,100.0
none_26,none,0.8,0.05,2,2.1041765770849628,1.9034010229150393,0,17728.019507050027,100.0
none_27,none,0.8,0.05,2,2.0840145674732957,1.9235630325267068,0,17527.033339108333,100.0
none_24,none,0.8,0.05,3,2.144004490378273,1.8635731096217287,0,23936.100875974593,100.0
none_25,none,0.8,0.05,3,2.0840145674732957,1.9235630325267068,0,23842.212254575355,100.0
none_26,none,0.8,0.05,3,2.0840145674732957,1.9235630325267068,0,23980.063209469914,100.0
none_27,none,0.8,0.05,3,2.108832424990298,1.898745175009704,0,23853.530614079227,100.0
none_29,none,0.8,0.05,1,2.163382473345078,1.8441951266549228,0,11490.147420035235,100.0
none_30,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_31,none,0.8,0.05,1,2.0840145674732957,1.9235630325267068,0,11252.043702419887,100.0
none_28,none,0.8,0.05,1,2.1595312166750076,1.8480463833249943,0,11478.593650025023,100.0
none_29,none,0.8,0.05,2,2.0888203114470967,1.9187572885529054,0,17756.608354376527,100.0
none_30,none,0.8,0.05,2,2.163173240745336,1.8444043592546653,0,17741.563424655895,100.0
none_31,none,0.8,0.05,2,2.120739610639973,1.8868379893600287,0,17614.262534339807,100.0
none_28,none,0.8,0.05,2,2.1251735129093463,1.8824040870906555,0,17854.11418875306,100.0
none_29,none,0.8,0.05,3,2.102307657649595,1.9052699423504071,0,24063.531327325312,100.0
none_30,none,0.8,0.05,3,2.123156074013934,1.884421525986068,0,24111.031646697695,100.0
none_31,none,0.8,0.05,3,2.085883486908663,1.9216941130913392,0,23871.912995065795,100.0
none_28,none,0.8,0.05,3,2.1204473215799284,1.8871302784200734,0,24215.456153492847,100.0
none_33,none,0.8,0.05,1,2.166285767517935,1.8412918324820666,0,11498.857302553804,100.0
none_34,none,0.8,0.05,1,2.169505259864793,1.8380723401352086,0,11508.515779594378,100.0
none_35,none,0.8,0.05,1,2.1080629354157425,1.8995146645842593,0,11324.188806247228,100.0
none_32,none,0.8,0.05,1,2.087752406344031,1.9198251936559712,0,11263.257219032093,100.0
none_33,none,0.8,0.05,2,2.085883486908663,1.9216941130913392,0,17756.507763279795,100.0
none_34,none,0.8,0.05,2,2.148652093640409,1.8589255063595926,0,17954.472060515604,100.0
none_35,none,0.8,0.05,2,2.0936260554208976,1.9139515445791042,0,17605.06697250992,100.0
none_32,none,0.8,0.05,2,2.133358489572934,1.8742191104270673,0,17663.332687750895,100.0
none_33,none,0.8,0.05,3,2.0840145674732957,1.9235630325267068,0,24008.551465699682,100.0
none_34,none,0.8,0.05,3,2.107306577668906,1.9002710223310961,0,24276.39179352232,100.0
none_35,none,0.8,0.05,3,2.085883486908663,1.9216941130913392,0,23862.71743323591,100.0
none_32,none,0.8,0.05,3,2.090689230882464,1.9168883691175378,0,23935.40038039829,100.0
none_37,none,0.8,0.05,1,2.1434508553655593,1.8641267446344423,0,11430.352566096677,100.0
none_38,none,0.8,0.05,1,2.0888203114470967,1.9187572885529054,0,11266.46093434129,100.0
none_39,none,0.8,0.05,1,2.120739610639973,1.8868379893600287,0,11362.21883191992,100.0
none_36,none,0.8,0.05,1,2.140033152982103,1.8675444470178986,0,11420.099458946308,100.0
none_37,none,0.8,0.05,2,2.1044636768865206,1.9031139231134813,0,17743.743596756238,100.0
none_38,none,0.8,0.05,2,2.0916632122294816,1.9159143877705203,0,17541.450571029734,100.0
none_39,none,0.8,0.05,2,2.0996579329127196,1.9079196670872824,0,17661.19263065808,100.0
none_36,none,0.8,0.05,2,2.102307657649595,1.9052699423504071,0,17727.022431895093,100.0
none_37,none,0.8,0.05,3,2.107479787307866,1.900097812692136,0,24066.182958679834,100.0
none_38,none,0.8,0.05,3,2.117792400707425,1.889785199292577,0,23894.82777315201,100.0
none_39,none,0.8,0.05,3,2.1230123044139337,1.8845652955860681,0,24030.22954389988,100.0
none_36,none,0.8,0.05,3,2.1182433121490636,1.889334287850938,0,24081.752368342284,100.0
calendar_40,calendar,0.8,0.05,1,2.544267040375543,1.463310559624458,5,12132.801121126628,100.0
calendar_41,calendar,0.8,0.05,1,2.4970526451903443,1.5105249548096555,5,11991.157935571033,100.0
calendar_42,calendar,0.8,0.05,1,2.4747162782180916,1.5328613217819094,5,11924.148834654276,100.0
calendar_43,calendar,0.8,0.05,1,2.536017948417399,1.4715596515826008,5,12108.053845252198,100.0
calendar_40,calendar,0.8,0.05,2,2.516130496597831,1.4914471034021692,5,19181.19261092012,100.0
calendar_41,calendar,0.8,0.05,2,2.461433650329576,1.5461439496704246,5,18875.45888655976,100.0
calendar_42,calendar,0.8,0.05,2,2.603250825935399,1.4043267740646017,5,19233.90131246047,100.0
calendar_43,calendar,0.8,0.05,2,2.4645641297014005,1.5430134702986005,5,19001.7462343564,100.0
calendar_40,calendar,0.8,0.05,3,2.483670526176545,1.5239070738234557,5,26132.204189449752,100.0
calendar_41,calendar,0.8,0.05,3,2.610590361770462,1.396987238229539,5,26207.229971871147,100.0
calendar_42,calendar,0.8,0.05,3,2.5500819401362627,1.457495659863738,5,26384.14713286926,100.0
