run_id,plot_strategy,plot_pesticide,season,plot_x,plot_y,grain_tha,pest_loss_tha,spray_count,resistant_fraction,cost_per_spray
threshold_0,none,etofenprox,1,0,0,2.785086547960712,1.2224910520392898,0,0.0,110.6
threshold_0,none,neonicotinoid,1,1,0,2.381196589533032,1.6263810104669671,0,0.0,100.0
threshold_0,calendar,neonicotinoid,1,2,0,3.0159177588428507,0.9916598411571496,5,0.0875,100.0
threshold_0,threshold,neonicotinoid,1,3,0,3.2807953448205063,0.7267822551794935,9,0.26249999999999996,100.0
threshold_0,none,neonicotinoid,1,4,0,2.6614320963577813,1.3461455036422192,0,0.0,100.0
threshold_0,threshold,neonicotinoid,1,5,0,3.3637117023689878,0.6438658976310128,9,0.26249999999999996,100.0
threshold_0,calendar,neonicotinoid,1,6,0,3.3627575132734355,0.6448200867265664,5,0.0875,100.0
threshold_0,threshold,etofenprox,1,7,0,3.4288388667379115,0.5787387332620892,9,0.1575,110.6
threshold_0,calendar,neonicotinoid,1,8,0,3.30353378885743,0.7040438111425702,5,0.0875,100.0
threshold_0,calendar,neonicotinoid,1,9,0,3.4788236204693415,0.5287539795306588,5,0.0875,100.0
threshold_0,threshold,etofenprox,1,0,1,3.2052275531031955,0.8023500468968052,10,0.195,110.6
threshold_0,calendar,neonicotinoid,1,1,1,2.700744121265783,1.3068334787342164,5,0.0875,100.0
threshold_0,none,etofenprox,1,2,1,2.320599049824114,1.6869785501758865,0,0.0,110.6
threshold_0,none,neonicotinoid,1,3,1,2.3165175742231616,1.6910600257768382,0,0.0,100.0
threshold_0,calendar,etofenprox,1,4,1,2.7753334011148487,1.2322441988851516,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,5,1,3.141471325722463,0.8661062742775364,10,0.32499999999999996,100.0
threshold_0,none,neonicotinoid,1,6,1,2.4327340218678497,1.5748435781321497,0,0.0,100.0
threshold_0,threshold,etofenprox,1,7,1,3.2146901705718607,0.79288742942814,10,0.195,110.6
threshold_0,calendar,neonicotinoid,1,8,1,3.0765561753683768,0.931021424631625,5,0.0875,100.0
threshold_0,calendar,etofenprox,1,9,1,3.299822534215989,0.707755065784009,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,0,2,3.4556696625378844,0.5519079374621133,9,0.26249999999999996,100.0
threshold_0,calendar,neonicotinoid,1,1,2,3.022997846625172,0.9845797533748271,5,0.0875,100.0
threshold_0,threshold,etofenprox,1,2,2,3.0498612708175132,0.9577163291824858,10,0.195,110.6
threshold_0,calendar,neonicotinoid,1,3,2,2.8652110576596583,1.1423665423403415,5,0.0875,100.0
threshold_0,threshold,neonicotinoid,1,4,2,3.2068249639661803,0.800752636033818,10,0.32499999999999996,100.0
threshold_0,none,neonicotinoid,1,5,2,2.4078501725392885,1.5997274274607105,0,0.0,100.0
threshold_0,calendar,neonicotinoid,1,6,2,3.0341709170163287,0.9734066829836716,5,0.0875,100.0
threshold_0,calendar,neonicotinoid,1,7,2,3.1095920591509687,0.8979855408490295,5,0.0875,100.0
threshold_0,threshold,etofenprox,1,8,2,3.2643121071363486,0.7432654928636521,10,0.195,110.6
threshold_0,threshold,etofenprox,1,9,2,3.4192788123056186,0.5882987876943802,10,0.195,110.6
threshold_0,threshold,neonicotinoid,1,0,3,3.442454442460781,0.5651231575392198,9,0.26249999999999996,100.0
threshold_0,calendar,neonicotinoid,1,1,3,2.9869609259052745,1.0206166740947245,5,0.0875,100.0
threshold_0,none,etofenprox,1,2,3,2.405969543172343,1.6016080568276558,0,0.0,110.6
threshold_0,none,neonicotinoid,1,3,3,2.4805056620839165,1.5270719379160833,0,0.0,100.0
threshold_0,calendar,neonicotinoid,1,4,3,3.0431603361041977,0.9644172638958022,5,0.0875,100.0
threshold_0,calendar,etofenprox,1,5,3,3.0282403840390755,0.9793372159609234,5,0.0525,110.6
threshold_0,calendar,etofenprox,1,6,3,2.963616262445248,1.043961337554752,5,0.0525,110.6
threshold_0,calendar,etofenprox,1,7,3,2.940197120894374,1.0673804791056267,5,0.0525,110.6
threshold_0,calendar,neonicotinoid,1,8,3,2.9509358645682124,1.0566417354317867,5,0.0875,100.0
threshold_0,threshold,neonicotinoid,1,9,3,3.4257794192941264,0.5817981807058731,9,0.26249999999999996,100.0
threshold_0,threshold,etofenprox,1,0,4,3.3497252611522668,0.657852338847733,9,0.1575,110.6
threshold_0,none,neonicotinoid,1,1,4,2.3806312318848986,1.6269463681151013,0,0.0,100.0
threshold_0,calendar,etofenprox,1,2,4,2.9074489078930044,1.1001286921069942,5,0.0525,110.6
threshold_0,threshold,etofenprox,1,3,4,3.192794556081102,0.8147830439188983,10,0.195,110.6
threshold_0,calendar,neonicotinoid,1,4,4,3.089282226992346,0.9182953730076544,5,0.0875,100.0
threshold_0,threshold,etofenprox,1,5,4,3.2707898476800574,0.7367877523199428,10,0.195,110.6
threshold_0,calendar,etofenprox,1,6,4,3.0074492353402484,1.0001283646597512,5,0.0525,110.6
threshold_0,none,etofenprox,1,7,4,2.4174876514406947,1.5900899485593052,0,0.0,110.6
threshold_0,none,neonicotinoid,1,8,4,2.39192506326438,1.6156525367356194,0,0.0,100.0
threshold_0,calendar,etofenprox,1,9,4,3.163524134585094,0.8440534654149073,5,0.0525,110.6
threshold_0,none,etofenprox,1,0,5,2.7441231468567056,1.2634544531432947,0,0.0,110.6
threshold_0,calendar,etofenprox,1,1,5,2.9616933165677315,1.0458842834322684,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,2,5,3.333596218859574,0.6739813811404262,10,0.32499999999999996,100.0
threshold_0,calendar,etofenprox,1,3,5,3.010199963225483,0.9973776367745164,5,0.0525,110.6
threshold_0,none,etofenprox,1,4,5,2.5285879666664384,1.4789896333335606,0,0.0,110.6
threshold_0,threshold,etofenprox,1,5,5,3.207431766871873,0.8001458331281259,10,0.195,110.6
threshold_0,threshold,etofenprox,1,6,5,3.2612391185342546,0.7463384814657448,10,0.195,110.6
threshold_0,calendar,etofenprox,1,7,5,2.9082269889646426,1.0993506110353557,5,0.0525,110.6
threshold_0,none,neonicotinoid,1,8,5,2.3318828691391373,1.6756947308608636,0,0.0,100.0
threshold_0,threshold,neonicotinoid,1,9,5,3.285411245394518,0.722166354605482,9,0.26249999999999996,100.0
threshold_0,calendar,etofenprox,1,0,6,3.245934532171268,0.7616430678287336,5,0.0525,110.6
threshold_0,threshold,etofenprox,1,1,6,3.2848355219726075,0.7227420780273923,10,0.195,110.6
threshold_0,calendar,etofenprox,1,2,6,3.2393512463856053,0.7682263536143943,5,0.0525,110.6
threshold_0,threshold,etofenprox,1,3,6,3.2398987830668124,0.7676788169331868,10,0.195,110.6
threshold_0,none,etofenprox,1,4,6,2.4475197353947085,1.5600578646052907,0,0.0,110.6
threshold_0,calendar,etofenprox,1,5,6,2.8931511295015926,1.1144264704984073,5,0.0525,110.6
threshold_0,threshold,neonicotinoid,1,6,6,3.282344187221619,0.7252334127783818,10,0.32499999999999996,100.0
