run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_0,none,0.7,0.03,1,2.2783659740022277,1.729211625997773,0,11835.097922006684,110.6
none_2,none,0.7,0.03,2,2.3209815245145253,1.686596075485475,0,18821.92633010827,110.6
none_1,none,0.7,0.03,2,2.2745836558234247,1.7329939441765754,0,18807.315877069985,110.6
none_3,none,0.7,0.03,2,2.328092451436554,1.6794851485634454,0,18949.068086190524,110.6
none_0,none,0.7,0.03,2,2.2663728275236377,1.7412047724763624,0,18634.216404577597,110.6
none_2,none,0.7,0.03,3,2.353093701753422,1.654483898246578,0,25881.207435368535,110.6
none_1,none,0.7,0.03,3,2.2572935249057866,1.7502840750942141,0,25579.196451787346,110.6
none_3,none,0.7,0.03,3,2.323844074868745,1.683733525131255,0,25920.60031079676,110.6
none_0,none,0.7,0.03,3,2.329808364988355,1.677769235011645,0,25623.64149954266,110.6
none_4,none,0.7,0.03,1,2.360168919604396,1.647408680395604,0,12080.506758813188,110.6
none_6,none,0.7,0.03,1,2.307130687088262,1.7004469129117377,0,11921.392061264785,110.6
none_5,none,0.7,0.03,1,2.306264353807952,1.7013132461920477,0,11918.793061423856,110.6
none_7,none,0.7,0.03,1,2.2456826342762133,1.7618949657237872,0,11737.047902828639,110.6
none_4,none,0.7,0.03,2,2.383297927357594,1.624279672642405,0,19230.40054088597,110.6
none_6,none,0.7,0.03,2,2.263312031544979,1.744265568455022,0,18711.328155899722,110.6
none_5,none,0.7,0.03,2,2.28634394531218,1.7212336546878202,0,18777.824897360395,110.6
none_7,none,0.7,0.03,2,2.336857432673587,1.670720167326413,0,18747.6202008494,110.6
none_4,none,0.7,0.03,3,2.317242792523807,1.690334807476193,0,26182.12891845739,110.6
none_6,none,0.7,0.03,3,2.3403896686887995,1.6671879313112004,0,25732.497161966123,110.6
none_5,none,0.7,0.03,3,2.265776142915363,1.741801457084638,0,25575.153326106483,110.6
none_7,none,0.7,0.03,3,2.319671281138518,1.6879063188614816,0,25706.634044264953,110.6
none_10,none,0.7,0.03,1,2.2962387261591943,1.7113388738408057,0,11888.716178477582,110.6
none_9,none,0.7,0.03,1,2.339127378784568,1.6684502212154322,0,12017.382136353704,110.6
none_11,none,0.7,0.03,1,2.307958423528345,1.699619176471655,0,11923.875270585035,110.6
none_8,none,0.7,0.03,1,2.333189443886442,1.6743881561135578,0,11999.568331659324,110.6
none_10,none,0.7,0.03,2,2.271983731489809,1.7355938685101913,0,18704.66737294701,110.6
