run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_0,none,0.8,0.03,1,2.3169454247907844,1.690632175209216,0,11950.836274372352,100.0
none_1,none,0.8,0.03,1,2.291869099355065,1.7157085006449346,0,11875.607298065195,100.0
none_2,none,0.8,0.03,2,2.349173149716169,1.6584044502838307,0,18881.5812615014,100.0
none_3,none,0.8,0.03,2,2.278459199918634,1.7291184000813666,0,18663.378117096796,100.0
none_0,none,0.8,0.03,2,2.2911001168780807,1.7164774831219196,0,18824.136625006595,100.0
none_1,none,0.8,0.03,2,2.263679046977833,1.743898553022168,0,18666.644438998694,100.0
none_2,none,0.8,0.03,3,2.3198074598516394,1.6877701401483607,0,25841.00364105632,100.0
none_3,none,0.8,0.03,3,2.295065626863764,1.7125119731362357,0,25548.574997688087,100.0
none_0,none,0.8,0.03,3,2.285846502904357,1.721731097095643,0,25681.676133719666,100.0
none_1,none,0.8,0.03,3,2.2688877574856545,1.7386898425143458,0,25473.307711455658,100.0
none_6,none,0.8,0.03,1,2.3709845988619183,1.6365930011380811,0,12112.953796585754,100.0
none_7,none,0.8,0.03,1,2.2930269236906264,1.7145506763093736,0,11879.08077107188,100.0
none_4,none,0.8,0.03,1,2.30493413674216,1.7026434632578407,0,11914.802410226479,100.0
none_5,none,0.8,0.03,1,2.2823025063507116,1.7252750936492884,0,11846.907519052136,100.0
none_6,none,0.8,0.03,2,2.3008929657262267,1.7066846342737734,0,19015.632693764433,100.0
none_7,none,0.8,0.03,2,2.2988567539547087,1.7087208460452912,0,18775.651032936006,100.0
none_4,none,0.8,0.03,2,2.3292328677125544,1.6783447322874459,0,18902.50101336414,100.0
none_5,none,0.8,0.03,2,2.2763463281880076,1.7312312718119929,0,18675.94650361616,100.0
none_6,none,0.8,0.03,3,2.3526812415065748,1.6548963584934249,0,26073.676418284158,100.0
none_7,none,0.8,0.03,3,2.3653964620401147,1.642181137959885,0,25871.840419056352,100.0
none_4,none,0.8,0.03,3,2.3117964718514843,1.6957811281485158,0,25837.890428918596,100.0
none_5,none,0.8,0.03,3,2.2372769640899177,1.7703006359100835,0,25387.777395885914,100.0
none_10,none,0.8,0.03,1,2.284273224684961,1.7233043753150394,0,11852.819674054883,100.0
none_11,none,0.8,0.03,1,2.315078583958983,1.692499016041017,0,11945.23575187695,100.0
none_8,none,0.8,0.03,1,2.281094587700047,1.7264830122999535,0,11843.28376310014,100.0
none_9,none,0.8,0.03,1,2.334972561417191,1.6726050385828095,0,12004.917684251574,100.0
none_10,none,0.8,0.03,2,2.2457180397742222,1.761859560225779,0,18589.97379337755,100.0
none_11,none,0.8,0.03,2,2.268652369835379,1.7389252301646216,0,18751.192861383086,100.0
none_8,none,0.8,0.03,2,2.2493599436199507,1.7582176563800502,0,18591.36359395999,100.0
none_9,none,0.8,0.03,2,2.3356566791586553,1.6719209208413446,0,19011.88772172754,100.0
none_10,none,0.8,0.03,3,2.2513903968167956,1.756187203183205,0,25344.144983827937,100.0
