run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money,cost_per_spray
none_0,none,0.8,0.1,1,2.082005385192996,1.9255722148070065,0,11246.016155578987,100.0
none_2,none,0.8,0.1,1,2.06567991240532,1.9418976875946823,0,11197.03973721596,100.0
none_1,none,0.8,0.1,1,2.0791186373270403,1.9284589626729618,0,11237.355911981122,100.0
none_3,none,0.8,0.1,1,2.0832912039873466,1.9242863960126557,0,11249.87361196204,100.0
none_0,none,0.8,0.1,2,2.0692318705964836,1.9383457294035185,0,17453.711767368437,100.0
none_2,none,0.8,0.1,2,2.078112250127041,1.929465349872962,0,17431.37648759708,100.0
none_1,none,0.8,0.1,2,2.077072613906727,1.9305049860932755,0,17468.573753701305,100.0
none_3,none,0.8,0.1,2,2.12644441524609,1.881133184753912,0,17629.206857700312,100.0
none_0,none,0.8,0.1,3,2.06567991240532,1.9418976875946823,0,23650.751504584397,100.0
none_2,none,0.8,0.1,3,2.060198971611188,1.947378628388814,0,23611.973402430645,100.0
none_1,none,0.8,0.1,3,2.082553554700859,1.9250240452991434,0,23716.23441780388,100.0
none_3,none,0.8,0.1,3,2.088469890770865,1.919107709229137,0,23894.616530012907,100.0
none_7,none,0.8,0.1,1,2.078112250127041,1.929465349872962,0,11234.336750381122,100.0
none_4,none,0.8,0.1,1,2.0961033743712494,1.9114742256287531,0,11288.310123113748,100.0
none_6,none,0.8,0.1,1,2.0971338598660996,1.9104437401339027,0,11291.4015795983,100.0
none_5,none,0.8,0.1,1,2.060198971611188,1.947378628388814,0,11180.596914833564,100.0
none_7,none,0.8,0.1,2,2.0971338598660996,1.9104437401339027,0,17525.73832997942,100.0
none_4,none,0.8,0.1,2,2.12644441524609,1.881133184753912,0,17667.64336885202,100.0
none_6,none,0.8,0.1,2,2.0710435036047325,1.93653409639527,0,17504.532090412496,100.0
none_5,none,0.8,0.1,2,2.0940644281555576,1.9135131718444447,0,17462.790199300238,100.0
none_7,none,0.8,0.1,3,2.0971338598660996,1.9104437401339027,0,23817.13990957772,100.0
none_4,none,0.8,0.1,3,2.1296331173910574,1.8779444826089449,0,24056.54272102519,100.0
none_6,none,0.8,0.1,3,2.0836321137853506,1.9239454862146517,0,23755.42843176855,100.0
none_5,none,0.8,0.1,3,2.087145149112336,1.9204324508876662,0,23724.225646637246,100.0
none_8,none,0.8,0.1,1,2.0856746929788796,1.9219029070211229,0,11257.02407893664,100.0
