cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,calendar,0.1,0.98,0,1,2.709504
2,1,calendar,0.1,0.98,0,2,5.419008
3,1,calendar,0.1,0.98,0,3,8.128512
4,1,calendar,0.2,0.82,0,4,16.063488
5,1,calendar,0.30000000000000004,0.73,0,5,23.127552
6,1,calendar,0.4,0.6399999999999999,0,6,29.320704
7,1,calendar,0.5,0.55,0,7,34.642944
8,1,calendar,0.6,0.5,0,8,39.481344
9,1,calendar,0.6,0.5,0,9,44.319744
10,1,calendar,0.7,0.5,0,10,49.158144
11,1,calendar,0.7999999999999999,0.5,0,11,53.996544
12,1,calendar,0.8999999999999999,0.5,0,12,58.834944
13,1,calendar,0.9999999999999999,0.5,0,13,63.673344
14,1,calendar,0.9999999999999999,0.5,0,14,68.511744
15,1,calendar,0.19999999999999993,0.8200000000000001,1,1,76.44672
16,1,calendar,0.29999999999999993,0.73,1,2,83.510784
17,1,calendar,0.3999999999999999,0.6400000000000001,1,3,89.703936
18,1,calendar,0.4999999999999999,0.55,1,4,95.02617599999999
19,1,calendar,0.4999999999999999,0.55,1,5,100.34841599999999
20,1,calendar,0.5999999999999999,0.5,1,6,105.186816
21,1,calendar,0.6999999999999998,0.5,1,7,110.025216
22,1,calendar,0.7999999999999998,0.5,1,8,114.86361600000001
23,1,calendar,0.7999999999999998,0.5,1,9,119.70201600000001
24,1,calendar,0.8999999999999998,0.5,1,10,124.54041600000002
25,1,calendar,0.9999999999999998,0.5,1,11,129.37881600000003
26,1,calendar,1.0,0.5,1,12,134.21721600000004
27,1,calendar,1.0,0.5,1,13,139.05561600000004
28,1,calendar,1.0,0.5,1,14,143.89401600000005
29,1,calendar,0.29999999999999993,0.73,2,1,150.95808000000005
30,1,calendar,0.29999999999999993,0.73,2,2,158.02214400000005
31,1,calendar,0.3999999999999999,0.6400000000000001,2,3,164.21529600000005
32,1,calendar,0.3999999999999999,0.6400000000000001,2,4,170.40844800000005
33,1,calendar,0.4999999999999999,0.55,2,5,175.73068800000004
34,1,calendar,0.5999999999999999,0.5,2,6,180.56908800000005
35,1,calendar,0.6999999999999998,0.5,2,7,185.40748800000006
36,1,calendar,0.7999999999999998,0.5,2,8,190.24588800000006
37,1,calendar,0.8999999999999998,0.5,2,9,195.08428800000007
38,1,calendar,0.8999999999999998,0.5,2,10,199.92268800000008
39,1,calendar,0.8999999999999998,0.5,2,11,204.7610880000001
40,1,calendar,0.9999999999999998,0.5,2,12,209.5994880000001
41,1,calendar,1.0,0.5,2,13,214.4378880000001
42,1,calendar,1.0,0.5,2,14,219.2762880000001
43,1,calendar,0.19999999999999996,0.8200000000000001,3,1,227.2112640000001
44,1,calendar,0.19999999999999996,0.8200000000000001,3,2,235.14624000000012
45,1,calendar,0.19999999999999996,0.8200000000000001,3,3,243.08121600000013
46,1,calendar,0.19999999999999996,0.8200000000000001,3,4,251.01619200000013
47,1,calendar,0.29999999999999993,0.73,3,5,258.08025600000013
48,1,calendar,0.3999999999999999,0.6400000000000001,3,6,264.27340800000013
49,1,calendar,0.4999999999999999,0.55,3,7,269.59564800000015
50,1,calendar,0.5999999999999999,0.5,3,8,274.43404800000013
51,1,calendar,0.6999999999999998,0.5,3,9,279.2724480000001
52,1,calendar,0.7999999999999998,0.5,3,10,285.4932480000001
53,1,calendar,0.8999999999999998,0.5,3,11,291.7140480000001
54,1,calendar,0.9999999999999998,0.5,3,12,297.9348480000001
55,1,calendar,1.0,0.5,3,13,304.1556480000001
56,1,calendar,1.0,0.5,3,14,310.3764480000001
57,1,calendar,0.29999999999999993,0.79,4,1,320.2053120000001
58,1,calendar,0.3999999999999999,0.7200000000000001,4,2,329.1632640000001
59,1,calendar,0.4999999999999999,0.6500000000000001,4,3,337.2503040000001
60,1,calendar,0.5999999999999999,0.5800000000000001,4,4,344.4664320000001
61,1,calendar,0.6999999999999998,0.5100000000000001,4,5,350.8116480000001
62,1,calendar,0.6999999999999998,0.5100000000000001,4,6,357.1568640000001
63,1,calendar,0.7999999999999998,0.5,4,7,363.3776640000001
64,1,calendar,0.7999999999999998,0.5,4,8,369.5984640000001
65,1,calendar,0.8999999999999998,0.5,4,9,375.8192640000001
66,1,calendar,0.9999999999999998,0.5,4,10,382.0400640000001
67,1,calendar,0.9999999999999998,0.5,4,11,388.2608640000001
68,1,calendar,1.0,0.5,4,12,394.4816640000001
69,1,calendar,1.0,0.5,4,13,400.7024640000001
70,1,calendar,1.0,0.5,4,14,406.9232640000001
71,1,calendar,0.29999999999999993,0.79,5,1,416.7521280000001
72,1,calendar,0.3999999999999999,0.7200000000000001,5,2,425.71008000000006
73,1,calendar,0.4999999999999999,0.6500000000000001,5,3,433.79712000000006
74,1,calendar,0.5999999999999999,0.5800000000000001,5,4,441.0132480000001
75,1,calendar,0.6999999999999998,0.72,5,5,449.4735360000001
77,2,calendar,0.1,0.98,0,1,2.709504
78,2,calendar,0.2,0.96,0,2,5.363712
79,2,calendar,0.30000000000000004,0.94,0,3,7.962624
80,2,calendar,0.4,0.6399999999999999,0,4,14.155776
81,2,calendar,0.5,0.55,0,5,19.478016
82,2,calendar,0.5,0.55,0,6,24.800256
83,2,calendar,0.6,0.5,0,7,29.638656
84,2,calendar,0.6,0.5,0,8,34.477056000000005
85,2,calendar,0.7,0.5,0,9,39.315456000000005
86,2,calendar,0.7999999999999999,0.5,0,10,44.153856000000005
87,2,calendar,0.8999999999999999,0.5,0,11,48.992256000000005
88,2,calendar,0.9999999999999999,0.5,0,12,53.830656000000005
89,2,calendar,1.0,0.5,0,13,58.669056000000005
90,2,calendar,1.0,0.5,0,14,63.507456000000005
91,2,calendar,0.29999999999999993,0.73,1,1,70.57152
92,2,calendar,0.29999999999999993,0.73,1,2,77.63558400000001
93,2,calendar,0.3999999999999999,0.6400000000000001,1,3,83.828736
94,2,calendar,0.4999999999999999,0.55,1,4,89.15097600000001
95,2,calendar,0.5999999999999999,0.5,1,5,93.98937600000002
96,2,calendar,0.6999999999999998,0.5,1,6,98.82777600000003
97,2,calendar,0.7999999999999998,0.5,1,7,103.66617600000004
98,2,calendar,0.8999999999999998,0.5,1,8,108.50457600000004
99,2,calendar,0.8999999999999998,0.5,1,9,113.34297600000005
100,2,calendar,0.9999999999999998,0.5,1,10,118.18137600000006
101,2,calendar,1.0,0.5,1,11,123.01977600000006
102,2,calendar,1.0,0.5,1,12,127.85817600000007
103,2,calendar,1.0,0.5,1,13,132.69657600000008
104,2,calendar,1.0,0.5,1,14,137.53497600000009
105,2,calendar,0.29999999999999993,0.73,2,1,144.5990400000001
106,2,calendar,0.3999999999999999,0.6400000000000001,2,2,150.79219200000009
107,2,calendar,0.4999999999999999,0.55,2,3,156.11443200000008
108,2,calendar,0.5999999999999999,0.5,2,4,160.9528320000001
109,2,calendar,0.6999999999999998,0.5,2,5,165.7912320000001
110,2,calendar,0.7999999999999998,0.5,2,6,170.6296320000001
111,2,calendar,0.7999999999999998,0.5,2,7,175.4680320000001
112,2,calendar,0.7999999999999998,0.5,2,8,180.30643200000011
113,2,calendar,0.8999999999999998,0.5,2,9,185.14483200000012
114,2,calendar,0.9999999999999998,0.5,2,10,189.98323200000013
115,2,calendar,1.0,0.5,2,11,194.82163200000014
116,2,calendar,1.0,0.5,2,12,199.66003200000014
117,2,calendar,1.0,0.5,2,13,204.49843200000015
118,2,calendar,1.0,0.5,2,14,209.33683200000016
119,2,calendar,0.29999999999999993,0.73,3,1,216.40089600000016
120,2,calendar,0.3999999999999999,0.6400000000000001,3,2,222.59404800000016
121,2,calendar,0.4999999999999999,0.55,3,3,227.91628800000015
122,2,calendar,0.5999999999999999,0.5,3,4,232.75468800000016
123,2,calendar,0.6999999999999998,0.5,3,5,237.59308800000017
124,2,calendar,0.7999999999999998,0.5,3,6,242.43148800000017
125,2,calendar,0.8999999999999998,0.5,3,7,247.26988800000018
126,2,calendar,0.9999999999999998,0.5,3,8,252.1082880000002
127,2,calendar,1.0,0.5,3,9,256.94668800000017
128,2,calendar,1.0,0.5,3,10,263.16748800000016
129,2,calendar,1.0,0.5,3,11,269.38828800000016
130,2,calendar,1.0,0.5,3,12,275.60908800000016
131,2,calendar,1.0,0.5,3,13,281.82988800000015
132,2,calendar,1.0,0.5,3,14,288.05068800000015
133,2,calendar,0.29999999999999993,0.79,4,1,297.87955200000016
134,2,calendar,0.3999999999999999,0.7200000000000001,4,2,306.83750400000014
135,2,calendar,0.3999999999999999,0.7200000000000001,4,3,315.7954560000001
136,2,calendar,0.3999999999999999,0.7200000000000001,4,4,324.7534080000001
137,2,calendar,0.4999999999999999,0.6500000000000001,4,5,332.8404480000001
138,2,calendar,0.5999999999999999,0.5800000000000001,4,6,340.0565760000001
139,2,calendar,0.5999999999999999,0.5800000000000001,4,7,347.27270400000015
140,2,calendar,0.5999999999999999,0.5800000000000001,4,8,354.4888320000002
141,2,calendar,0.5999999999999999,0.5800000000000001,4,9,361.7049600000002
142,2,calendar,0.5999999999999999,0.5800000000000001,4,10,368.9210880000002
143,2,calendar,0.6999999999999998,0.5100000000000001,4,11,375.2663040000002
144,2,calendar,0.7999999999999998,0.5,4,12,381.4871040000002
145,2,calendar,0.8999999999999998,0.5,4,13,387.7079040000002
146,2,calendar,0.9999999999999998,0.5,4,14,393.9287040000002
147,2,calendar,0.29999999999999993,0.79,5,1,403.7575680000002
148,2,calendar,0.3999999999999999,0.7200000000000001,5,2,412.7155200000002
149,2,calendar,0.4999999999999999,0.6500000000000001,5,3,420.8025600000002
150,2,calendar,0.5999999999999999,0.5800000000000001,5,4,428.0186880000002
151,2,calendar,0.6999999999999998,0.72,5,5,436.4789760000002
153,3,calendar,0.1,0.98,0,1,2.709504
154,3,calendar,0.2,0.96,0,2,5.363712
155,3,calendar,0.30000000000000004,0.94,0,3,7.962624
156,3,calendar,0.4,0.6399999999999999,0,4,14.155776
157,3,calendar,0.5,0.55,0,5,19.478016
158,3,calendar,0.6,0.5,0,6,24.316416
159,3,calendar,0.6,0.5,0,7,29.154816
160,3,calendar,0.7,0.5,0,8,33.993216000000004
161,3,calendar,0.7999999999999999,0.5,0,9,38.831616000000004
162,3,calendar,0.8999999999999999,0.5,0,10,43.670016000000004
163,3,calendar,0.9999999999999999,0.5,0,11,48.508416000000004
164,3,calendar,1.0,0.5,0,12,53.346816000000004
165,3,calendar,1.0,0.5,0,13,58.185216000000004
166,3,calendar,1.0,0.5,0,14,63.023616000000004
167,3,calendar,0.19999999999999996,0.8200000000000001,1,1,70.95859200000001
168,3,calendar,0.29999999999999993,0.73,1,2,78.02265600000001
169,3,calendar,0.3999999999999999,0.6400000000000001,1,3,84.21580800000001
170,3,calendar,0.4999999999999999,0.55,1,4,89.538048
171,3,calendar,0.4999999999999999,0.55,1,5,94.860288
172,3,calendar,0.4999999999999999,0.55,1,6,100.18252799999999
173,3,calendar,0.5999999999999999,0.5,1,7,105.020928
174,3,calendar,0.6999999999999998,0.5,1,8,109.859328
175,3,calendar,0.7999999999999998,0.5,1,9,114.69772800000001
176,3,calendar,0.8999999999999998,0.5,1,10,119.53612800000002
177,3,calendar,0.9999999999999998,0.5,1,11,124.37452800000003
178,3,calendar,1.0,0.5,1,12,129.21292800000003
179,3,calendar,1.0,0.5,1,13,134.05132800000004
180,3,calendar,1.0,0.5,1,14,138.88972800000005
181,3,calendar,0.29999999999999993,0.73,2,1,145.95379200000005
182,3,calendar,0.29999999999999993,0.73,2,2,153.01785600000005
183,3,calendar,0.3999999999999999,0.6400000000000001,2,3,159.21100800000005
184,3,calendar,0.4999999999999999,0.55,2,4,164.53324800000004
185,3,calendar,0.4999999999999999,0.55,2,5,169.85548800000004
186,3,calendar,0.5999999999999999,0.5,2,6,174.69388800000004
187,3,calendar,0.6999999999999998,0.5,2,7,179.53228800000005
188,3,calendar,0.7999999999999998,0.5,2,8,184.37068800000006
