cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,calendar,0.1,0.98,0,1,2.709504
2,1,calendar,0.1,0.98,0,2,5.419008
3,1,calendar,0.2,0.96,0,3,8.073216
4,1,calendar,0.30000000000000004,0.73,0,4,15.13728
5,1,calendar,0.4,0.6399999999999999,0,5,21.330432
6,1,calendar,0.5,0.55,0,6,26.652672
7,1,calendar,0.6,0.5,0,7,31.491072
8,1,calendar,0.7,0.5,0,8,36.329471999999996
9,1,calendar,0.7999999999999999,0.5,0,9,41.167871999999996
10,1,calendar,0.7999999999999999,0.5,0,10,46.006271999999996
11,1,calendar,0.8999999999999999,0.5,0,11,50.844671999999996
12,1,calendar,0.8999999999999999,0.5,0,12,55.683071999999996
13,1,calendar,0.9999999999999999,0.5,0,13,60.521471999999996
14,1,calendar,0.9999999999999999,0.5,0,14,65.359872
15,1,calendar,0.29999999999999993,0.73,1,1,72.423936
16,1,calendar,0.3999999999999999,0.6400000000000001,1,2,78.617088
17,1,calendar,0.4999999999999999,0.55,1,3,83.93932799999999
18,1,calendar,0.4999999999999999,0.55,1,4,89.26156799999998
19,1,calendar,0.5999999999999999,0.5,1,5,94.09996799999999
20,1,calendar,0.6999999999999998,0.5,1,6,98.938368
21,1,calendar,0.7999999999999998,0.5,1,7,103.776768
22,1,calendar,0.8999999999999998,0.5,1,8,108.61516800000001
23,1,calendar,0.8999999999999998,0.5,1,9,113.45356800000002
24,1,calendar,0.9999999999999998,0.5,1,10,118.29196800000003
25,1,calendar,1.0,0.5,1,11,123.13036800000003
26,1,calendar,1.0,0.5,1,12,127.96876800000004
27,1,calendar,1.0,0.5,1,13,132.80716800000005
28,1,calendar,1.0,0.5,1,14,137.64556800000005
29,1,calendar,0.29999999999999993,0.73,2,1,144.70963200000006
30,1,calendar,0.3999999999999999,0.6400000000000001,2,2,150.90278400000005
31,1,calendar,0.3999999999999999,0.6400000000000001,2,3,157.09593600000005
32,1,calendar,0.4999999999999999,0.55,2,4,162.41817600000005
33,1,calendar,0.5999999999999999,0.5,2,5,167.25657600000005
34,1,calendar,0.5999999999999999,0.5,2,6,172.09497600000006
35,1,calendar,0.5999999999999999,0.5,2,7,176.93337600000007
36,1,calendar,0.6999999999999998,0.5,2,8,181.77177600000007
37,1,calendar,0.7999999999999998,0.5,2,9,186.61017600000008
38,1,calendar,0.7999999999999998,0.5,2,10,191.4485760000001
39,1,calendar,0.8999999999999998,0.5,2,11,196.2869760000001
40,1,calendar,0.9999999999999998,0.5,2,12,201.1253760000001
41,1,calendar,1.0,0.5,2,13,205.9637760000001
42,1,calendar,1.0,0.5,2,14,210.80217600000012
43,1,calendar,0.19999999999999996,0.8200000000000001,3,1,218.73715200000012
44,1,calendar,0.29999999999999993,0.73,3,2,225.80121600000012
45,1,calendar,0.3999999999999999,0.6400000000000001,3,3,231.99436800000012
46,1,calendar,0.4999999999999999,0.55,3,4,237.31660800000012
47,1,calendar,0.5999999999999999,0.5,3,5,242.15500800000012
48,1,calendar,0.6999999999999998,0.5,3,6,246.99340800000013
49,1,calendar,0.7999999999999998,0.5,3,7,251.83180800000014
50,1,calendar,0.7999999999999998,0.5,3,8,256.6702080000001
51,1,calendar,0.8999999999999998,0.5,3,9,261.5086080000001
52,1,calendar,0.9999999999999998,0.5,3,10,267.7294080000001
53,1,calendar,1.0,0.5,3,11,273.9502080000001
54,1,calendar,1.0,0.5,3,12,280.1710080000001
55,1,calendar,1.0,0.5,3,13,286.3918080000001
56,1,calendar,1.0,0.5,3,14,292.6126080000001
57,1,calendar,0.29999999999999993,0.79,4,1,302.4414720000001
58,1,calendar,0.29999999999999993,0.79,4,2,312.2703360000001
59,1,calendar,0.3999999999999999,0.7200000000000001,4,3,321.2282880000001
60,1,calendar,0.4999999999999999,0.6500000000000001,4,4,329.3153280000001
61,1,calendar,0.4999999999999999,0.6500000000000001,4,5,337.4023680000001
62,1,calendar,0.5999999999999999,0.5800000000000001,4,6,344.6184960000001
63,1,calendar,0.6999999999999998,0.5100000000000001,4,7,350.9637120000001
64,1,calendar,0.7999999999999998,0.5,4,8,357.1845120000001
65,1,calendar,0.8999999999999998,0.5,4,9,363.4053120000001
66,1,calendar,0.9999999999999998,0.5,4,10,369.6261120000001
67,1,calendar,1.0,0.5,4,11,375.8469120000001
68,1,calendar,1.0,0.5,4,12,382.0677120000001
69,1,calendar,1.0,0.5,4,13,388.2885120000001
70,1,calendar,1.0,0.5,4,14,394.5093120000001
71,1,calendar,0.19999999999999996,0.8600000000000001,5,1,405.20908800000007
72,1,calendar,0.29999999999999993,0.79,5,2,415.0379520000001
73,1,calendar,0.3999999999999999,0.7200000000000001,5,3,423.99590400000005
74,1,calendar,0.4999999999999999,0.6500000000000001,5,4,432.08294400000005
75,1,calendar,0.5999999999999999,0.76,5,5,441.01324800000003
77,2,calendar,0.1,0.98,0,1,2.709504
78,2,calendar,0.1,0.98,0,2,5.419008
79,2,calendar,0.2,0.96,0,3,8.073216
80,2,calendar,0.30000000000000004,0.73,0,4,15.13728
81,2,calendar,0.4,0.6399999999999999,0,5,21.330432
82,2,calendar,0.5,0.55,0,6,26.652672
83,2,calendar,0.5,0.55,0,7,31.974912
84,2,calendar,0.6,0.5,0,8,36.813311999999996
85,2,calendar,0.6,0.5,0,9,41.651711999999996
86,2,calendar,0.7,0.5,0,10,46.490111999999996
87,2,calendar,0.7999999999999999,0.5,0,11,51.328511999999996
88,2,calendar,0.8999999999999999,0.5,0,12,56.166911999999996
89,2,calendar,0.8999999999999999,0.5,0,13,61.005311999999996
90,2,calendar,0.9999999999999999,0.5,0,14,65.843712
91,2,calendar,0.29999999999999993,0.73,1,1,72.907776
92,2,calendar,0.3999999999999999,0.6400000000000001,1,2,79.100928
93,2,calendar,0.3999999999999999,0.6400000000000001,1,3,85.29408
94,2,calendar,0.4999999999999999,0.55,1,4,90.61632
95,2,calendar,0.5999999999999999,0.5,1,5,95.45472000000001
96,2,calendar,0.6999999999999998,0.5,1,6,100.29312000000002
97,2,calendar,0.7999999999999998,0.5,1,7,105.13152000000002
98,2,calendar,0.8999999999999998,0.5,1,8,109.96992000000003
99,2,calendar,0.9999999999999998,0.5,1,9,114.80832000000004
100,2,calendar,1.0,0.5,1,10,119.64672000000004
101,2,calendar,1.0,0.5,1,11,124.48512000000005
102,2,calendar,1.0,0.5,1,12,129.32352000000006
103,2,calendar,1.0,0.5,1,13,134.16192000000007
104,2,calendar,1.0,0.5,1,14,139.00032000000007
105,2,calendar,0.29999999999999993,0.73,2,1,146.06438400000008
106,2,calendar,0.3999999999999999,0.6400000000000001,2,2,152.25753600000007
107,2,calendar,0.4999999999999999,0.55,2,3,157.57977600000007
108,2,calendar,0.5999999999999999,0.5,2,4,162.41817600000007
109,2,calendar,0.6999999999999998,0.5,2,5,167.25657600000008
110,2,calendar,0.7999999999999998,0.5,2,6,172.0949760000001
111,2,calendar,0.8999999999999998,0.5,2,7,176.9333760000001
112,2,calendar,0.8999999999999998,0.5,2,8,181.7717760000001
113,2,calendar,0.9999999999999998,0.5,2,9,186.6101760000001
114,2,calendar,0.9999999999999998,0.5,2,10,191.44857600000012
115,2,calendar,1.0,0.5,2,11,196.28697600000012
116,2,calendar,1.0,0.5,2,12,201.12537600000013
117,2,calendar,1.0,0.5,2,13,205.96377600000014
118,2,calendar,1.0,0.5,2,14,210.80217600000014
119,2,calendar,0.29999999999999993,0.73,3,1,217.86624000000015
120,2,calendar,0.29999999999999993,0.73,3,2,224.93030400000015
121,2,calendar,0.3999999999999999,0.6400000000000001,3,3,231.12345600000015
122,2,calendar,0.4999999999999999,0.55,3,4,236.44569600000014
123,2,calendar,0.5999999999999999,0.5,3,5,241.28409600000015
124,2,calendar,0.5999999999999999,0.5,3,6,246.12249600000015
125,2,calendar,0.5999999999999999,0.5,3,7,250.96089600000016
126,2,calendar,0.6999999999999998,0.5,3,8,255.79929600000017
127,2,calendar,0.7999999999999998,0.5,3,9,260.6376960000002
128,2,calendar,0.8999999999999998,0.5,3,10,266.8584960000002
129,2,calendar,0.9999999999999998,0.5,3,11,273.07929600000017
130,2,calendar,1.0,0.5,3,12,279.30009600000017
131,2,calendar,1.0,0.5,3,13,285.52089600000016
132,2,calendar,1.0,0.5,3,14,291.74169600000016
133,2,calendar,0.29999999999999993,0.79,4,1,301.57056000000017
134,2,calendar,0.3999999999999999,0.7200000000000001,4,2,310.52851200000015
135,2,calendar,0.4999999999999999,0.6500000000000001,4,3,318.61555200000015
136,2,calendar,0.4999999999999999,0.6500000000000001,4,4,326.70259200000015
137,2,calendar,0.5999999999999999,0.5800000000000001,4,5,333.9187200000002
138,2,calendar,0.6999999999999998,0.5100000000000001,4,6,340.2639360000002
139,2,calendar,0.7999999999999998,0.5,4,7,346.48473600000017
140,2,calendar,0.8999999999999998,0.5,4,8,352.70553600000017
141,2,calendar,0.9999999999999998,0.5,4,9,358.92633600000016
142,2,calendar,1.0,0.5,4,10,365.14713600000016
143,2,calendar,1.0,0.5,4,11,371.36793600000016
144,2,calendar,1.0,0.5,4,12,377.58873600000015
145,2,calendar,1.0,0.5,4,13,383.80953600000015
146,2,calendar,1.0,0.5,4,14,390.03033600000015
147,2,calendar,0.19999999999999996,0.8600000000000001,5,1,400.73011200000013
148,2,calendar,0.29999999999999993,0.79,5,2,410.55897600000014
149,2,calendar,0.3999999999999999,0.7200000000000001,5,3,419.5169280000001
150,2,calendar,0.3999999999999999,0.7200000000000001,5,4,428.4748800000001
151,2,calendar,0.4999999999999999,0.8,5,5,437.8752000000001
153,3,calendar,0.1,0.98,0,1,2.709504
154,3,calendar,0.2,0.96,0,2,5.363712
155,3,calendar,0.30000000000000004,0.94,0,3,7.962624
156,3,calendar,0.4,0.6399999999999999,0,4,14.155776
157,3,calendar,0.4,0.6399999999999999,0,5,20.348927999999997
158,3,calendar,0.4,0.6399999999999999,0,6,26.542079999999995
159,3,calendar,0.5,0.55,0,7,31.864319999999996
160,3,calendar,0.6,0.5,0,8,36.70272
161,3,calendar,0.7,0.5,0,9,41.54112
162,3,calendar,0.7999999999999999,0.5,0,10,46.37952
163,3,calendar,0.8999999999999999,0.5,0,11,51.21792
164,3,calendar,0.8999999999999999,0.5,0,12,56.05632
165,3,calendar,0.9999999999999999,0.5,0,13,60.89472
166,3,calendar,1.0,0.5,0,14,65.73312
167,3,calendar,0.19999999999999996,0.8200000000000001,1,1,73.668096
168,3,calendar,0.29999999999999993,0.73,1,2,80.73216000000001
169,3,calendar,0.3999999999999999,0.6400000000000001,1,3,86.925312
170,3,calendar,0.4999999999999999,0.55,1,4,92.24755200000001
171,3,calendar,0.4999999999999999,0.55,1,5,97.569792
172,3,calendar,0.4999999999999999,0.55,1,6,102.892032
173,3,calendar,0.5999999999999999,0.5,1,7,107.73043200000001
174,3,calendar,0.6999999999999998,0.5,1,8,112.56883200000001
175,3,calendar,0.7999999999999998,0.5,1,9,117.40723200000002
176,3,calendar,0.7999999999999998,0.5,1,10,122.24563200000003
177,3,calendar,0.8999999999999998,0.5,1,11,127.08403200000004
178,3,calendar,0.9999999999999998,0.5,1,12,131.92243200000004
179,3,calendar,1.0,0.5,1,13,136.76083200000005
180,3,calendar,1.0,0.5,1,14,141.59923200000006
181,3,calendar,0.29999999999999993,0.73,2,1,148.66329600000006
182,3,calendar,0.3999999999999999,0.6400000000000001,2,2,154.85644800000006
183,3,calendar,0.3999999999999999,0.6400000000000001,2,3,161.04960000000005
184,3,calendar,0.4999999999999999,0.55,2,4,166.37184000000005
185,3,calendar,0.5999999999999999,0.5,2,5,171.21024000000006
186,3,calendar,0.6999999999999998,0.5,2,6,176.04864000000006
187,3,calendar,0.6999999999999998,0.5,2,7,180.88704000000007
188,3,calendar,0.6999999999999998,0.5,2,8,185.72544000000008
189,3,calendar,0.7999999999999998,0.5,2,9,190.56384000000008
190,3,calendar,0.8999999999999998,0.5,2,10,195.4022400000001
