cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,calendar,0.1,0.98,0,1,2.709504
2,1,calendar,0.2,0.96,0,2,5.363712
3,1,calendar,0.2,0.96,0,3,8.01792
4,1,calendar,0.30000000000000004,0.73,0,4,15.081984
5,1,calendar,0.4,0.6399999999999999,0,5,21.275136
6,1,calendar,0.4,0.6399999999999999,0,6,27.468287999999998
7,1,calendar,0.5,0.55,0,7,32.790527999999995
8,1,calendar,0.6,0.5,0,8,37.628927999999995
9,1,calendar,0.7,0.5,0,9,42.467327999999995
10,1,calendar,0.7999999999999999,0.5,0,10,47.305727999999995
11,1,calendar,0.7999999999999999,0.5,0,11,52.144127999999995
12,1,calendar,0.7999999999999999,0.5,0,12,56.982527999999995
13,1,calendar,0.7999999999999999,0.5,0,13,61.820927999999995
14,1,calendar,0.8999999999999999,0.5,0,14,66.65932799999999
15,1,calendar,0.08999999999999997,0.919,1,1,75.55230719999999
16,1,calendar,0.18999999999999997,0.829,1,2,83.57437439999998
17,1,calendar,0.29,0.739,1,3,90.72552959999999
18,1,calendar,0.29,0.739,1,4,97.87668479999999
19,1,calendar,0.29,0.739,1,5,105.02784
20,1,calendar,0.39,0.649,1,6,111.3080832
21,1,calendar,0.49,0.5589999999999999,1,7,116.7174144
22,1,calendar,0.49,0.5589999999999999,1,8,122.12674559999999
23,1,calendar,0.59,0.5,1,9,126.9651456
24,1,calendar,0.69,0.5,1,10,131.8035456
25,1,calendar,0.7899999999999999,0.5,1,11,136.6419456
26,1,calendar,0.8899999999999999,0.5,1,12,141.48034560000002
27,1,calendar,0.8899999999999999,0.5,1,13,146.31874560000003
28,1,calendar,0.9899999999999999,0.5,1,14,151.15714560000004
29,1,calendar,0.19899999999999995,0.8209000000000001,2,1,159.10083072000003
30,1,calendar,0.19899999999999995,0.8209000000000001,2,2,167.04451584000003
31,1,calendar,0.29899999999999993,0.7309000000000001,2,3,174.11728896000002
32,1,calendar,0.3989999999999999,0.6409,2,4,180.31915008000001
33,1,calendar,0.4989999999999999,0.5509000000000002,2,5,185.65009920000003
34,1,calendar,0.5989999999999999,0.5,2,6,190.48849920000004
35,1,calendar,0.6989999999999998,0.5,2,7,195.32689920000004
36,1,calendar,0.7989999999999998,0.5,2,8,200.16529920000005
37,1,calendar,0.8989999999999998,0.5,2,9,205.00369920000006
38,1,calendar,0.9989999999999998,0.5,2,10,209.84209920000006
39,1,calendar,1.0,0.5,2,11,214.68049920000007
40,1,calendar,1.0,0.5,2,12,219.51889920000008
