cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,calendar,0.05,0.99,0,1,2.737152
2,1,calendar,0.05,0.99,0,2,5.474304
3,1,calendar,0.1,0.98,0,3,8.183807999999999
4,1,calendar,0.15000000000000002,0.865,0,4,16.55424
5,1,calendar,0.2,0.82,0,5,24.489216
6,1,calendar,0.25,0.775,0,6,31.988736
7,1,calendar,0.3,0.73,0,7,39.0528
8,1,calendar,0.35,0.685,0,8,45.681408
9,1,calendar,0.39999999999999997,0.64,0,9,51.874559999999995
10,1,calendar,0.44999999999999996,0.595,0,10,57.632256
11,1,calendar,0.49999999999999994,0.55,0,11,62.954496
12,1,calendar,0.5499999999999999,0.5050000000000001,0,12,67.84128
13,1,calendar,0.6,0.5,0,13,72.67967999999999
14,1,calendar,0.6,0.5,0,14,77.51808
15,1,calendar,0.11999999999999997,0.892,1,1,86.1497856
16,1,calendar,0.11999999999999997,0.892,1,2,94.7814912
17,1,calendar,0.11999999999999997,0.892,1,3,103.41319680000001
18,1,calendar,0.16999999999999998,0.847,1,4,111.60944640000001
19,1,calendar,0.21999999999999997,0.802,1,5,119.37024000000001
20,1,calendar,0.26999999999999996,0.757,1,6,126.69557760000001
21,1,calendar,0.31999999999999995,0.712,1,7,133.5854592
22,1,calendar,0.31999999999999995,0.712,1,8,140.4753408
23,1,calendar,0.36999999999999994,0.667,1,9,146.9297664
24,1,calendar,0.36999999999999994,0.667,1,10,153.384192
25,1,calendar,0.41999999999999993,0.6220000000000001,1,11,159.4031616
26,1,calendar,0.4699999999999999,0.5770000000000001,1,12,164.9866752
27,1,calendar,0.5199999999999999,0.532,1,13,170.1347328
28,1,calendar,0.57,0.5,1,14,174.9731328
29,1,calendar,0.11399999999999996,0.8974,2,1,183.65709312
30,1,calendar,0.16399999999999998,0.8524,2,2,191.90559744
31,1,calendar,0.21399999999999997,0.8074,2,3,199.71864576000002
32,1,calendar,0.26399999999999996,0.7624,2,4,207.09623808
33,1,calendar,0.31399999999999995,0.7174,2,5,214.0383744
34,1,calendar,0.31399999999999995,0.7174,2,6,220.98051072
35,1,calendar,0.36399999999999993,0.6724000000000001,2,7,227.48719104000003
36,1,calendar,0.4139999999999999,0.6274000000000001,2,8,233.55841536000003
37,1,calendar,0.4639999999999999,0.5824,2,9,239.19418368000004
38,1,calendar,0.5139999999999999,0.5374000000000001,2,10,244.39449600000003
39,1,calendar,0.564,0.5,2,11,249.23289600000004
40,1,calendar,0.564,0.5,2,12,254.07129600000005
41,1,calendar,0.614,0.5,2,13,258.90969600000005
42,1,calendar,0.664,0.5,2,14,263.74809600000003
43,1,calendar,0.18279999999999996,0.83548,3,1,271.83286886400003
44,1,calendar,0.23279999999999995,0.7904800000000001,3,2,279.48218572800005
45,1,calendar,0.28279999999999994,0.74548,3,3,286.6960465920001
46,1,calendar,0.33279999999999993,0.70048,3,4,293.47445145600005
47,1,calendar,0.3827999999999999,0.6554800000000001,3,5,299.81740032000005
48,1,calendar,0.4327999999999999,0.6104800000000001,3,6,305.72489318400005
49,1,calendar,0.4827999999999999,0.5654800000000001,3,7,311.19693004800007
50,1,calendar,0.5327999999999999,0.52048,3,8,316.23351091200004
51,1,calendar,0.5828,0.5,3,9,321.071910912
52,1,calendar,0.5828,0.59204,3,10,328.43783577600004
53,1,calendar,0.6328,0.55704,3,11,335.36830464
54,1,calendar,0.6828000000000001,0.5220400000000001,3,12,341.863317504
55,1,calendar,0.7328000000000001,0.5,3,13,348.084117504
56,1,calendar,0.7828000000000002,0.5,3,14,354.304917504
57,1,calendar,0.20656000000000002,0.855408,4,1,364.9475616768
58,1,calendar,0.25656,0.820408,4,2,375.15474984959997
59,1,calendar,0.30656,0.785408,4,3,384.92648202239997
60,1,calendar,0.35656,0.750408,4,4,394.2627581952
61,1,calendar,0.40656,0.715408,4,5,403.163578368
62,1,calendar,0.45655999999999997,0.6804080000000001,4,6,411.6289425408
63,1,calendar,0.50656,0.645408,4,7,419.6588507136
64,1,calendar,0.50656,0.645408,4,8,427.68875888639997
65,1,calendar,0.55656,0.6104080000000001,4,9,435.28321105919997
66,1,calendar,0.6065600000000001,0.5754079999999999,4,10,442.442207232
67,1,calendar,0.6565600000000001,0.540408,4,11,449.16574740479996
68,1,calendar,0.7065600000000002,0.5054079999999999,4,12,455.45383157759994
69,1,calendar,0.7565600000000002,0.5,4,13,461.67463157759994
70,1,calendar,0.8065600000000003,0.5,4,14,467.89543157759994
71,1,calendar,0.211312,0.8520816,5,1,478.49669001215995
72,1,calendar,0.261312,0.8170816000000001,5,2,488.66249244671997
73,1,calendar,0.261312,0.8170816000000001,5,3,498.82829488128
74,1,calendar,0.311312,0.7820816,5,4,508.55864131583996
75,1,calendar,0.36131199999999997,0.8554752,5,5,518.61081710592
77,2,calendar,0.05,0.99,0,1,2.737152
78,2,calendar,0.1,0.98,0,2,5.446656
79,2,calendar,0.15000000000000002,0.97,0,3,8.128512
80,2,calendar,0.2,0.82,0,4,16.063488
81,2,calendar,0.25,0.775,0,5,23.563008
82,2,calendar,0.3,0.73,0,6,30.627072
83,2,calendar,0.3,0.73,0,7,37.691136
84,2,calendar,0.3,0.73,0,8,44.7552
85,2,calendar,0.3,0.73,0,9,51.819264000000004
86,2,calendar,0.35,0.685,0,10,58.447872000000004
87,2,calendar,0.39999999999999997,0.64,0,11,64.641024
88,2,calendar,0.44999999999999996,0.595,0,12,70.39872
89,2,calendar,0.44999999999999996,0.595,0,13,76.156416
90,2,calendar,0.44999999999999996,0.595,0,14,81.91411199999999
91,2,calendar,0.13999999999999996,0.874,1,1,90.37163519999999
92,2,calendar,0.18999999999999995,0.8290000000000001,1,2,98.39370239999998
93,2,calendar,0.23999999999999994,0.784,1,3,105.98031359999999
94,2,calendar,0.23999999999999994,0.784,1,4,113.56692479999998
95,2,calendar,0.23999999999999994,0.784,1,5,121.15353599999997
96,2,calendar,0.2899999999999999,0.7390000000000001,1,6,128.30469119999998
97,2,calendar,0.3399999999999999,0.6940000000000001,1,7,135.02039039999997
98,2,calendar,0.3899999999999999,0.649,1,8,141.30063359999997
99,2,calendar,0.4399999999999999,0.6040000000000001,1,9,147.14542079999998
100,2,calendar,0.4399999999999999,0.6040000000000001,1,10,152.990208
101,2,calendar,0.4899999999999999,0.5590000000000002,1,11,158.3995392
102,2,calendar,0.5399999999999999,0.514,1,12,163.3734144
103,2,calendar,0.59,0.5,1,13,168.2118144
104,2,calendar,0.64,0.5,1,14,173.05021440000002
105,2,calendar,0.178,0.8398,2,1,181.17679104
106,2,calendar,0.22799999999999998,0.7948,2,2,188.86791168000002
107,2,calendar,0.27799999999999997,0.7498,2,3,196.12357632
108,2,calendar,0.32799999999999996,0.7048000000000001,2,4,202.94378496000002
109,2,calendar,0.37799999999999995,0.6598,2,5,209.3285376
110,2,calendar,0.42799999999999994,0.6148,2,6,215.27783424
111,2,calendar,0.4779999999999999,0.5698000000000001,2,7,220.79167488000002
112,2,calendar,0.5279999999999999,0.5248,2,8,225.87005952
113,2,calendar,0.5279999999999999,0.5248,2,9,230.94844416
114,2,calendar,0.578,0.5,2,10,235.78684416000002
115,2,calendar,0.628,0.5,2,11,240.62524416000002
116,2,calendar,0.678,0.5,2,12,245.46364416000003
117,2,calendar,0.7280000000000001,0.5,2,13,250.30204416000004
118,2,calendar,0.7780000000000001,0.5,2,14,255.14044416000004
119,2,calendar,0.2056,0.81496,3,1,263.02664908800006
120,2,calendar,0.2556,0.76996,3,2,270.47739801600005
121,2,calendar,0.2556,0.76996,3,3,277.92814694400005
122,2,calendar,0.3056,0.72496,3,4,284.94343987200006
123,2,calendar,0.35559999999999997,0.67996,3,5,291.5232768000001
124,2,calendar,0.35559999999999997,0.67996,3,6,298.1031137280001
125,2,calendar,0.40559999999999996,0.63496,3,7,304.2474946560001
126,2,calendar,0.45559999999999995,0.58996,3,8,309.95641958400006
127,2,calendar,0.45559999999999995,0.58996,3,9,315.66534451200005
128,2,calendar,0.5055999999999999,0.64608,3,10,323.70361344
129,2,calendar,0.5055999999999999,0.64608,3,11,331.741882368
130,2,calendar,0.5055999999999999,0.64608,3,12,339.780151296
131,2,calendar,0.5556,0.6110800000000001,3,13,347.382964224
132,2,calendar,0.6056,0.5760799999999999,3,14,354.550321152
133,2,calendar,0.17112,0.880216,4,1,365.5016165376
134,2,calendar,0.22111999999999998,0.845216,4,2,376.0174559232
135,2,calendar,0.27111999999999997,0.810216,4,3,386.09783930879996
136,2,calendar,0.32111999999999996,0.775216,4,4,395.74276669439996
137,2,calendar,0.37111999999999995,0.740216,4,5,404.95223808
138,2,calendar,0.42111999999999994,0.7052160000000001,4,6,413.7262534656
139,2,calendar,0.4711199999999999,0.6702160000000001,4,7,422.0648128512
140,2,calendar,0.5211199999999999,0.635216,4,8,429.96791623679997
141,2,calendar,0.57112,0.6002160000000001,4,9,437.43556362239997
142,2,calendar,0.62112,0.5652159999999999,4,10,444.467755008
143,2,calendar,0.67112,0.530216,4,11,451.0644903936
144,2,calendar,0.67112,0.530216,4,12,457.66122577920004
145,2,calendar,0.67112,0.530216,4,13,464.25796116480007
146,2,calendar,0.67112,0.530216,4,14,470.8546965504001
147,2,calendar,0.13422399999999998,0.9060432,5,1,482.12732362752007
148,2,calendar,0.184224,0.8710432,5,2,492.96449470464006
149,2,calendar,0.234224,0.8360432,5,3,503.36620978176006
150,2,calendar,0.284224,0.8010432000000001,5,4,513.33246885888
151,2,calendar,0.33422399999999997,0.8663104,5,5,523.51196258304
153,3,calendar,0.05,0.99,0,1,2.737152
154,3,calendar,0.1,0.98,0,2,5.446656
