cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,calendar,0.1,0.98,0,1,2.25792
2,1,calendar,0.1,0.98,0,2,4.51584
3,1,calendar,0.2,0.96,0,3,6.727679999999999
4,1,calendar,0.30000000000000004,0.73,0,4,12.6144
5,1,calendar,0.4,0.6399999999999999,0,5,17.77536
6,1,calendar,0.5,0.55,0,6,22.21056
7,1,calendar,0.6,0.5,0,7,26.24256
8,1,calendar,0.7,0.5,0,8,30.27456
9,1,calendar,0.7,0.5,0,9,34.306560000000005
10,1,calendar,0.7999999999999999,0.5,0,10,38.33856
11,1,calendar,0.8999999999999999,0.5,0,11,42.37056
12,1,calendar,0.9999999999999999,0.5,0,12,46.402559999999994
13,1,calendar,0.9999999999999999,0.5,0,13,50.43455999999999
14,1,calendar,1.0,0.5,0,14,54.46655999999999
15,1,calendar,0.29999999999999993,0.73,1,1,60.353279999999984
16,1,calendar,0.3999999999999999,0.6400000000000001,1,2,65.51423999999999
17,1,calendar,0.4999999999999999,0.55,1,3,69.94943999999998
18,1,calendar,0.5999999999999999,0.5,1,4,73.98143999999998
19,1,calendar,0.6999999999999998,0.5,1,5,78.01343999999997
20,1,calendar,0.6999999999999998,0.5,1,6,82.04543999999997
21,1,calendar,0.6999999999999998,0.5,1,7,86.07743999999997
22,1,calendar,0.7999999999999998,0.5,1,8,90.10943999999996
23,1,calendar,0.7999999999999998,0.5,1,9,94.14143999999996
24,1,calendar,0.8999999999999998,0.5,1,10,98.17343999999996
25,1,calendar,0.9999999999999998,0.5,1,11,102.20543999999995
26,1,calendar,1.0,0.5,1,12,106.23743999999995
27,1,calendar,1.0,0.5,1,13,110.26943999999995
28,1,calendar,1.0,0.5,1,14,114.30143999999994
29,1,calendar,0.29999999999999993,0.73,2,1,120.18815999999994
30,1,calendar,0.3999999999999999,0.6400000000000001,2,2,125.34911999999994
31,1,calendar,0.3999999999999999,0.6400000000000001,2,3,130.51007999999993
32,1,calendar,0.4999999999999999,0.55,2,4,134.94527999999994
33,1,calendar,0.5999999999999999,0.5,2,5,138.97727999999995
34,1,calendar,0.6999999999999998,0.5,2,6,143.00927999999996
35,1,calendar,0.7999999999999998,0.5,2,7,147.04127999999997
36,1,calendar,0.8999999999999998,0.5,2,8,151.07327999999998
37,1,calendar,0.9999999999999998,0.5,2,9,155.10528
38,1,calendar,1.0,0.5,2,10,159.13728
39,1,calendar,1.0,0.5,2,11,163.16928000000001
40,1,calendar,1.0,0.5,2,12,167.20128000000003
41,1,calendar,1.0,0.5,2,13,171.23328000000004
42,1,calendar,1.0,0.5,2,14,175.26528000000005
43,1,calendar,0.19999999999999996,0.8200000000000001,3,1,181.87776000000005
44,1,calendar,0.29999999999999993,0.73,3,2,187.76448000000005
45,1,calendar,0.3999999999999999,0.6400000000000001,3,3,192.92544000000004
46,1,calendar,0.4999999999999999,0.55,3,4,197.36064000000005
47,1,calendar,0.4999999999999999,0.55,3,5,201.79584000000006
48,1,calendar,0.5999999999999999,0.5,3,6,205.82784000000007
49,1,calendar,0.6999999999999998,0.5,3,7,209.85984000000008
50,1,calendar,0.7999999999999998,0.5,3,8,213.8918400000001
51,1,calendar,0.7999999999999998,0.5,3,9,217.9238400000001
52,1,calendar,0.7999999999999998,0.5,3,10,223.1078400000001
53,1,calendar,0.8999999999999998,0.5,3,11,228.2918400000001
54,1,calendar,0.9999999999999998,0.5,3,12,233.4758400000001
55,1,calendar,1.0,0.5,3,13,238.6598400000001
56,1,calendar,1.0,0.5,3,14,243.84384000000009
57,1,calendar,0.29999999999999993,0.79,4,1,252.03456000000008
58,1,calendar,0.3999999999999999,0.7200000000000001,4,2,259.4995200000001
59,1,calendar,0.3999999999999999,0.7200000000000001,4,3,266.9644800000001
60,1,calendar,0.3999999999999999,0.7200000000000001,4,4,274.4294400000001
61,1,calendar,0.4999999999999999,0.6500000000000001,4,5,281.1686400000001
62,1,calendar,0.5999999999999999,0.5800000000000001,4,6,287.1820800000001
63,1,calendar,0.6999999999999998,0.5100000000000001,4,7,292.4697600000001
64,1,calendar,0.7999999999999998,0.5,4,8,297.65376000000015
65,1,calendar,0.8999999999999998,0.5,4,9,302.8377600000002
66,1,calendar,0.8999999999999998,0.5,4,10,308.0217600000002
67,1,calendar,0.9999999999999998,0.5,4,11,313.2057600000002
68,1,calendar,1.0,0.5,4,12,318.38976000000025
69,1,calendar,1.0,0.5,4,13,323.5737600000003
70,1,calendar,1.0,0.5,4,14,328.7577600000003
71,1,calendar,0.29999999999999993,0.79,5,1,336.9484800000003
72,1,calendar,0.3999999999999999,0.7200000000000001,5,2,344.4134400000003
73,1,calendar,0.4999999999999999,0.6500000000000001,5,3,351.1526400000003
74,1,calendar,0.5999999999999999,0.5800000000000001,5,4,357.1660800000003
75,1,calendar,0.6999999999999998,0.72,5,5,364.2163200000003
77,2,calendar,0.0,1.0,0,1,2.304
78,2,calendar,0.1,0.98,0,2,4.56192
79,2,calendar,0.2,0.96,0,3,6.773759999999999
80,2,calendar,0.30000000000000004,0.73,0,4,12.66048
81,2,calendar,0.4,0.6399999999999999,0,5,17.82144
82,2,calendar,0.5,0.55,0,6,22.256639999999997
83,2,calendar,0.6,0.5,0,7,26.288639999999997
84,2,calendar,0.7,0.5,0,8,30.320639999999997
85,2,calendar,0.7999999999999999,0.5,0,9,34.352639999999994
86,2,calendar,0.7999999999999999,0.5,0,10,38.38463999999999
87,2,calendar,0.8999999999999999,0.5,0,11,42.41663999999999
88,2,calendar,0.9999999999999999,0.5,0,12,46.44863999999998
89,2,calendar,1.0,0.5,0,13,50.48063999999998
90,2,calendar,1.0,0.5,0,14,54.512639999999976
91,2,calendar,0.29999999999999993,0.73,1,1,60.39935999999997
92,2,calendar,0.3999999999999999,0.6400000000000001,1,2,65.56031999999998
93,2,calendar,0.4999999999999999,0.55,1,3,69.99551999999997
94,2,calendar,0.5999999999999999,0.5,1,4,74.02751999999997
95,2,calendar,0.5999999999999999,0.5,1,5,78.05951999999996
96,2,calendar,0.6999999999999998,0.5,1,6,82.09151999999996
97,2,calendar,0.7999999999999998,0.5,1,7,86.12351999999996
98,2,calendar,0.7999999999999998,0.5,1,8,90.15551999999995
99,2,calendar,0.8999999999999998,0.5,1,9,94.18751999999995
100,2,calendar,0.9999999999999998,0.5,1,10,98.21951999999995
101,2,calendar,0.9999999999999998,0.5,1,11,102.25151999999994
102,2,calendar,1.0,0.5,1,12,106.28351999999994
103,2,calendar,1.0,0.5,1,13,110.31551999999994
104,2,calendar,1.0,0.5,1,14,114.34751999999993
105,2,calendar,0.29999999999999993,0.73,2,1,120.23423999999993
106,2,calendar,0.3999999999999999,0.6400000000000001,2,2,125.39519999999993
107,2,calendar,0.4999999999999999,0.55,2,3,129.83039999999994
108,2,calendar,0.5999999999999999,0.5,2,4,133.86239999999995
109,2,calendar,0.6999999999999998,0.5,2,5,137.89439999999996
