cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,calendar,0.1,0.98,0,1,2.709504
2,1,calendar,0.2,0.96,0,2,5.363712
3,1,calendar,0.30000000000000004,0.94,0,3,7.962624
4,1,calendar,0.30000000000000004,0.73,0,4,15.026688
5,1,calendar,0.4,0.6399999999999999,0,5,21.219839999999998
6,1,calendar,0.5,0.55,0,6,26.54208
7,1,calendar,0.6,0.5,0,7,31.38048
8,1,calendar,0.7,0.5,0,8,36.21888
9,1,calendar,0.7999999999999999,0.5,0,9,41.05728
10,1,calendar,0.8999999999999999,0.5,0,10,45.89568
11,1,calendar,0.8999999999999999,0.5,0,11,50.73408
12,1,calendar,0.8999999999999999,0.5,0,12,55.57248
13,1,calendar,0.9999999999999999,0.5,0,13,60.41088
14,1,calendar,1.0,0.5,0,14,65.24928
15,1,calendar,0.29999999999999993,0.73,1,1,72.313344
16,1,calendar,0.3999999999999999,0.6400000000000001,1,2,78.506496
17,1,calendar,0.3999999999999999,0.6400000000000001,1,3,84.699648
18,1,calendar,0.4999999999999999,0.55,1,4,90.02188799999999
19,1,calendar,0.5999999999999999,0.5,1,5,94.860288
20,1,calendar,0.6999999999999998,0.5,1,6,99.698688
21,1,calendar,0.7999999999999998,0.5,1,7,104.53708800000001
22,1,calendar,0.8999999999999998,0.5,1,8,109.37548800000002
23,1,calendar,0.8999999999999998,0.5,1,9,114.21388800000003
24,1,calendar,0.8999999999999998,0.5,1,10,119.05228800000003
25,1,calendar,0.9999999999999998,0.5,1,11,123.89068800000004
26,1,calendar,1.0,0.5,1,12,128.72908800000005
27,1,calendar,1.0,0.5,1,13,133.56748800000005
28,1,calendar,1.0,0.5,1,14,138.40588800000006
29,1,calendar,0.29999999999999993,0.73,2,1,145.46995200000006
30,1,calendar,0.3999999999999999,0.6400000000000001,2,2,151.66310400000006
31,1,calendar,0.3999999999999999,0.6400000000000001,2,3,157.85625600000006
32,1,calendar,0.4999999999999999,0.55,2,4,163.17849600000005
33,1,calendar,0.5999999999999999,0.5,2,5,168.01689600000006
34,1,calendar,0.6999999999999998,0.5,2,6,172.85529600000007
35,1,calendar,0.7999999999999998,0.5,2,7,177.69369600000007
36,1,calendar,0.8999999999999998,0.5,2,8,182.53209600000008
37,1,calendar,0.9999999999999998,0.5,2,9,187.3704960000001
38,1,calendar,1.0,0.5,2,10,192.2088960000001
39,1,calendar,1.0,0.5,2,11,197.0472960000001
40,1,calendar,1.0,0.5,2,12,201.8856960000001
41,1,calendar,1.0,0.5,2,13,206.72409600000012
