cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,none,0.1,0.98,0,1,2.709504
2,1,none,0.2,0.96,0,2,5.363712
3,1,none,0.30000000000000004,0.94,0,3,7.962624
4,1,none,0.30000000000000004,0.73,0,4,15.026688
5,1,none,0.30000000000000004,0.73,0,5,22.090752000000002
6,1,none,0.4,0.6399999999999999,0,6,28.283904
7,1,none,0.5,0.55,0,7,33.606144
8,1,none,0.6,0.5,0,8,38.444544
9,1,none,0.7,0.5,0,9,43.282944
10,1,none,0.7999999999999999,0.5,0,10,48.121344
11,1,none,0.8999999999999999,0.5,0,11,52.959744
12,1,none,0.9999999999999999,0.5,0,12,57.798144
13,1,none,1.0,0.5,0,13,62.636544
14,1,none,1.0,0.5,0,14,67.474944
15,1,none,1.0,0.5,0,15,72.313344
16,1,none,1.0,0.5,0,16,77.15174400000001
17,1,none,1.0,0.5,0,17,81.99014400000002
18,1,none,1.0,0.5,0,18,86.82854400000002
19,1,none,1.0,0.5,0,19,91.66694400000003
20,1,none,1.0,0.5,0,20,96.50534400000004
21,1,none,1.0,0.5,0,21,101.34374400000004
22,1,none,1.0,0.5,0,22,106.18214400000005
23,1,none,1.0,0.5,0,23,111.02054400000006
24,1,none,1.0,0.5,0,24,115.85894400000006
25,1,none,1.0,0.5,0,25,120.69734400000007
26,1,none,1.0,0.5,0,26,125.53574400000008
27,1,none,1.0,0.5,0,27,130.3741440000001
28,1,none,1.0,0.5,0,28,135.2125440000001
29,1,none,1.0,0.5,0,29,140.0509440000001
30,1,none,1.0,0.5,0,30,144.8893440000001
31,1,none,1.0,0.5,0,31,149.72774400000011
32,1,none,1.0,0.5,0,32,154.56614400000012
33,1,none,1.0,0.5,0,33,159.40454400000013
34,1,none,1.0,0.5,0,34,164.24294400000014
35,1,none,1.0,0.5,0,35,169.08134400000014
36,1,none,1.0,0.5,0,36,173.91974400000015
37,1,none,1.0,0.5,0,37,178.75814400000016
38,1,none,1.0,0.5,0,38,183.59654400000016
39,1,none,1.0,0.5,0,39,188.43494400000017
40,1,none,1.0,0.5,0,40,193.27334400000018
41,1,none,1.0,0.5,0,41,198.1117440000002
42,1,none,1.0,0.5,0,42,202.9501440000002
43,1,none,1.0,0.5,0,43,207.7885440000002
44,1,none,1.0,0.5,0,44,212.6269440000002
45,1,none,1.0,0.5,0,45,217.46534400000021
46,1,none,1.0,0.5,0,46,222.30374400000022
47,1,none,1.0,0.5,0,47,227.14214400000023
48,1,none,1.0,0.5,0,48,231.98054400000024
49,1,none,1.0,0.5,0,49,236.81894400000024
50,1,none,1.0,0.5,0,50,241.65734400000025
51,1,none,1.0,0.5,0,51,246.49574400000026
52,1,none,1.0,0.5,0,52,252.71654400000025
53,1,none,1.0,0.5,0,53,258.9373440000003
54,1,none,1.0,0.5,0,54,265.1581440000003
55,1,none,1.0,0.5,0,55,271.3789440000003
56,1,none,1.0,0.5,0,56,277.59974400000027
57,1,none,1.0,0.5,0,57,283.82054400000027
58,1,none,1.0,0.5,0,58,290.04134400000027
59,1,none,1.0,0.5,0,59,296.26214400000026
60,1,none,1.0,0.5,0,60,302.48294400000026
61,1,none,1.0,0.5,0,61,308.70374400000026
62,1,none,1.0,0.5,0,62,314.92454400000025
63,1,none,1.0,0.5,0,63,321.14534400000025
64,1,none,1.0,0.5,0,64,327.36614400000025
65,1,none,1.0,0.5,0,65,333.58694400000024
66,1,none,1.0,0.5,0,66,339.80774400000024
67,1,none,1.0,0.5,0,67,346.02854400000024
68,1,none,1.0,0.5,0,68,352.24934400000024
69,1,none,1.0,0.5,0,69,358.47014400000023
70,1,none,1.0,0.5,0,70,364.69094400000023
71,1,none,1.0,0.5,0,71,370.9117440000002
72,1,none,1.0,0.5,0,72,377.1325440000002
73,1,none,1.0,0.5,0,73,383.3533440000002
74,1,none,1.0,0.5,0,74,389.5741440000002
75,1,none,1.0,0.6,0,75,396.6243840000002
77,2,none,0.1,0.98,0,1,2.709504
78,2,none,0.2,0.96,0,2,5.363712
79,2,none,0.30000000000000004,0.94,0,3,7.962624
80,2,none,0.4,0.6399999999999999,0,4,14.155776
81,2,none,0.5,0.55,0,5,19.478016
82,2,none,0.6,0.5,0,6,24.316416
83,2,none,0.7,0.5,0,7,29.154816
84,2,none,0.7999999999999999,0.5,0,8,33.993216000000004
85,2,none,0.8999999999999999,0.5,0,9,38.831616000000004
