cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,none,0.1,0.98,0,1,2.709504
2,1,none,0.2,0.96,0,2,5.363712
3,1,none,0.2,0.96,0,3,8.01792
4,1,none,0.30000000000000004,0.73,0,4,15.081984
5,1,none,0.4,0.6399999999999999,0,5,21.275136
6,1,none,0.5,0.55,0,6,26.597376
7,1,none,0.6,0.5,0,7,31.435776
8,1,none,0.7,0.5,0,8,36.274176
9,1,none,0.7999999999999999,0.5,0,9,41.112576
10,1,none,0.8999999999999999,0.5,0,10,45.950976
11,1,none,0.9999999999999999,0.5,0,11,50.789376
12,1,none,0.9999999999999999,0.5,0,12,55.627776
13,1,none,1.0,0.5,0,13,60.466176
14,1,none,1.0,0.5,0,14,65.304576
15,1,none,1.0,0.5,0,15,70.142976
16,1,none,1.0,0.5,0,16,74.98137600000001
17,1,none,1.0,0.5,0,17,79.81977600000002
18,1,none,1.0,0.5,0,18,84.65817600000003
19,1,none,1.0,0.5,0,19,89.49657600000003
20,1,none,1.0,0.5,0,20,94.33497600000004
21,1,none,1.0,0.5,0,21,99.17337600000005
22,1,none,1.0,0.5,0,22,104.01177600000005
23,1,none,1.0,0.5,0,23,108.85017600000006
24,1,none,1.0,0.5,0,24,113.68857600000007
25,1,none,1.0,0.5,0,25,118.52697600000008
26,1,none,1.0,0.5,0,26,123.36537600000008
27,1,none,1.0,0.5,0,27,128.2037760000001
28,1,none,1.0,0.5,0,28,133.0421760000001
29,1,none,1.0,0.5,0,29,137.8805760000001
30,1,none,1.0,0.5,0,30,142.7189760000001
31,1,none,1.0,0.5,0,31,147.55737600000012
32,1,none,1.0,0.5,0,32,152.39577600000013
33,1,none,1.0,0.5,0,33,157.23417600000013
34,1,none,1.0,0.5,0,34,162.07257600000014
35,1,none,1.0,0.5,0,35,166.91097600000015
36,1,none,1.0,0.5,0,36,171.74937600000015
37,1,none,1.0,0.5,0,37,176.58777600000016
38,1,none,1.0,0.5,0,38,181.42617600000017
39,1,none,1.0,0.5,0,39,186.26457600000018
40,1,none,1.0,0.5,0,40,191.10297600000018
41,1,none,1.0,0.5,0,41,195.9413760000002
42,1,none,1.0,0.5,0,42,200.7797760000002
43,1,none,1.0,0.5,0,43,205.6181760000002
44,1,none,1.0,0.5,0,44,210.4565760000002
45,1,none,1.0,0.5,0,45,215.29497600000022
46,1,none,1.0,0.5,0,46,220.13337600000023
47,1,none,1.0,0.5,0,47,224.97177600000023
48,1,none,1.0,0.5,0,48,229.81017600000024
49,1,none,1.0,0.5,0,49,234.64857600000025
50,1,none,1.0,0.5,0,50,239.48697600000025
51,1,none,1.0,0.5,0,51,244.32537600000026
52,1,none,1.0,0.5,0,52,250.54617600000026
53,1,none,1.0,0.5,0,53,256.7669760000003
54,1,none,1.0,0.5,0,54,262.9877760000003
55,1,none,1.0,0.5,0,55,269.2085760000003
56,1,none,1.0,0.5,0,56,275.4293760000003
57,1,none,1.0,0.5,0,57,281.6501760000003
58,1,none,1.0,0.5,0,58,287.87097600000027
59,1,none,1.0,0.5,0,59,294.09177600000027
60,1,none,1.0,0.5,0,60,300.31257600000026
61,1,none,1.0,0.5,0,61,306.53337600000026
62,1,none,1.0,0.5,0,62,312.75417600000026
63,1,none,1.0,0.5,0,63,318.97497600000025
64,1,none,1.0,0.5,0,64,325.19577600000025
65,1,none,1.0,0.5,0,65,331.41657600000025
66,1,none,1.0,0.5,0,66,337.63737600000024
67,1,none,1.0,0.5,0,67,343.85817600000024
68,1,none,1.0,0.5,0,68,350.07897600000024
69,1,none,1.0,0.5,0,69,356.29977600000024
70,1,none,1.0,0.5,0,70,362.52057600000023
71,1,none,1.0,0.5,0,71,368.74137600000023
72,1,none,1.0,0.5,0,72,374.9621760000002
73,1,none,1.0,0.5,0,73,381.1829760000002
74,1,none,1.0,0.5,0,74,387.4037760000002
75,1,none,1.0,0.6,0,75,394.4540160000002
77,2,none,0.1,0.98,0,1,2.709504
78,2,none,0.2,0.96,0,2,5.363712
79,2,none,0.30000000000000004,0.94,0,3,7.962624
80,2,none,0.4,0.6399999999999999,0,4,14.155776
81,2,none,0.5,0.55,0,5,19.478016
82,2,none,0.6,0.5,0,6,24.316416
83,2,none,0.7,0.5,0,7,29.154816
84,2,none,0.7999999999999999,0.5,0,8,33.993216000000004
85,2,none,0.8999999999999999,0.5,0,9,38.831616000000004
