cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,none,0.0,1.0,0,1,2.7648
2,1,none,0.1,0.98,0,2,5.474304
3,1,none,0.2,0.96,0,3,8.128512
4,1,none,0.30000000000000004,0.73,0,4,15.192576
5,1,none,0.4,0.6399999999999999,0,5,21.385728
6,1,none,0.5,0.55,0,6,26.707968
7,1,none,0.6,0.5,0,7,31.546368
8,1,none,0.7,0.5,0,8,36.384768
9,1,none,0.7999999999999999,0.5,0,9,41.223168
10,1,none,0.8999999999999999,0.5,0,10,46.061568
11,1,none,0.9999999999999999,0.5,0,11,50.899968
12,1,none,1.0,0.5,0,12,55.738368
13,1,none,1.0,0.5,0,13,60.576768
14,1,none,1.0,0.5,0,14,65.415168
15,1,none,1.0,0.5,0,15,70.253568
16,1,none,1.0,0.5,0,16,75.09196800000001
17,1,none,1.0,0.5,0,17,79.93036800000002
18,1,none,1.0,0.5,0,18,84.76876800000002
19,1,none,1.0,0.5,0,19,89.60716800000003
20,1,none,1.0,0.5,0,20,94.44556800000004
21,1,none,1.0,0.5,0,21,99.28396800000004
22,1,none,1.0,0.5,0,22,104.12236800000005
23,1,none,1.0,0.5,0,23,108.96076800000006
24,1,none,1.0,0.5,0,24,113.79916800000007
25,1,none,1.0,0.5,0,25,118.63756800000007
26,1,none,1.0,0.5,0,26,123.47596800000008
27,1,none,1.0,0.5,0,27,128.3143680000001
28,1,none,1.0,0.5,0,28,133.1527680000001
29,1,none,1.0,0.5,0,29,137.9911680000001
30,1,none,1.0,0.5,0,30,142.8295680000001
31,1,none,1.0,0.5,0,31,147.66796800000012
32,1,none,1.0,0.5,0,32,152.50636800000012
33,1,none,1.0,0.5,0,33,157.34476800000013
34,1,none,1.0,0.5,0,34,162.18316800000014
35,1,none,1.0,0.5,0,35,167.02156800000014
36,1,none,1.0,0.5,0,36,171.85996800000015
37,1,none,1.0,0.5,0,37,176.69836800000016
38,1,none,1.0,0.5,0,38,181.53676800000017
39,1,none,1.0,0.5,0,39,186.37516800000017
40,1,none,1.0,0.5,0,40,191.21356800000018
41,1,none,1.0,0.5,0,41,196.0519680000002
42,1,none,1.0,0.5,0,42,200.8903680000002
43,1,none,1.0,0.5,0,43,205.7287680000002
44,1,none,1.0,0.5,0,44,210.5671680000002
45,1,none,1.0,0.5,0,45,215.40556800000022
46,1,none,1.0,0.5,0,46,220.24396800000022
47,1,none,1.0,0.5,0,47,225.08236800000023
48,1,none,1.0,0.5,0,48,229.92076800000024
49,1,none,1.0,0.5,0,49,234.75916800000024
50,1,none,1.0,0.5,0,50,239.59756800000025
51,1,none,1.0,0.5,0,51,244.43596800000026
52,1,none,1.0,0.5,0,52,250.65676800000026
53,1,none,1.0,0.5,0,53,256.8775680000003
54,1,none,1.0,0.5,0,54,263.0983680000003
55,1,none,1.0,0.5,0,55,269.3191680000003
56,1,none,1.0,0.5,0,56,275.5399680000003
57,1,none,1.0,0.5,0,57,281.76076800000027
58,1,none,1.0,0.5,0,58,287.98156800000027
59,1,none,1.0,0.5,0,59,294.20236800000026
60,1,none,1.0,0.5,0,60,300.42316800000026
61,1,none,1.0,0.5,0,61,306.64396800000026
62,1,none,1.0,0.5,0,62,312.86476800000025
63,1,none,1.0,0.5,0,63,319.08556800000025
64,1,none,1.0,0.5,0,64,325.30636800000025
65,1,none,1.0,0.5,0,65,331.52716800000024
66,1,none,1.0,0.5,0,66,337.74796800000024
67,1,none,1.0,0.5,0,67,343.96876800000024
68,1,none,1.0,0.5,0,68,350.18956800000024
69,1,none,1.0,0.5,0,69,356.41036800000023
70,1,none,1.0,0.5,0,70,362.63116800000023
71,1,none,1.0,0.5,0,71,368.8519680000002
72,1,none,1.0,0.5,0,72,375.0727680000002
73,1,none,1.0,0.5,0,73,381.2935680000002
74,1,none,1.0,0.5,0,74,387.5143680000002
75,1,none,1.0,0.6,0,75,394.5646080000002
77,2,none,0.1,0.98,0,1,2.709504
78,2,none,0.2,0.96,0,2,5.363712
79,2,none,0.30000000000000004,0.94,0,3,7.962624
80,2,none,0.4,0.6399999999999999,0,4,14.155776
81,2,none,0.5,0.55,0,5,19.478016
82,2,none,0.6,0.5,0,6,24.316416
83,2,none,0.7,0.5,0,7,29.154816
84,2,none,0.7999999999999999,0.5,0,8,33.993216000000004
85,2,none,0.8999999999999999,0.5,0,9,38.831616000000004
86,2,none,0.9999999999999999,0.5,0,10,43.670016000000004
87,2,none,1.0,0.5,0,11,48.508416000000004
88,2,none,1.0,0.5,0,12,53.346816000000004
89,2,none,1.0,0.5,0,13,58.185216000000004
90,2,none,1.0,0.5,0,14,63.023616000000004
91,2,none,1.0,0.5,0,15,67.86201600000001
92,2,none,1.0,0.5,0,16,72.70041600000002
93,2,none,1.0,0.5,0,17,77.53881600000003
94,2,none,1.0,0.5,0,18,82.37721600000003
95,2,none,1.0,0.5,0,19,87.21561600000004
96,2,none,1.0,0.5,0,20,92.05401600000005
97,2,none,1.0,0.5,0,21,96.89241600000005
98,2,none,1.0,0.5,0,22,101.73081600000006
99,2,none,1.0,0.5,0,23,106.56921600000007
100,2,none,1.0,0.5,0,24,111.40761600000008
101,2,none,1.0,0.5,0,25,116.24601600000008
102,2,none,1.0,0.5,0,26,121.08441600000009
103,2,none,1.0,0.5,0,27,125.9228160000001
104,2,none,1.0,0.5,0,28,130.7612160000001
105,2,none,1.0,0.5,0,29,135.5996160000001
106,2,none,1.0,0.5,0,30,140.43801600000012
107,2,none,1.0,0.5,0,31,145.27641600000013
108,2,none,1.0,0.5,0,32,150.11481600000013
109,2,none,1.0,0.5,0,33,154.95321600000014
110,2,none,1.0,0.5,0,34,159.79161600000015
111,2,none,1.0,0.5,0,35,164.63001600000015
112,2,none,1.0,0.5,0,36,169.46841600000016
113,2,none,1.0,0.5,0,37,174.30681600000017
114,2,none,1.0,0.5,0,38,179.14521600000018
115,2,none,1.0,0.5,0,39,183.98361600000018
116,2,none,1.0,0.5,0,40,188.8220160000002
117,2,none,1.0,0.5,0,41,193.6604160000002
118,2,none,1.0,0.5,0,42,198.4988160000002
119,2,none,1.0,0.5,0,43,203.3372160000002
120,2,none,1.0,0.5,0,44,208.17561600000022
121,2,none,1.0,0.5,0,45,213.01401600000023
122,2,none,1.0,0.5,0,46,217.85241600000023
123,2,none,1.0,0.5,0,47,222.69081600000024
124,2,none,1.0,0.5,0,48,227.52921600000025
125,2,none,1.0,0.5,0,49,232.36761600000025
126,2,none,1.0,0.5,0,50,237.20601600000026
127,2,none,1.0,0.5,0,51,242.04441600000027
128,2,none,1.0,0.5,0,52,248.26521600000027
129,2,none,1.0,0.5,0,53,254.48601600000026
130,2,none,1.0,0.5,0,54,260.7068160000003
131,2,none,1.0,0.5,0,55,266.9276160000003
132,2,none,1.0,0.5,0,56,273.1484160000003
133,2,none,1.0,0.5,0,57,279.3692160000003
134,2,none,1.0,0.5,0,58,285.5900160000003
135,2,none,1.0,0.5,0,59,291.8108160000003
136,2,none,1.0,0.5,0,60,298.03161600000027
137,2,none,1.0,0.5,0,61,304.25241600000027
138,2,none,1.0,0.5,0,62,310.47321600000026
139,2,none,1.0,0.5,0,63,316.69401600000026
140,2,none,1.0,0.5,0,64,322.91481600000026
141,2,none,1.0,0.5,0,65,329.13561600000025
142,2,none,1.0,0.5,0,66,335.35641600000025
143,2,none,1.0,0.5,0,67,341.57721600000025
144,2,none,1.0,0.5,0,68,347.79801600000025
145,2,none,1.0,0.5,0,69,354.01881600000024
146,2,none,1.0,0.5,0,70,360.23961600000024
147,2,none,1.0,0.5,0,71,366.46041600000024
148,2,none,1.0,0.5,0,72,372.68121600000023
149,2,none,1.0,0.5,0,73,378.90201600000023
150,2,none,1.0,0.5,0,74,385.1228160000002
151,2,none,1.0,0.6,0,75,392.1730560000002
153,3,none,0.1,0.98,0,1,2.709504
154,3,none,0.2,0.96,0,2,5.363712
155,3,none,0.30000000000000004,0.94,0,3,7.962624
156,3,none,0.30000000000000004,0.73,0,4,15.026688
157,3,none,0.4,0.6399999999999999,0,5,21.219839999999998
158,3,none,0.5,0.55,0,6,26.54208
159,3,none,0.6,0.5,0,7,31.38048
160,3,none,0.7,0.5,0,8,36.21888
161,3,none,0.7,0.5,0,9,41.05728
162,3,none,0.7999999999999999,0.5,0,10,45.89568
163,3,none,0.7999999999999999,0.5,0,11,50.73408
164,3,none,0.8999999999999999,0.5,0,12,55.57248
165,3,none,0.9999999999999999,0.5,0,13,60.41088
166,3,none,1.0,0.5,0,14,65.24928
167,3,none,1.0,0.5,0,15,70.08768
168,3,none,1.0,0.5,0,16,74.92608000000001
169,3,none,1.0,0.5,0,17,79.76448000000002
170,3,none,1.0,0.5,0,18,84.60288000000003
171,3,none,1.0,0.5,0,19,89.44128000000003
172,3,none,1.0,0.5,0,20,94.27968000000004
173,3,none,1.0,0.5,0,21,99.11808000000005
174,3,none,1.0,0.5,0,22,103.95648000000006
175,3,none,1.0,0.5,0,23,108.79488000000006
176,3,none,1.0,0.5,0,24,113.63328000000007
177,3,none,1.0,0.5,0,25,118.47168000000008
178,3,none,1.0,0.5,0,26,123.31008000000008
179,3,none,1.0,0.5,0,27,128.1484800000001
180,3,none,1.0,0.5,0,28,132.9868800000001
181,3,none,1.0,0.5,0,29,137.8252800000001
182,3,none,1.0,0.5,0,30,142.6636800000001
183,3,none,1.0,0.5,0,31,147.50208000000012
184,3,none,1.0,0.5,0,32,152.34048000000013
185,3,none,1.0,0.5,0,33,157.17888000000013
186,3,none,1.0,0.5,0,34,162.01728000000014
187,3,none,1.0,0.5,0,35,166.85568000000015
188,3,none,1.0,0.5,0,36,171.69408000000016
189,3,none,1.0,0.5,0,37,176.53248000000016
190,3,none,1.0,0.5,0,38,181.37088000000017
191,3,none,1.0,0.5,0,39,186.20928000000018
192,3,none,1.0,0.5,0,40,191.04768000000018
193,3,none,1.0,0.5,0,41,195.8860800000002
194,3,none,1.0,0.5,0,42,200.7244800000002
195,3,none,1.0,0.5,0,43,205.5628800000002
196,3,none,1.0,0.5,0,44,210.4012800000002
197,3,none,1.0,0.5,0,45,215.23968000000022
198,3,none,1.0,0.5,0,46,220.07808000000023
199,3,none,1.0,0.5,0,47,224.91648000000023
200,3,none,1.0,0.5,0,48,229.75488000000024
201,3,none,1.0,0.5,0,49,234.59328000000025
202,3,none,1.0,0.5,0,50,239.43168000000026
203,3,none,1.0,0.5,0,51,244.27008000000026
204,3,none,1.0,0.5,0,52,250.49088000000026
205,3,none,1.0,0.5,0,53,256.7116800000003
206,3,none,1.0,0.5,0,54,262.9324800000003
207,3,none,1.0,0.5,0,55,269.1532800000003
208,3,none,1.0,0.5,0,56,275.3740800000003
209,3,none,1.0,0.5,0,57,281.5948800000003
210,3,none,1.0,0.5,0,58,287.81568000000027
211,3,none,1.0,0.5,0,59,294.03648000000027
212,3,none,1.0,0.5,0,60,300.25728000000026
213,3,none,1.0,0.5,0,61,306.47808000000026
214,3,none,1.0,0.5,0,62,312.69888000000026
215,3,none,1.0,0.5,0,63,318.91968000000026
216,3,none,1.0,0.5,0,64,325.14048000000025
217,3,none,1.0,0.5,0,65,331.36128000000025
218,3,none,1.0,0.5,0,66,337.58208000000025
219,3,none,1.0,0.5,0,67,343.80288000000024
220,3,none,1.0,0.5,0,68,350.02368000000024
221,3,none,1.0,0.5,0,69,356.24448000000024
222,3,none,1.0,0.5,0,70,362.46528000000023
223,3,none,1.0,0.5,0,71,368.68608000000023
224,3,none,1.0,0.5,0,72,374.9068800000002
225,3,none,1.0,0.5,0,73,381.1276800000002
226,3,none,1.0,0.5,0,74,387.3484800000002
227,3,none,1.0,0.6,0,75,394.3987200000002
