cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,none,0.1,0.98,0,1,2.25792
2,1,none,0.2,0.96,0,2,4.469759999999999
3,1,none,0.30000000000000004,0.94,0,3,6.635519999999999
4,1,none,0.4,0.6399999999999999,0,4,11.796479999999999
5,1,none,0.5,0.55,0,5,16.231679999999997
6,1,none,0.5,0.55,0,6,20.66688
7,1,none,0.5,0.55,0,7,25.10208
8,1,none,0.6,0.5,0,8,29.13408
9,1,none,0.7,0.5,0,9,33.16608
10,1,none,0.7999999999999999,0.5,0,10,37.198080000000004
11,1,none,0.8999999999999999,0.5,0,11,41.23008
12,1,none,0.8999999999999999,0.5,0,12,45.26208
13,1,none,0.9999999999999999,0.5,0,13,49.294079999999994
14,1,none,1.0,0.5,0,14,53.32607999999999
15,1,none,1.0,0.5,0,15,57.35807999999999
16,1,none,1.0,0.5,0,16,61.39007999999998
17,1,none,1.0,0.5,0,17,65.42207999999998
18,1,none,1.0,0.5,0,18,69.45407999999998
19,1,none,1.0,0.5,0,19,73.48607999999997
20,1,none,1.0,0.5,0,20,77.51807999999997
21,1,none,1.0,0.5,0,21,81.55007999999997
22,1,none,1.0,0.5,0,22,85.58207999999996
23,1,none,1.0,0.5,0,23,89.61407999999996
24,1,none,1.0,0.5,0,24,93.64607999999996
25,1,none,1.0,0.5,0,25,97.67807999999995
26,1,none,1.0,0.5,0,26,101.71007999999995
27,1,none,1.0,0.5,0,27,105.74207999999994
28,1,none,1.0,0.5,0,28,109.77407999999994
29,1,none,1.0,0.5,0,29,113.80607999999994
30,1,none,1.0,0.5,0,30,117.83807999999993
31,1,none,1.0,0.5,0,31,121.87007999999993
32,1,none,1.0,0.5,0,32,125.90207999999993
33,1,none,1.0,0.5,0,33,129.93407999999994
34,1,none,1.0,0.5,0,34,133.96607999999995
35,1,none,1.0,0.5,0,35,137.99807999999996
36,1,none,1.0,0.5,0,36,142.03007999999997
37,1,none,1.0,0.5,0,37,146.06207999999998
38,1,none,1.0,0.5,0,38,150.09408
39,1,none,1.0,0.5,0,39,154.12608
40,1,none,1.0,0.5,0,40,158.15808
41,1,none,1.0,0.5,0,41,162.19008000000002
42,1,none,1.0,0.5,0,42,166.22208000000003
43,1,none,1.0,0.5,0,43,170.25408000000004
44,1,none,1.0,0.5,0,44,174.28608000000006
45,1,none,1.0,0.5,0,45,178.31808000000007
46,1,none,1.0,0.5,0,46,182.35008000000008
47,1,none,1.0,0.5,0,47,186.3820800000001
48,1,none,1.0,0.5,0,48,190.4140800000001
49,1,none,1.0,0.5,0,49,194.4460800000001
50,1,none,1.0,0.5,0,50,198.47808000000012
51,1,none,1.0,0.5,0,51,202.51008000000013
52,1,none,1.0,0.5,0,52,207.69408000000013
53,1,none,1.0,0.5,0,53,212.87808000000012
54,1,none,1.0,0.5,0,54,218.06208000000012
55,1,none,1.0,0.5,0,55,223.24608000000012
56,1,none,1.0,0.5,0,56,228.43008000000012
57,1,none,1.0,0.5,0,57,233.61408000000011
58,1,none,1.0,0.5,0,58,238.7980800000001
59,1,none,1.0,0.5,0,59,243.9820800000001
60,1,none,1.0,0.5,0,60,249.1660800000001
61,1,none,1.0,0.5,0,61,254.3500800000001
62,1,none,1.0,0.5,0,62,259.53408000000013
63,1,none,1.0,0.5,0,63,264.71808000000016
64,1,none,1.0,0.5,0,64,269.9020800000002
65,1,none,1.0,0.5,0,65,275.0860800000002
66,1,none,1.0,0.5,0,66,280.27008000000023
67,1,none,1.0,0.5,0,67,285.45408000000026
68,1,none,1.0,0.5,0,68,290.6380800000003
69,1,none,1.0,0.5,0,69,295.8220800000003
70,1,none,1.0,0.5,0,70,301.00608000000034
71,1,none,1.0,0.5,0,71,306.19008000000036
72,1,none,1.0,0.5,0,72,311.3740800000004
73,1,none,1.0,0.5,0,73,316.5580800000004
74,1,none,1.0,0.5,0,74,321.74208000000044
75,1,none,1.0,0.6,0,75,327.61728000000045
77,2,none,0.1,0.98,0,1,2.25792
78,2,none,0.2,0.96,0,2,4.469759999999999
79,2,none,0.2,0.96,0,3,6.681599999999999
80,2,none,0.30000000000000004,0.73,0,4,12.568319999999998
81,2,none,0.4,0.6399999999999999,0,5,17.729279999999996
82,2,none,0.5,0.55,0,6,22.164479999999998
83,2,none,0.6,0.5,0,7,26.196479999999998
84,2,none,0.7,0.5,0,8,30.228479999999998
85,2,none,0.7999999999999999,0.5,0,9,34.26048
86,2,none,0.8999999999999999,0.5,0,10,38.29248
87,2,none,0.9999999999999999,0.5,0,11,42.324479999999994
88,2,none,1.0,0.5,0,12,46.35647999999999
89,2,none,1.0,0.5,0,13,50.38847999999999
90,2,none,1.0,0.5,0,14,54.42047999999998
91,2,none,1.0,0.5,0,15,58.45247999999998
92,2,none,1.0,0.5,0,16,62.48447999999998
93,2,none,1.0,0.5,0,17,66.51647999999997
94,2,none,1.0,0.5,0,18,70.54847999999997
95,2,none,1.0,0.5,0,19,74.58047999999997
96,2,none,1.0,0.5,0,20,78.61247999999996
97,2,none,1.0,0.5,0,21,82.64447999999996
98,2,none,1.0,0.5,0,22,86.67647999999996
99,2,none,1.0,0.5,0,23,90.70847999999995
