cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,threshold,0.0,1.0,0,1,2.7648
2,1,threshold,0.1,0.98,0,2,5.474304
3,1,threshold,0.2,0.96,0,3,8.128512
4,1,threshold,0.30000000000000004,0.73,0,4,15.192576
5,1,threshold,0.4,0.6399999999999999,0,5,21.385728
6,1,threshold,0.5,0.55,0,6,26.707968
7,1,threshold,0.6,0.5,0,7,31.546368
8,1,threshold,0.11999999999999997,0.892,1,1,40.178073600000005
9,1,threshold,0.21999999999999997,0.802,1,2,47.938867200000004
10,1,threshold,0.21999999999999997,0.802,1,3,55.699660800000004
11,1,threshold,0.31999999999999995,0.712,1,4,62.589542400000006
12,1,threshold,0.41999999999999993,0.6220000000000001,1,5,68.608512
13,1,threshold,0.5199999999999999,0.532,1,6,73.7565696
14,1,threshold,0.6199999999999999,0.5,1,7,78.59496960000001
15,1,threshold,0.22399999999999995,0.7984,2,1,86.32092672000002
16,1,threshold,0.22399999999999995,0.7984,2,2,94.04688384000002
17,1,threshold,0.32399999999999995,0.7084,2,3,100.90192896000002
18,1,threshold,0.42399999999999993,0.6184000000000001,2,4,106.88606208000002
19,1,threshold,0.42399999999999993,0.6184000000000001,2,5,112.87019520000001
20,1,threshold,0.5239999999999999,0.5284000000000001,2,6,117.98341632000002
21,1,threshold,0.6239999999999999,0.5,2,7,122.82181632000001
22,1,threshold,0.12479999999999995,0.88768,3,1,131.41171814400002
23,1,threshold,0.12479999999999995,0.88768,3,2,140.00161996800003
24,1,threshold,0.22479999999999994,0.7976800000000001,3,3,147.72060979200003
25,1,threshold,0.3248,0.7076800000000001,3,4,154.56868761600003
26,1,threshold,0.3248,0.7076800000000001,3,5,161.41676544000003
27,1,threshold,0.42479999999999996,0.61768,3,6,167.39393126400003
28,1,threshold,0.5247999999999999,0.52768,3,7,172.50018508800002
29,1,threshold,0.20495999999999998,0.815536,4,1,180.39196385280002
30,1,threshold,0.30496,0.725536,4,2,187.4128306176
31,1,threshold,0.40496,0.635536,4,3,193.56278538240002
32,1,threshold,0.50496,0.545536,4,4,198.84182814720003
33,1,threshold,0.6049599999999999,0.5,4,5,203.68022814720004
34,1,threshold,0.7049599999999999,0.5,4,6,208.51862814720005
35,1,threshold,0.7049599999999999,0.5,4,7,213.35702814720005
36,1,threshold,0.24099199999999996,0.7831072,5,1,220.93499990016005
37,1,threshold,0.34099199999999996,0.6931072,5,2,227.64205965312004
