cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,threshold,0.1,0.98,0,1,2.709504
2,1,threshold,0.2,0.96,0,2,5.363712
3,1,threshold,0.30000000000000004,0.94,0,3,7.962624
4,1,threshold,0.4,0.6399999999999999,0,4,14.155776
5,1,threshold,0.5,0.55,0,5,19.478016
6,1,threshold,0.5,0.55,0,6,24.800256
7,1,threshold,0.6,0.5,0,7,29.638656
8,1,threshold,0.21999999999999997,0.802,1,1,37.399449600000004
9,1,threshold,0.31999999999999995,0.712,1,2,44.28933120000001
10,1,threshold,0.41999999999999993,0.6220000000000001,1,3,50.308300800000005
11,1,threshold,0.5199999999999999,0.532,1,4,55.456358400000006
12,1,threshold,0.6199999999999999,0.5,1,5,60.294758400000006
13,1,threshold,0.6199999999999999,0.5,1,6,65.13315840000001
14,1,threshold,0.7199999999999999,0.5,1,7,69.97155840000002
15,1,threshold,0.24399999999999994,0.7804,2,1,77.52333312000002
16,1,threshold,0.344,0.6904,2,2,84.20419584000001
17,1,threshold,0.44399999999999995,0.6004,2,3,90.01414656000001
18,1,threshold,0.5439999999999999,0.5104000000000001,2,4,94.95318528000001
19,1,threshold,0.5439999999999999,0.5104000000000001,2,5,99.89222400000001
20,1,threshold,0.6439999999999999,0.5,2,6,104.730624
21,1,threshold,0.7439999999999999,0.5,2,7,109.56902400000001
22,1,threshold,0.24879999999999994,0.7760800000000001,3,1,117.07899494400002
23,1,threshold,0.34879999999999994,0.68608,3,2,123.71805388800001
24,1,threshold,0.4488,0.5960799999999999,3,3,129.486200832
25,1,threshold,0.4488,0.5960799999999999,3,4,135.254347776
26,1,threshold,0.5488,0.5060800000000001,3,5,140.15158272
27,1,threshold,0.6487999999999999,0.5,3,6,144.98998272
28,1,threshold,0.6487999999999999,0.5,3,7,149.82838272
29,1,threshold,0.22975999999999996,0.793216,4,1,157.5041753088
30,1,threshold,0.32975999999999994,0.7032160000000001,4,2,164.3090558976
31,1,threshold,0.4297599999999999,0.613216,4,3,170.2430244864
32,1,threshold,0.5297599999999999,0.5232160000000001,4,4,175.3060810752
33,1,threshold,0.6297599999999999,0.5,4,5,180.14448107520002
34,1,threshold,0.7297599999999999,0.5,4,6,184.98288107520003
35,1,threshold,0.8297599999999998,0.5,4,7,189.82128107520003
36,1,threshold,0.16595199999999993,0.8506432,5,1,198.05278519296004
37,1,threshold,0.26595199999999997,0.7606432000000001,5,2,205.41337731072005
38,1,threshold,0.36595199999999994,0.6706432,5,3,211.90305742848005
39,1,threshold,0.4659519999999999,0.5806432000000001,5,4,217.52182554624005
40,1,threshold,0.5659519999999999,0.5,5,5,222.36022554624006
41,1,threshold,0.5659519999999999,0.5,5,6,227.19862554624007
42,1,threshold,0.5659519999999999,0.5,5,7,232.03702554624007
43,1,threshold,0.11319039999999995,0.89812864,6,1,240.72803676979208
44,1,threshold,0.21319039999999995,0.8081286400000001,6,2,248.5481359933441
45,1,threshold,0.21319039999999995,0.8081286400000001,6,3,256.3682352168961
46,1,threshold,0.3131904,0.71812864,6,4,263.31742244044807
47,1,threshold,0.41319039999999996,0.62812864,6,5,269.39569766400007
48,1,threshold,0.5131903999999999,0.53812864,6,6,274.6030608875521
49,1,threshold,0.6131903999999999,0.5,6,7,279.44146088755207
50,1,threshold,0.22263807999999996,0.7996257280000001,7,1,287.1792791322625
51,1,threshold,0.32263807999999994,0.709625728,7,2,294.04618537697286
52,1,threshold,0.4226380799999999,0.7041533440000001,7,3,302.80697962168324
53,1,threshold,0.5226380799999999,0.6341533440000001,7,4,310.69686186639365
54,1,threshold,0.6226380799999999,0.5641533440000002,7,5,317.715832111104
55,1,threshold,0.7226380799999998,0.5,7,6,323.936632111104
56,1,threshold,0.8226380799999998,0.5,7,7,330.157432111104
57,1,threshold,0.16452761599999993,0.8848306688,8,1,341.1661413600461
58,1,threshold,0.26452761599999997,0.8148306688,8,2,351.3039386089882
59,1,threshold,0.36452761599999994,0.7448306688,8,3,360.57082385793024
60,1,threshold,0.36452761599999994,0.7448306688,8,4,369.8377091068723
61,1,threshold,0.4645276159999999,0.6748306688000001,8,5,378.2336823558144
62,1,threshold,0.4645276159999999,0.6748306688000001,8,6,386.62965560475646
63,1,threshold,0.5645276159999999,0.6048306688,8,7,394.1547168536986
64,1,threshold,0.21290552319999995,0.8509661337600001,9,1,404.74209710348697
65,1,threshold,0.3129055232,0.78096613376,9,2,414.4585653532754
66,1,threshold,0.3129055232,0.78096613376,9,3,424.1750336030638
67,1,threshold,0.41290552319999996,0.7109661337600001,9,4,433.02058985285225
68,1,threshold,0.5129055231999999,0.6409661337600001,9,5,440.99523410264067
69,1,threshold,0.6129055231999999,0.57096613376,9,6,448.0989663524291
70,1,threshold,0.7129055231999999,0.5009661337600001,9,7,454.3317866022175
71,1,threshold,0.24258110463999996,0.830193226752,10,1,464.6607186521752
72,1,threshold,0.24258110463999996,0.830193226752,10,2,474.9896507021329
73,1,threshold,0.34258110463999997,0.7601932267520001,10,3,484.4476707520906
74,1,threshold,0.44258110464,0.690193226752,10,4,493.03477880204827
75,1,threshold,0.54258110464,0.782967558144,10,5,502.2349607972635
77,2,threshold,0.1,0.98,0,1,2.709504
78,2,threshold,0.2,0.96,0,2,5.363712
79,2,threshold,0.30000000000000004,0.94,0,3,7.962624
80,2,threshold,0.4,0.6399999999999999,0,4,14.155776
81,2,threshold,0.5,0.55,0,5,19.478016
82,2,threshold,0.6,0.5,0,6,24.316416
83,2,threshold,0.7,0.5,0,7,29.154816
84,2,threshold,0.23999999999999996,0.784,1,1,36.741427200000004
85,2,threshold,0.33999999999999997,0.694,1,2,43.45712640000001
86,2,threshold,0.33999999999999997,0.694,1,3,50.17282560000001
87,2,threshold,0.43999999999999995,0.6040000000000001,1,4,56.01761280000001
88,2,threshold,0.43999999999999995,0.6040000000000001,1,5,61.86240000000001
89,2,threshold,0.5399999999999999,0.514,1,6,66.8362752
90,2,threshold,0.6399999999999999,0.5,1,7,71.6746752
91,2,threshold,0.22799999999999995,0.7948000000000001,2,1,79.36579583999999
92,2,threshold,0.32799999999999996,0.7048000000000001,2,2,86.18600448
93,2,threshold,0.42799999999999994,0.6148,2,3,92.13530112
94,2,threshold,0.5279999999999999,0.5248,2,4,97.21368575999999
95,2,threshold,0.6279999999999999,0.5,2,5,102.05208575999998
96,2,threshold,0.7279999999999999,0.5,2,6,106.89048575999999
97,2,threshold,0.7279999999999999,0.5,2,7,111.72888576
98,2,threshold,0.14559999999999995,0.8689600000000001,3,1,120.137637888
99,2,threshold,0.14559999999999995,0.8689600000000001,3,2,128.546390016
100,2,threshold,0.24559999999999996,0.7789600000000001,3,3,136.084230144
101,2,threshold,0.24559999999999996,0.7789600000000001,3,4,143.622070272
102,2,threshold,0.34559999999999996,0.68896,3,5,150.2889984
103,2,threshold,0.4456,0.5989599999999999,3,6,156.085014528
104,2,threshold,0.5456,0.5089600000000001,3,7,161.01011865599997
105,2,threshold,0.20911999999999997,0.8117920000000001,4,1,168.86566748159998
106,2,threshold,0.30911999999999995,0.721792,4,2,175.8503043072
107,2,threshold,0.40911999999999993,0.6317920000000001,4,3,181.9640291328
108,2,threshold,0.40911999999999993,0.6317920000000001,4,4,188.0777539584
109,2,threshold,0.5091199999999999,0.541792,4,5,193.320566784
110,2,threshold,0.5091199999999999,0.541792,4,6,198.5633796096
111,2,threshold,0.6091199999999999,0.5,4,7,203.4017796096
112,2,threshold,0.22182399999999997,0.8003584,5,1,211.14668777472
113,2,threshold,0.321824,0.7103584000000001,5,2,218.02068393983998
114,2,threshold,0.321824,0.7103584000000001,5,3,224.89468010495997
115,2,threshold,0.421824,0.6203584,5,4,230.89776427007996
116,2,threshold,0.521824,0.5303584,5,5,236.02993643519997
117,2,threshold,0.6218239999999999,0.5,5,6,240.86833643519998
118,2,threshold,0.7218239999999999,0.5,5,7,245.70673643519999
119,2,threshold,0.24436479999999997,0.78007168,6,1,253.255334068224
120,2,threshold,0.34436479999999997,0.69007168,6,2,259.933019701248
121,2,threshold,0.4443648,0.60007168,6,3,265.739793334272
122,2,threshold,0.5443648,0.51007168,6,4,270.675654967296
123,2,threshold,0.6443648,0.5,6,5,275.514054967296
124,2,threshold,0.7443647999999999,0.5,6,6,280.35245496729596
125,2,threshold,0.8443647999999999,0.5,6,7,285.19085496729593
126,2,threshold,0.26887295999999994,0.758014336,7,1,292.5260080939007
127,2,threshold,0.3688729599999999,0.668014336,7,2,298.9902492205055
128,2,threshold,0.3688729599999999,0.7417889280000001,7,3,308.2192903471103
129,2,threshold,0.4688729599999999,0.6717889280000001,7,4,316.5774194737151
130,2,threshold,0.5688729599999999,0.6017889280000002,7,5,324.0646366003199
131,2,threshold,0.6688729599999998,0.5317889280000001,7,6,330.6809417269247
132,2,threshold,0.7688729599999998,0.5,7,7,336.9017417269247
133,2,threshold,0.15377459199999993,0.8923577856,8,1,348.00410035224564
134,2,threshold,0.25377459199999997,0.8223577856000001,8,2,358.2355469775666
135,2,threshold,0.35377459199999994,0.7523577856000001,8,3,367.5960816028876
136,2,threshold,0.4537745919999999,0.6823577856,8,4,376.08570422820856
