cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,threshold,0.1,0.98,0,1,2.709504
2,1,threshold,0.1,0.98,0,2,5.419008
3,1,threshold,0.2,0.96,0,3,8.073216
4,1,threshold,0.30000000000000004,0.73,0,4,15.13728
5,1,threshold,0.30000000000000004,0.73,0,5,22.201344
6,1,threshold,0.4,0.6399999999999999,0,6,28.394495999999997
7,1,threshold,0.5,0.55,0,7,33.716736
8,1,threshold,0.30000000000000004,0.73,1,1,40.7808
9,1,threshold,0.30000000000000004,0.73,1,2,47.844864
10,1,threshold,0.4,0.6399999999999999,1,3,54.038016
11,1,threshold,0.4,0.6399999999999999,1,4,60.231168
12,1,threshold,0.5,0.55,1,5,65.55340799999999
13,1,threshold,0.6,0.5,1,6,70.391808
14,1,threshold,0.7,0.5,1,7,75.230208
15,1,threshold,0.38,0.6579999999999999,2,1,81.59754240000001
16,1,threshold,0.48,0.5680000000000001,2,2,87.09396480000001
17,1,threshold,0.58,0.5,2,3,91.93236480000002
18,1,threshold,0.58,0.5,2,4,96.77076480000002
19,1,threshold,0.6799999999999999,0.5,2,5,101.60916480000003
20,1,threshold,0.7799999999999999,0.5,2,6,106.44756480000004
21,1,threshold,0.8799999999999999,0.5,2,7,111.28596480000004
22,1,threshold,0.45199999999999996,0.5932,3,1,117.02624256000004
23,1,threshold,0.45199999999999996,0.5932,3,2,122.76652032000004
24,1,threshold,0.5519999999999999,0.5032000000000001,3,3,127.63588608000003
25,1,threshold,0.6519999999999999,0.5,3,4,132.47428608000004
26,1,threshold,0.7519999999999999,0.5,3,5,137.31268608000005
27,1,threshold,0.8519999999999999,0.5,3,6,142.15108608000006
28,1,threshold,0.9519999999999998,0.5,3,7,146.98948608000006
29,1,threshold,0.4808,0.56728,4,1,152.47894118400006
30,1,threshold,0.5808,0.5,4,2,157.31734118400007
31,1,threshold,0.6808,0.5,4,3,162.15574118400008
32,1,threshold,0.6808,0.5,4,4,166.99414118400009
33,1,threshold,0.6808,0.5,4,5,171.8325411840001
34,1,threshold,0.7807999999999999,0.5,4,6,176.6709411840001
35,1,threshold,0.7807999999999999,0.5,4,7,181.5093411840001
36,1,threshold,0.41232,0.6289119999999999,5,1,187.5951968256001
37,1,threshold,0.41232,0.6289119999999999,5,2,193.68105246720012
38,1,threshold,0.41232,0.6289119999999999,5,3,199.76690810880012
39,1,threshold,0.41232,0.6289119999999999,5,4,205.85276375040013
40,1,threshold,0.51232,0.5389120000000001,5,5,211.06770739200013
41,1,threshold,0.61232,0.5,5,6,215.90610739200014
42,1,threshold,0.71232,0.5,5,7,220.74450739200014
43,1,threshold,0.284928,0.7435647999999999,6,1,227.93983524864015
44,1,threshold,0.38492800000000005,0.6535648,6,2,234.26425110528015
45,1,threshold,0.484928,0.5635648,6,3,239.71775496192015
46,1,threshold,0.584928,0.5,6,4,244.55615496192016
47,1,threshold,0.684928,0.5,6,5,249.39455496192016
48,1,threshold,0.784928,0.5,6,6,254.23295496192017
49,1,threshold,0.784928,0.5,6,7,259.0713549619202
50,1,threshold,0.4139712,0.6274259200000001,7,1,265.1428301045762
51,1,threshold,0.5139712,0.53742592,7,2,270.3433932472322
52,1,threshold,0.6139711999999999,0.5702201600000001,7,3,277.4378443898882
53,1,threshold,0.7139711999999999,0.50022016,7,4,283.6613835325442
54,1,threshold,0.8139711999999999,0.5,7,5,289.8821835325442
55,1,threshold,0.9139711999999999,0.5,7,6,296.1029835325442
56,1,threshold,0.9139711999999999,0.5,7,7,302.3237835325442
57,1,threshold,0.46558847999999997,0.674088064,8,1,310.71051758960664
58,1,threshold,0.46558847999999997,0.674088064,8,2,319.09725164666906
59,1,threshold,0.46558847999999997,0.674088064,8,3,327.4839857037315
60,1,threshold,0.56558848,0.604088064,8,4,334.9998077607939
61,1,threshold,0.6655884799999999,0.5340880640000001,8,5,341.6447178178563
62,1,threshold,0.7655884799999999,0.5,8,6,347.8655178178563
63,1,threshold,0.8655884799999999,0.5,8,7,354.0863178178563
64,1,threshold,0.346235392,0.7576352256000001,9,1,363.51251224068125
65,1,threshold,0.44623539199999995,0.6876352256,9,2,372.0677946635062
66,1,threshold,0.44623539199999995,0.6876352256,9,3,380.6230770863312
67,1,threshold,0.5462353919999999,0.6176352256000001,9,4,388.30744750915613
68,1,threshold,0.6462353919999999,0.5476352256000001,9,5,395.1209059319811
69,1,threshold,0.7462353919999999,0.5,9,6,401.3417059319811
70,1,threshold,0.8462353919999999,0.5,9,7,407.5625059319811
71,1,threshold,0.4384941567999999,0.6930540902400001,10,1,416.1852077011111
72,1,threshold,0.5384941567999999,0.6230540902400001,10,2,423.93699747024107
73,1,threshold,0.6384941567999999,0.5530540902400001,10,3,430.81787523937106
74,1,threshold,0.7384941567999999,0.5,10,4,437.03867523937106
75,1,threshold,0.8384941567999998,0.6646023372800001,10,5,444.848018543346
77,2,threshold,0.1,0.98,0,1,2.709504
78,2,threshold,0.2,0.96,0,2,5.363712
79,2,threshold,0.30000000000000004,0.94,0,3,7.962624
80,2,threshold,0.30000000000000004,0.73,0,4,15.026688
81,2,threshold,0.4,0.6399999999999999,0,5,21.219839999999998
82,2,threshold,0.5,0.55,0,6,26.54208
83,2,threshold,0.6,0.5,0,7,31.38048
84,2,threshold,0.33999999999999997,0.694,1,1,38.096179199999995
85,2,threshold,0.43999999999999995,0.6040000000000001,1,2,43.94096639999999
86,2,threshold,0.5399999999999999,0.514,1,3,48.914841599999995
87,2,threshold,0.6399999999999999,0.5,1,4,53.753241599999996
88,2,threshold,0.7399999999999999,0.5,1,5,58.591641599999996
89,2,threshold,0.8399999999999999,0.5,1,6,63.430041599999996
90,2,threshold,0.8399999999999999,0.5,1,7,68.26844159999999
91,2,threshold,0.43599999999999994,0.6076,2,1,74.14806527999998
92,2,threshold,0.5359999999999999,0.5176000000000001,2,2,79.15677695999999
93,2,threshold,0.5359999999999999,0.5176000000000001,2,3,84.16548863999999
94,2,threshold,0.6359999999999999,0.5,2,4,89.00388863999999
95,2,threshold,0.6359999999999999,0.5,2,5,93.84228863999999
96,2,threshold,0.7359999999999999,0.5,2,6,98.68068864
97,2,threshold,0.8359999999999999,0.5,2,7,103.51908864
98,2,threshold,0.4344,0.60904,3,1,109.41264691200001
99,2,threshold,0.4344,0.60904,3,2,115.30620518400002
100,2,threshold,0.5344,0.51904,3,3,120.32885145600002
101,2,threshold,0.6344,0.5,3,4,125.16725145600003
102,2,threshold,0.7343999999999999,0.5,3,5,130.00565145600004
103,2,threshold,0.8343999999999999,0.5,3,6,134.84405145600005
104,2,threshold,0.8343999999999999,0.5,3,7,139.68245145600005
105,2,threshold,0.43376000000000003,0.6096159999999999,4,1,145.58158356480004
106,2,threshold,0.43376000000000003,0.6096159999999999,4,2,151.48071567360003
107,2,threshold,0.53376,0.519616,4,3,156.50893578240004
108,2,threshold,0.63376,0.5,4,4,161.34733578240005
109,2,threshold,0.73376,0.5,4,5,166.18573578240006
110,2,threshold,0.73376,0.5,4,6,171.02413578240007
111,2,threshold,0.83376,0.5,4,7,175.86253578240007
112,2,threshold,0.433504,0.6098464,5,1,181.76389742592008
113,2,threshold,0.433504,0.6098464,5,2,187.66525906944008
114,2,threshold,0.433504,0.6098464,5,3,193.5666207129601
115,2,threshold,0.533504,0.5198464,5,4,198.5970703564801
116,2,threshold,0.633504,0.5,5,5,203.4354703564801
117,2,threshold,0.7335039999999999,0.5,5,6,208.2738703564801
118,2,threshold,0.8335039999999999,0.5,5,7,213.1122703564801
119,2,threshold,0.33340159999999996,0.6999385600000001,6,1,219.8854358138881
120,2,threshold,0.43340159999999994,0.60993856,6,2,225.7876892712961
121,2,threshold,0.5334015999999999,0.51993856,6,3,230.8190307287041
122,2,threshold,0.5334015999999999,0.51993856,6,4,235.85037218611208
123,2,threshold,0.6334015999999999,0.5,6,5,240.6887721861121
124,2,threshold,0.7334015999999999,0.5,6,6,245.5271721861121
125,2,threshold,0.8334015999999999,0.5,6,7,250.3655721861121
126,2,threshold,0.33336064,0.699975424,7,1,257.1390943690753
127,2,threshold,0.43336063999999996,0.609975424,7,2,263.0417045520385
128,2,threshold,0.5333606399999999,0.6266475520000001,7,3,270.8382027350017
129,2,threshold,0.6333606399999999,0.556647552,7,4,277.76378891796486
130,2,threshold,0.6333606399999999,0.556647552,7,5,284.68937510092803
131,2,threshold,0.7333606399999999,0.5,7,6,290.91017510092803
132,2,threshold,0.8333606399999999,0.5,7,7,297.130975100928
133,2,threshold,0.33334425599999995,0.7666590208,8,1,306.6694399741133
134,2,threshold,0.4333442559999999,0.6966590208000001,8,2,315.3369928472986
135,2,threshold,0.5333442559999999,0.6266590208,8,3,323.13363372048383
136,2,threshold,0.6333442559999999,0.5566590208000002,8,4,330.0593625936691
