cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,threshold,0.1,0.98,0,1,2.25792
2,1,threshold,0.2,0.96,0,2,4.469759999999999
3,1,threshold,0.30000000000000004,0.94,0,3,6.635519999999999
4,1,threshold,0.4,0.6399999999999999,0,4,11.796479999999999
5,1,threshold,0.5,0.55,0,5,16.231679999999997
6,1,threshold,0.5,0.55,0,6,20.66688
7,1,threshold,0.5,0.55,0,7,25.10208
8,1,threshold,0.19999999999999998,0.8200000000000001,1,1,31.714560000000002
9,1,threshold,0.3,0.73,1,2,37.60128
10,1,threshold,0.4,0.6399999999999999,1,3,42.762240000000006
11,1,threshold,0.4,0.6399999999999999,1,4,47.92320000000001
12,1,threshold,0.5,0.55,1,5,52.35840000000001
13,1,threshold,0.5,0.55,1,6,56.79360000000001
14,1,threshold,0.6,0.5,1,7,60.82560000000001
15,1,threshold,0.21999999999999997,0.802,2,1,67.292928
16,1,threshold,0.31999999999999995,0.712,2,2,73.034496
17,1,threshold,0.41999999999999993,0.6220000000000001,2,3,78.05030400000001
18,1,threshold,0.5199999999999999,0.532,2,4,82.34035200000001
19,1,threshold,0.6199999999999999,0.5,2,5,86.372352
20,1,threshold,0.7199999999999999,0.5,2,6,90.404352
21,1,threshold,0.7199999999999999,0.5,2,7,94.436352
22,1,threshold,0.14399999999999993,0.8704000000000001,3,1,101.4552576
23,1,threshold,0.24399999999999994,0.7804,3,2,107.7484032
24,1,threshold,0.344,0.6904,3,3,113.31578879999999
25,1,threshold,0.44399999999999995,0.6004,3,4,118.1574144
26,1,threshold,0.5439999999999999,0.5104000000000001,3,5,122.27328
27,1,threshold,0.6439999999999999,0.5,3,6,126.30528
28,1,threshold,0.7439999999999999,0.5,3,7,130.33728
29,1,threshold,0.24879999999999994,0.7760800000000001,4,1,136.59558912
30,1,threshold,0.34879999999999994,0.68608,4,2,142.12813824
31,1,threshold,0.4488,0.5960799999999999,4,3,146.93492736
32,1,threshold,0.5488,0.5060800000000001,4,4,151.01595648
33,1,threshold,0.6487999999999999,0.5,4,5,155.04795648
34,1,threshold,0.7487999999999999,0.5,4,6,159.07995648000002
35,1,threshold,0.8487999999999999,0.5,4,7,163.11195648000003
36,1,threshold,0.26975999999999994,0.7572160000000001,5,1,169.21814630400004
37,1,threshold,0.26975999999999994,0.7572160000000001,5,2,175.32433612800006
38,1,threshold,0.36976,0.667216,5,3,180.70476595200006
39,1,threshold,0.46975999999999996,0.577216,5,4,185.35943577600005
40,1,threshold,0.46975999999999996,0.577216,5,5,190.01410560000005
41,1,threshold,0.5697599999999999,0.5,5,6,194.04610560000006
42,1,threshold,0.6697599999999999,0.5,5,7,198.07810560000007
43,1,threshold,0.13395199999999996,0.8794432000000001,6,1,205.16993556480008
44,1,threshold,0.23395199999999997,0.7894432,6,2,211.5360055296001
45,1,threshold,0.23395199999999997,0.7894432,6,3,217.9020754944001
46,1,threshold,0.23395199999999997,0.7894432,6,4,224.2681454592001
47,1,threshold,0.33395199999999997,0.6994432,6,5,229.9084554240001
48,1,threshold,0.433952,0.6094432,6,6,234.82300538880008
49,1,threshold,0.533952,0.5194432,6,7,239.0117953536001
50,1,threshold,0.20679039999999999,0.81388864,7,1,245.5749933465601
51,1,threshold,0.3067904,0.72388864,7,2,251.41243133952008
52,1,threshold,0.4067904,0.71524672,7,3,258.8281093324801
53,1,threshold,0.5067904,0.64524672,7,4,265.5180273254401
54,1,threshold,0.6067904,0.57524672,7,5,271.48218531840007
55,1,threshold,0.7067903999999999,0.5052467200000001,7,6,276.7205833113601
56,1,threshold,0.8067903999999999,0.5,7,7,281.9045833113601
57,1,threshold,0.26135807999999994,0.8170493440000001,8,1,290.3757509099521
58,1,threshold,0.3613580799999999,0.7470493440000001,8,2,298.1211585085441
59,1,threshold,0.4613580799999999,0.677049344,8,3,305.1408061071361
60,1,threshold,0.4613580799999999,0.677049344,8,4,312.16045370572806
61,1,threshold,0.5613580799999999,0.6070493440000001,8,5,318.45434130432005
62,1,threshold,0.6613580799999998,0.5370493440000002,8,6,324.02246890291207
63,1,threshold,0.7613580799999998,0.5,8,7,329.2064689029121
64,1,threshold,0.2522716159999999,0.8234098688,9,1,337.7435824226305
65,1,threshold,0.3522716159999999,0.7534098688,9,2,345.5549359423489
66,1,threshold,0.4522716159999999,0.6834098688000001,9,3,352.6405294620673
67,1,threshold,0.5522716159999999,0.6134098688000001,9,4,359.0003629817857
68,1,threshold,0.6522716159999998,0.5434098688000002,9,5,364.6344365015041
69,1,threshold,0.6522716159999998,0.5434098688000002,9,6,370.26851002122254
70,1,threshold,0.6522716159999998,0.5434098688000002,9,7,375.90258354094095
71,1,threshold,0.23045432319999995,0.83868197376,10,1,384.5980382448846
72,1,threshold,0.23045432319999995,0.83868197376,10,2,393.29349294882826
73,1,threshold,0.23045432319999995,0.83868197376,10,3,401.9889476527719
