cycle,season,strategy,pest_load,k_pest,spray_count,days_since_last_spray,biomass
1,1,threshold,0.1,0.98,0,1,2.709504
2,1,threshold,0.2,0.96,0,2,5.363712
3,1,threshold,0.30000000000000004,0.94,0,3,7.962624
4,1,threshold,0.4,0.6399999999999999,0,4,14.155776
5,1,threshold,0.5,0.55,0,5,19.478016
6,1,threshold,0.6,0.5,0,6,24.316416
7,1,threshold,0.6,0.5,0,7,29.154816
8,1,threshold,0.21999999999999997,0.802,1,1,36.9156096
9,1,threshold,0.31999999999999995,0.712,1,2,43.805491200000006
10,1,threshold,0.31999999999999995,0.712,1,3,50.69537280000001
11,1,threshold,0.41999999999999993,0.6220000000000001,1,4,56.71434240000001
12,1,threshold,0.5199999999999999,0.532,1,5,61.86240000000001
13,1,threshold,0.6199999999999999,0.5,1,6,66.70080000000002
14,1,threshold,0.7199999999999999,0.5,1,7,71.53920000000002
15,1,threshold,0.14399999999999993,0.8704000000000001,2,1,79.96188672000002
16,1,threshold,0.14399999999999993,0.8704000000000001,2,2,88.38457344000003
17,1,threshold,0.24399999999999994,0.7804,2,3,95.93634816000002
18,1,threshold,0.344,0.6904,2,4,102.61721088000002
19,1,threshold,0.44399999999999995,0.6004,2,5,108.42716160000002
20,1,threshold,0.44399999999999995,0.6004,2,6,114.23711232000002
21,1,threshold,0.44399999999999995,0.6004,2,7,120.04706304000003
22,1,threshold,0.18879999999999997,0.83008,3,1,128.07958118400003
23,1,threshold,0.18879999999999997,0.83008,3,2,136.11209932800003
24,1,threshold,0.28879999999999995,0.7400800000000001,3,3,143.27370547200002
25,1,threshold,0.3887999999999999,0.65008,3,4,149.564399616
26,1,threshold,0.4887999999999999,0.5600800000000001,3,5,154.98418176
27,1,threshold,0.5887999999999999,0.5,3,6,159.82258176000002
28,1,threshold,0.6887999999999999,0.5,3,7,164.66098176000003
29,1,threshold,0.23775999999999994,0.786016,4,1,172.26710138880003
30,1,threshold,0.33775999999999995,0.696016,4,2,179.00230901760003
31,1,threshold,0.4377599999999999,0.6060160000000001,4,3,184.86660464640002
32,1,threshold,0.5377599999999999,0.516016,4,4,189.8599882752
33,1,threshold,0.6377599999999999,0.5,4,5,194.69838827520002
34,1,threshold,0.7377599999999999,0.5,4,6,199.53678827520002
35,1,threshold,0.8377599999999998,0.5,4,7,204.37518827520003
36,1,threshold,0.2675519999999999,0.7592032000000001,5,1,211.72184580096004
37,1,threshold,0.3675519999999999,0.6692032000000001,5,2,218.19759132672004
38,1,threshold,0.3675519999999999,0.6692032000000001,5,3,224.67333685248005
39,1,threshold,0.46755199999999986,0.5792032000000001,5,4,230.27817037824005
40,1,threshold,0.5675519999999998,0.5,5,5,235.11657037824006
41,1,threshold,0.6675519999999998,0.5,5,6,239.95497037824006
42,1,threshold,0.7675519999999998,0.5,5,7,244.79337037824007
43,1,threshold,0.15351039999999994,0.86184064,6,1,253.13322988339206
44,1,threshold,0.2535103999999999,0.7718406400000001,6,2,260.6021773885441
45,1,threshold,0.3535103999999999,0.6818406400000001,6,3,267.20021289369606
46,1,threshold,0.45351039999999987,0.59184064,6,4,272.92733639884807
47,1,threshold,0.5535103999999998,0.5018406400000002,6,5,277.78354790400005
48,1,threshold,0.5535103999999998,0.5018406400000002,6,6,282.639759409152
49,1,threshold,0.6535103999999998,0.5,6,7,287.478159409152
50,1,threshold,0.23070207999999995,0.792368128,7,1,295.1457473101824
51,1,threshold,0.33070207999999995,0.702368128,7,2,301.9424232112128
52,1,threshold,0.43070208,0.6985085440000001,7,3,310.6329871122432
53,1,threshold,0.43070208,0.6985085440000001,7,4,319.3235510132736
54,1,threshold,0.53070208,0.628508544,7,5,327.14320291430397
55,1,threshold,0.6307020799999999,0.558508544,7,6,334.0919428153344
56,1,threshold,0.7307020799999999,0.5,7,7,340.3127428153344
57,1,threshold,0.24614041599999995,0.8277017088,8,1,350.61067639554045
58,1,threshold,0.34614041599999995,0.7577017088,8,2,360.03769797574654
59,1,threshold,0.446140416,0.6877017088,8,3,368.5938075559526
60,1,threshold,0.546140416,0.6177017088000001,8,4,376.2790051361587
61,1,threshold,0.6461404159999999,0.5477017088,8,5,383.0932907163648
62,1,threshold,0.6461404159999999,0.5477017088,8,6,389.9075762965709
63,1,threshold,0.6461404159999999,0.5477017088,8,7,396.721861876777
64,1,threshold,0.12922808319999995,0.9095403417600001,9,1,408.0379989928182
65,1,threshold,0.22922808319999996,0.83954034176,9,2,418.4832241088594
66,1,threshold,0.22922808319999996,0.83954034176,9,3,428.92844922490065
67,1,threshold,0.32922808319999997,0.7695403417600001,9,4,438.50276234094184
68,1,threshold,0.42922808319999994,0.6995403417600001,9,5,447.20616345698306
69,1,threshold,0.5292280831999999,0.6295403417600001,9,6,455.03865257302425
70,1,threshold,0.6292280831999999,0.5595403417600001,9,7,462.00022968906546
71,1,threshold,0.12584561663999996,0.911908068352,10,1,473.3458251122737
72,1,threshold,0.22584561663999997,0.841908068352,10,2,483.82050853548196
73,1,threshold,0.32584561664,0.771908068352,10,3,493.4242799586902
74,1,threshold,0.42584561664,0.701908068352,10,4,502.15713938189845
75,1,threshold,0.52584561664,0.789661753344,10,5,511.4359808483918
77,2,threshold,0.1,0.98,0,1,2.709504
78,2,threshold,0.2,0.96,0,2,5.363712
79,2,threshold,0.2,0.96,0,3,8.01792
80,2,threshold,0.30000000000000004,0.73,0,4,15.081984
81,2,threshold,0.30000000000000004,0.73,0,5,22.146048
82,2,threshold,0.30000000000000004,0.73,0,6,29.210112000000002
83,2,threshold,0.4,0.6399999999999999,0,7,35.403264
84,2,threshold,0.4,0.6399999999999999,0,8,41.596416
85,2,threshold,0.4,0.6399999999999999,0,9,47.789567999999996
86,2,threshold,0.5,0.55,0,10,53.111807999999996
87,2,threshold,0.19999999999999998,0.8200000000000001,1,1,61.046783999999995
88,2,threshold,0.19999999999999998,0.8200000000000001,1,2,68.98176
89,2,threshold,0.3,0.73,1,3,76.045824
90,2,threshold,0.4,0.6399999999999999,1,4,82.238976
91,2,threshold,0.5,0.55,1,5,87.561216
92,2,threshold,0.6,0.5,1,6,92.39961600000001
93,2,threshold,0.7,0.5,1,7,97.23801600000002
94,2,threshold,0.13999999999999996,0.874,2,1,105.69553920000001
95,2,threshold,0.23999999999999996,0.784,2,2,113.2821504
96,2,threshold,0.33999999999999997,0.694,2,3,119.99784960000001
97,2,threshold,0.43999999999999995,0.6040000000000001,2,4,125.84263680000001
98,2,threshold,0.5399999999999999,0.514,2,5,130.81651200000002
99,2,threshold,0.6399999999999999,0.5,2,6,135.65491200000002
100,2,threshold,0.6399999999999999,0.5,2,7,140.49331200000003
101,2,threshold,0.12799999999999995,0.8848,3,1,149.05534464000004
102,2,threshold,0.12799999999999995,0.8848,3,2,157.61737728000006
103,2,threshold,0.22799999999999995,0.7948000000000001,3,3,165.30849792000006
104,2,threshold,0.32799999999999996,0.7048000000000001,3,4,172.12870656000007
105,2,threshold,0.42799999999999994,0.6148,3,5,178.07800320000007
106,2,threshold,0.5279999999999999,0.5248,3,6,183.15638784000006
107,2,threshold,0.6279999999999999,0.5,3,7,187.99478784000007
108,2,threshold,0.12559999999999996,0.88696,4,1,196.57772236800008
109,2,threshold,0.22559999999999997,0.79696,4,2,204.2897448960001
110,2,threshold,0.3256,0.70696,4,3,211.1308554240001
111,2,threshold,0.4256,0.61696,4,4,217.1010539520001
112,2,threshold,0.5256,0.5269600000000001,4,5,222.20034048000008
113,2,threshold,0.5256,0.5269600000000001,4,6,227.29962700800007
114,2,threshold,0.6255999999999999,0.5,4,7,232.13802700800008
115,2,threshold,0.12511999999999995,0.8873920000000001,5,1,240.72514191360008
116,2,threshold,0.22511999999999996,0.7973920000000001,5,2,248.44134481920008
117,2,threshold,0.32511999999999996,0.707392,5,3,255.28663572480008
118,2,threshold,0.42511999999999994,0.617392,5,4,261.2610146304001
119,2,threshold,0.5251199999999999,0.5273920000000001,5,5,266.3644815360001
120,2,threshold,0.6251199999999999,0.5,5,6,271.20288153600006
121,2,threshold,0.6251199999999999,0.5,5,7,276.04128153600004
122,2,threshold,0.12502399999999994,0.8874784,6,1,284.62923251712004
123,2,threshold,0.12502399999999994,0.8874784,6,2,293.21718349824005
124,2,threshold,0.22502399999999995,0.7974784,6,3,300.9342224793601
125,2,threshold,0.325024,0.7074784000000001,6,4,307.78034946048007
126,2,threshold,0.42502399999999996,0.6174784,6,5,313.7555644416001
127,2,threshold,0.42502399999999996,0.6174784,6,6,319.7307794227201
128,2,threshold,0.5250239999999999,0.6324832,6,7,327.5998824038401
129,2,threshold,0.2050048,0.85649664,7,1,338.25607100006414
130,2,threshold,0.30500479999999996,0.78649664,7,2,348.0413475962881
131,2,threshold,0.40500479999999994,0.7164966400000001,7,3,356.9557121925121
132,2,threshold,0.5050047999999999,0.6464966400000001,7,4,364.99916478873615
133,2,threshold,0.6050047999999999,0.5764966400000001,7,5,372.17170538496015
134,2,threshold,0.6050047999999999,0.5764966400000001,7,6,379.34424598118414
135,2,threshold,0.7050047999999999,0.5064966400000002,7,7,385.64587457740816
136,2,threshold,0.24100095999999996,0.8312993280000001,8,1,395.98856829665294
