Parameter Sweep,Strategy,Season,Spray Day (Cycle),Pest Load Before,Pest Load After,Cumulative Sprays
decay00,calendar,1,15,1.0,0.3,1
decay00,calendar,1,29,1.0,0.3,2
decay00,calendar,1,43,1.0,0.2,3
decay00,calendar,1,57,1.0,0.3,4
decay00,calendar,1,71,1.0,0.2,5
decay00,calendar,2,91,1.0,0.3,1
decay00,calendar,2,105,1.0,0.3,2
decay00,calendar,2,119,1.0,0.3,3
decay00,calendar,2,133,1.0,0.3,4
decay00,calendar,2,147,1.0,0.2,5
decay00,calendar,3,167,1.0,0.2,1
decay00,calendar,3,181,1.0,0.3,2
decay00,calendar,3,195,1.0,0.3,3
decay00,calendar,3,209,1.0,0.3,4
decay00,calendar,3,223,1.0,0.3,5
decay05,calendar,1,15,1.0,0.3,1
decay05,calendar,1,29,1.0,0.3,2
decay05,calendar,1,43,1.0,0.3,3
decay05,calendar,1,57,1.0,0.3,4
decay05,calendar,1,71,1.0,0.3,5
decay05,calendar,2,91,1.0,0.3,1
decay05,calendar,2,105,1.0,0.3,2
decay05,calendar,2,119,1.0,0.3,3
decay05,calendar,2,133,1.0,0.2,4
decay05,calendar,2,147,1.0,0.3,5
decay05,calendar,3,167,1.0,0.2,1
decay05,calendar,3,181,1.0,0.2,2
decay05,calendar,3,195,1.0,0.3,3
decay05,calendar,3,209,1.0,0.3,4
decay05,calendar,3,223,1.0,0.3,5
eff06,calendar,1,15,1.0,0.5,1
eff06,calendar,1,29,1.0,0.5,2
eff06,calendar,1,43,1.0,0.5,3
eff06,calendar,1,57,1.0,0.5,4
eff06,calendar,1,71,1.0,0.5,5
eff06,calendar,2,91,0.9,0.46,1
eff06,calendar,2,105,1.0,0.4,2
eff06,calendar,2,119,1.0,0.5,3
eff06,calendar,2,133,1.0,0.5,4
eff06,calendar,2,147,1.0,0.5,5
eff06,calendar,3,167,1.0,0.5,1
eff06,calendar,3,181,1.0,0.5,2
eff06,calendar,3,195,1.0,0.5,3
eff06,calendar,3,209,1.0,0.5,4
