run_id,strategy,efficacy,increment,season,grain_tha,pest_loss_tha,spray_count,end_money
none_1,none,0.7,0.03,1,2.2090048256885844,1.7985727743114168,0,11627.014477065753
none_0,none,0.7,0.03,1,2.207134126461069,1.8004434735389316,0,11621.402379383208
none_3,none,0.7,0.03,1,2.1986874719891727,1.8088901280108283,0,11596.062415967517
none_2,none,0.7,0.03,1,2.191568683811907,1.8160089161880943,0,11574.706051435722
none_1,none,0.7,0.03,2,2.1507662199706252,1.8568113800293764,0,18079.31313697763
none_0,none,0.7,0.03,2,2.2002914877186104,1.8072861122813906,0,18222.27684253904
none_3,none,0.7,0.03,2,2.1507662199706252,1.8568113800293764,0,18048.361075879395
none_2,none,0.7,0.03,2,2.1724895401596935,1.8350880598403074,0,18092.174671914803
none_1,none,0.7,0.03,3,2.1582506825863126,1.849326917413689,0,24554.06518473657
none_0,none,0.7,0.03,3,2.2323429861726876,1.7752346138273132,0,24919.3058010571
none_3,none,0.7,0.03,3,2.260052238522026,1.7475253614779747,0,24828.517791445473
none_2,none,0.7,0.03,3,2.165673018887069,1.841904581112932,0,24589.19372857601
none_7,none,0.7,0.03,1,2.2334137841841524,1.7741638158158484,0,11700.241352552457
none_6,none,0.7,0.03,1,2.1707965308006387,1.8367810691993627,0,11512.389592401916
none_5,none,0.7,0.03,1,2.2061327068238543,1.8014448931761464,0,11618.398120471564
none_4,none,0.7,0.03,1,2.1960275997979326,1.8115500002020684,0,11588.082799393798
none_7,none,0.7,0.03,2,2.25055804219993,1.757019557800071,0,18451.915479152245
none_6,none,0.7,0.03,2,2.165419278824337,1.8421583211756647,0,18008.647428874927
none_5,none,0.7,0.03,2,2.1637135383549055,1.8438640616450956,0,18109.53873553628
none_4,none,0.7,0.03,2,2.2201965312667142,1.7873810687332863,0,18248.67239319394
none_7,none,0.7,0.03,3,2.2338915618110065,1.7736860381889947,0,25153.590164585265
none_6,none,0.7,0.03,3,2.196430399555367,1.8111472004446345,0,24597.93862754103
none_5,none,0.7,0.03,3,2.1632478893408282,1.8443297106591732,0,24599.282403558766
none_4,none,0.7,0.03,3,2.221890429278713,1.7856871707212878,0,24914.34368103008
none_11,none,0.7,0.03,1,2.1761952077251085,1.8313823922748924,0,11528.585623175326
none_10,none,0.7,0.03,1,2.208918563928584,1.798659036071417,0,11626.755691785751
none_9,none,0.7,0.03,1,2.244551988886057,1.7630256111139435,0,11733.65596665817
none_8,none,0.7,0.03,1,2.1637135383549055,1.8438640616450956,0,11491.140615064716
none_11,none,0.7,0.03,2,2.1674933296955903,1.8400842703044111,0,18031.065612262097
none_10,none,0.7,0.03,2,2.199745380522726,1.8078322194772753,0,18225.991833353928
none_9,none,0.7,0.03,2,2.2007923467472765,1.8067852532527247,0,18336.0330069
none_8,none,0.7,0.03,2,2.197700582844966,1.8098770171550354,0,18084.242363599613
none_11,none,0.7,0.03,3,2.191255837340059,1.8163217626599422,0,24604.833124282275
none_10,none,0.7,0.03,3,2.1957546822218452,1.8118229177781557,0,24813.255880019464
none_9,none,0.7,0.03,3,2.2075820487243436,1.7999955512756578,0,24958.779153073032
none_8,none,0.7,0.03,3,2.241955765103471,1.7656218348965298,0,24810.109658910027
none_14,none,0.7,0.03,1,2.224516077669881,1.7830615223301198,0,11673.548233009644
none_13,none,0.7,0.03,1,2.244952232554757,1.762625367445244,0,11734.85669766427
none_12,none,0.7,0.03,1,2.2223029772352176,1.7852746227647829,0,11666.908931705653
none_14,none,0.7,0.03,2,2.1543013506383035,1.853276249361698,0,18136.452284924555
none_13,none,0.7,0.03,2,2.1994880728831587,1.8080895271168425,0,18333.320916313747
none_12,none,0.7,0.03,2,2.2166010428415577,1.7909765571584435,0,18316.712060230326
none_14,none,0.7,0.03,3,2.2046437958774177,1.802933804122583,0,24750.383672556807
none_13,none,0.7,0.03,3,2.2096560995955965,1.7979215004044045,0,24962.289215100536
none_12,none,0.7,0.03,3,2.1637135383549055,1.8438640616450956,0,24807.852675295042
calendar_15,calendar,0.7,0.03,1,2.798223639781869,1.2093539602181305,5,12894.670919345606
calendar_17,calendar,0.7,0.03,1,2.838632129897174,1.168945470102827,5,13015.896389691521
calendar_16,calendar,0.7,0.03,1,2.8393900446908873,1.1681875553091121,5,13018.170134072661
calendar_18,calendar,0.7,0.03,1,2.831807880764144,1.1757697192358567,5,12995.423642292431
calendar_15,calendar,0.7,0.03,2,2.6748065718326246,1.332771028167376,5,20419.09063484348
calendar_17,calendar,0.7,0.03,2,2.686358805481323,1.3212187945186764,5,20574.97280613549
calendar_16,calendar,0.7,0.03,2,2.6723108610188935,1.3352667389811061,5,20535.102717129343
calendar_18,calendar,0.7,0.03,2,2.6941508439963338,1.313426756003668,5,20577.87617428143
calendar_15,calendar,0.7,0.03,3,2.904910488444108,1.1026671115558926,5,28633.822100175807
calendar_17,calendar,0.7,0.03,3,2.9345588882071296,1.0730187117928702,5,28878.649470756878
calendar_16,calendar,0.7,0.03,3,2.842800297603323,1.1647773023966768,5,28563.50360993931
calendar_18,calendar,0.7,0.03,3,2.802006912079568,1.205570687920431,5,28483.896910520132
calendar_22,calendar,0.7,0.03,1,2.809835188838929,1.1977424111610715,5,12929.505566516787
calendar_19,calendar,0.7,0.03,1,2.7054042880733165,1.3021733119266847,5,12616.21286421995
calendar_21,calendar,0.7,0.03,1,2.6288787111584013,1.3786988888415979,5,12386.636133475204
calendar_20,calendar,0.7,0.03,1,2.7189498515326243,1.2886277484673758,5,12656.849554597873
calendar_22,calendar,0.7,0.03,2,2.82168915231028,1.1858884476897193,5,20894.57302344763
calendar_19,calendar,0.7,0.03,2,2.7864578138425378,1.2211197861574632,5,20475.586305747565
calendar_21,calendar,0.7,0.03,2,2.8659994304678156,1.141578169532183,5,20484.634424878648
calendar_20,calendar,0.7,0.03,2,2.8218490691249043,1.1857285308750964,5,20622.396761972588
calendar_22,calendar,0.7,0.03,3,2.753189628926192,1.2543879710738082,5,28654.141910226204
calendar_19,calendar,0.7,0.03,3,3.129544211444353,0.8780333885556465,5,29364.218940080624
calendar_21,calendar,0.7,0.03,3,2.7901135268922896,1.2174640731077113,5,28354.97500555552
calendar_20,calendar,0.7,0.03,3,2.885204073355494,1.122373526644505,5,28778.00898203907
calendar_26,calendar,0.7,0.03,1,2.727132133437372,1.280445466562628,5,12681.396400312115
calendar_23,calendar,0.7,0.03,1,2.7243928389101764,1.283184761089823,5,12673.178516730528
calendar_25,calendar,0.7,0.03,1,2.7335012513051247,1.274076348694876,5,12700.503753915375
calendar_24,calendar,0.7,0.03,1,2.827382527210226,1.1801950727897734,5,12982.14758163068
calendar_26,calendar,0.7,0.03,2,2.6918603606202596,1.3157172393797405,5,20256.977482172893
calendar_23,calendar,0.7,0.03,2,2.8606889265012208,1.1468886734987795,5,20755.245296234192
calendar_25,calendar,0.7,0.03,2,2.7187780978868337,1.2887995021131675,5,20356.838047575875
calendar_24,calendar,0.7,0.03,2,2.7373614982095535,1.2702161017904465,5,20694.232076259337
calendar_26,calendar,0.7,0.03,3,2.7895497835173217,1.2180278164826772,5,28125.626832724858
calendar_23,calendar,0.7,0.03,3,2.9100811676262426,1.0974964323737577,5,28985.48879911292
calendar_25,calendar,0.7,0.03,3,2.7259739327154056,1.2816036672845947,5,28034.759845722092
calendar_24,calendar,0.7,0.03,3,2.974848649045481,1.0327289509545208,5,29118.778023395782
calendar_27,calendar,0.7,0.03,1,2.7357027273586847,1.2718748726413158,5,12707.108182076054
calendar_29,calendar,0.7,0.03,1,2.95609566219176,1.051481937808241,5,13368.28698657528
calendar_28,calendar,0.7,0.03,1,2.833523092112659,1.1740545078873408,5,13000.569276337976
calendar_27,calendar,0.7,0.03,2,2.78834004997562,1.2192375500243806,5,20572.128332002914
calendar_29,calendar,0.7,0.03,2,2.837072261289912,1.1705053387100885,5,21379.503770445015
calendar_28,calendar,0.7,0.03,2,2.6538950666122982,1.3536825333877014,5,20462.254476174872
calendar_27,calendar,0.7,0.03,3,2.7186617456145847,1.2889158543854162,5,28228.113568846667
calendar_29,calendar,0.7,0.03,3,2.7367133137315034,1.270864286268497,5,29089.643711639525
calendar_28,calendar,0.7,0.03,3,2.7586163698387516,1.2489612301612476,5,28238.103585691126
threshold_31,threshold,0.7,0.03,1,3.3129781793551474,0.694599420644853,8,14138.934538065441
threshold_30,threshold,0.7,0.03,1,3.295121831276575,0.7124557687234251,9,13985.365493829726
threshold_33,threshold,0.7,0.03,1,3.3145558086283478,0.693021791371653,9,14043.667425885043
threshold_32,threshold,0.7,0.03,1,3.3241276152960175,0.6834499847039827,9,14072.382845888053
threshold_31,threshold,0.7,0.03,2,3.305900430953668,0.7016771690463328,9,23156.635830926447
threshold_30,threshold,0.7,0.03,2,3.3175764983178433,0.6900011016821589,9,23038.094988783254
threshold_33,threshold,0.7,0.03,2,3.321971609488855,0.6856059905111456,9,23109.582254351608
threshold_32,threshold,0.7,0.03,2,3.3363174999369347,0.6712601000630657,9,23181.335345698855
threshold_31,threshold,0.7,0.03,3,3.3195664953814528,0.6880111046185472,9,32215.335317070807
threshold_30,threshold,0.7,0.03,3,3.335887573595128,0.6716900264048716,8,32245.757709568636
threshold_33,threshold,0.7,0.03,3,3.318122393796179,0.6894552062038207,9,32163.949435740145
threshold_32,threshold,0.7,0.03,3,3.315294097143407,0.6922835028565939,9,32227.217637129077
threshold_35,threshold,0.7,0.03,1,3.324752816426984,0.682824783573016,9,14074.258449280951
threshold_34,threshold,0.7,0.03,1,3.332027035855052,0.6755505641449487,9,14096.081107565156
threshold_37,threshold,0.7,0.03,1,3.314076617570924,0.6935009824290765,9,14042.229852712773
threshold_36,threshold,0.7,0.03,1,3.308636757228999,0.6989408427710011,9,14025.910271686997
threshold_35,threshold,0.7,0.03,2,3.34303854874311,0.6645390512568902,9,23203.37409551028
threshold_34,threshold,0.7,0.03,2,3.3418769090775733,0.6657006909224278,8,23321.711834797876
